geoid,threshold,tot_jobs
530330001001001,30,8562
530330001001002,30,384
530330001001006,30,3489
530330001001007,30,3132
530330001001008,30,3806
530330001001009,30,18422
530330001001010,30,18557
530330001001011,30,25692
530330001001012,30,46571
530330001001013,30,34746
530330001001014,30,34454
530330001001015,30,13248
530330001001016,30,4166
530330001001017,30,5316
530330001001018,30,913
530330001001019,30,1039
530330001001020,30,5874
530330001001021,30,26840
530330001001022,30,13597
530330001001023,30,48869
530330001001024,30,45184
530330001001025,30,63702
530330001001026,30,64136
530330001001027,30,45874
530330001001028,30,8632
530330001002000,30,60204
530330001002001,30,60459
530330001002002,30,131390
530330001002003,30,79957
530330001002004,30,50312
530330001002005,30,131390
530330001002006,30,88032
530330001002007,30,124010
530330001002008,30,114014
530330001002009,30,140231
530330001002010,30,108136
530330001002011,30,80691
530330001002012,30,80195
530330001003000,30,42465
530330001003001,30,67655
530330001003002,30,133396
530330001003003,30,92784
530330001003004,30,108551
530330001003005,30,28141
530330001004000,30,141473
530330001004001,30,67733
530330001004002,30,67713
530330001004003,30,91590
530330001005000,30,100224
530330001005001,30,94238
530330001005002,30,127983
530330001005003,30,149505
530330001005004,30,153746
530330001005005,30,136445
530330001005006,30,161522
530330002001000,30,29899
530330002001001,30,32399
530330002001002,30,24791
530330002001003,30,21732
530330002001004,30,29163
530330002001005,30,29163
530330002001006,30,41097
530330002001007,30,40710
530330002001008,30,53372
530330002001009,30,32168
530330002001010,30,24888
530330002001011,30,25159
530330002001012,30,43919
530330002001013,30,44063
530330002001014,30,53100
530330002001015,30,20304
530330002001016,30,71527
530330002001017,30,47301
530330002001018,30,47349
530330002002000,30,22945
530330002002001,30,41811
530330002002002,30,25062
530330002002003,30,13874
530330002002004,30,28377
530330002002005,30,26564
530330002002006,30,33183
530330002002007,30,16544
530330002002008,30,27438
530330002002009,30,76467
530330002002010,30,46636
530330002002011,30,60797
530330002002012,30,78827
530330002002013,30,127300
530330002002014,30,127300
530330002002015,30,103680
530330002003000,30,8935
530330002003001,30,18248
530330002003002,30,22608
530330002003003,30,25559
530330002003004,30,21908
530330002003005,30,17985
530330002003006,30,23469
530330002003007,30,18958
530330002004000,30,26572
530330002004001,30,27895
530330002004002,30,33237
530330002004003,30,19849
530330002004004,30,16707
530330002004005,30,18881
530330002004006,30,23999
530330002004007,30,19972
530330002004008,30,18478
530330002004009,30,15962
530330002004010,30,16227
530330002004011,30,22189
530330002004012,30,17843
530330002004013,30,15220
530330002004014,30,12627
530330002005000,30,13240
530330002005001,30,17592
530330002005002,30,13658
530330002005003,30,29678
530330002005004,30,31488
530330002005005,30,18900
530330002005006,30,21620
530330002005007,30,19390
530330002005008,30,25439
530330002005009,30,33101
530330002005010,30,14074
530330002006000,30,15750
530330002006001,30,21306
530330002006002,30,25845
530330002006003,30,23317
530330002006004,30,30037
530330002006005,30,18956
530330002006006,30,19481
530330002006007,30,17059
530330002006008,30,15931
530330002006009,30,15842
530330002006010,30,25485
530330002006011,30,14916
530330002006012,30,13542
530330002006013,30,13265
530330002006014,30,13741
530330002006015,30,17222
530330002006016,30,20118
530330002006017,30,12695
530330002006018,30,12739
530330002006019,30,14559
530330002006020,30,13864
530330002006021,30,14181
530330002006022,30,13263
530330002006023,30,12385
530330002006024,30,16544
530330002006025,30,18760
530330002006026,30,25642
530330002006027,30,31419
530330003001000,30,37420
530330003001001,30,37296
530330003001002,30,96132
530330003001003,30,96183
530330003001004,30,94651
530330003001005,30,72776
530330003001006,30,27969
530330003001007,30,26556
530330003001008,30,26584
530330003001009,30,17583
530330003001010,30,22970
530330003001011,30,22003
530330003001012,30,19486
530330003001013,30,22031
530330003001014,30,21147
530330003001015,30,18218
530330003001016,30,20013
530330003001017,30,24992
530330003001018,30,33374
530330003001019,30,18019
530330003001020,30,33299
530330003001021,30,36789
530330003001022,30,38107
530330003001023,30,52621
530330003001024,30,30891
530330003001025,30,16419
530330003001026,30,22086
530330003001027,30,28698
530330003001028,30,38324
530330003001029,30,22805
530330003001030,30,25158
530330003001031,30,16219
530330003001032,30,19081
530330003001033,30,17040
530330003001034,30,20481
530330003001035,30,22927
530330003002000,30,21255
530330003002001,30,20973
530330003002002,30,21435
530330003002003,30,21433
530330003002004,30,20944
530330003002005,30,21247
530330003002006,30,20543
530330003002007,30,19950
530330003002008,30,20758
530330003002009,30,22424
530330003002010,30,24760
530330003002011,30,23352
530330003002012,30,20445
530330003002013,30,20070
530330003002014,30,17975
530330003002015,30,16588
530330003002016,30,19490
530330003002017,30,18543
530330003002018,30,15958
530330003002019,30,19611
530330003002020,30,17379
530330003002021,30,18858
530330003002022,30,18097
530330003002023,30,18373
530330003002024,30,18123
530330003002025,30,17471
530330003002026,30,18913
530330003002027,30,18550
530330003002028,30,17108
530330003002029,30,16622
530330003002030,30,17498
530330003002031,30,16420
530330004011000,30,26306
530330004011001,30,17559
530330004011002,30,18007
530330004011003,30,17189
530330004011004,30,18347
530330004011005,30,15131
530330004011006,30,20099
530330004011007,30,17958
530330004011008,30,24315
530330004011009,30,21052
530330004012000,30,17701
530330004012001,30,13833
530330004012002,30,14214
530330004012003,30,16947
530330004012004,30,14058
530330004012005,30,13980
530330004012006,30,13086
530330004012007,30,12833
530330004012008,30,12899
530330004012009,30,13554
530330004012010,30,14261
530330004012011,30,15160
530330004012012,30,14842
530330004012013,30,16379
530330004012014,30,14620
530330004012015,30,13908
530330004012016,30,18007
530330004012017,30,11227
530330004013000,30,13017
530330004013002,30,15376
530330004013003,30,19929
530330004021000,30,16790
530330004021001,30,16317
530330004021002,30,16317
530330004021003,30,16086
530330004021004,30,16999
530330004021005,30,12651
530330004021006,30,12806
530330004021007,30,12836
530330004021008,30,13097
530330004021009,30,14379
530330004021010,30,15153
530330004021011,30,16476
530330004021012,30,16652
530330004021013,30,16652
530330004021014,30,16858
530330004022000,30,22265
530330004022001,30,21673
530330004022002,30,17599
530330004022003,30,18482
530330004022004,30,21342
530330004022005,30,17392
530330004022006,30,17123
530330004022007,30,16657
530330004022008,30,15030
530330004022009,30,15905
530330004022010,30,16118
530330004022011,30,21442
530330004022012,30,24030
530330004022013,30,26646
530330004022014,30,29707
530330004022015,30,23434
530330004022016,30,21947
530330004023000,30,15889
530330004023001,30,15889
530330004023002,30,16736
530330004023003,30,19078
530330004023004,30,16946
530330004023005,30,16251
530330004023006,30,15778
530330004023007,30,15333
530330004023008,30,15748
530330004023009,30,15323
530330004023010,30,15991
530330004023011,30,16512
530330004023012,30,17472
530330004023013,30,22797
530330004023014,30,21008
530330004023015,30,17986
530330004023016,30,16329
530330004023017,30,16118
530330004023018,30,16912
530330004024000,30,16590
530330004024001,30,16590
530330004024002,30,16389
530330004024003,30,18347
530330004024004,30,18158
530330004024005,30,20324
530330004024006,30,14885
530330004024007,30,14358
530330004024008,30,14267
530330004024009,30,15546
530330004024010,30,16547
530330004024011,30,15559
530330004024012,30,14687
530330004024013,30,17897
530330004024014,30,14979
530330004024015,30,14979
530330004024016,30,17280
530330004024017,30,16258
530330004024018,30,14952
530330004024019,30,14860
530330005001000,30,702
530330005001001,30,3531
530330005001002,30,11957
530330005001003,30,1910
530330005001004,30,6181
530330005001005,30,5315
530330005001006,30,7817
530330005001007,30,3474
530330005001008,30,1903
530330005001009,30,1909
530330005001010,30,3489
530330005001013,30,1442
530330005001014,30,1564
530330005001015,30,7672
530330005001016,30,10008
530330005001017,30,9983
530330005001018,30,8179
530330005001019,30,7276
530330005001020,30,6277
530330005002000,30,12541
530330005002001,30,11074
530330005002002,30,7708
530330005002003,30,8385
530330005002004,30,8923
530330005002005,30,10584
530330005002006,30,9939
530330005002007,30,11934
530330005002008,30,11022
530330005002009,30,12577
530330005002010,30,13023
530330005002011,30,14338
530330005002012,30,12631
530330005002013,30,10967
530330005002014,30,9871
530330005002015,30,10237
530330005002016,30,8479
530330005002017,30,9422
530330005002018,30,11054
530330005002019,30,14455
530330005003000,30,8123
530330005003001,30,7264
530330005003002,30,6643
530330005003003,30,5587
530330005003004,30,5525
530330005003005,30,6174
530330005003006,30,8246
530330005003007,30,9789
530330005003008,30,7139
530330005003009,30,4335
530330005003010,30,3361
530330005003011,30,2427
530330005003012,30,6751
530330005003013,30,13063
530330005003014,30,15869
530330005003015,30,10497
530330005003016,30,3319
530330005003017,30,5591
530330005003018,30,14462
530330006001000,30,19577
530330006001001,30,16515
530330006001002,30,16526
530330006001003,30,15622
530330006001004,30,18729
530330006001005,30,18705
530330006001006,30,19664
530330006001007,30,15739
530330006001008,30,17782
530330006001009,30,21227
530330006001010,30,15768
530330006001011,30,21324
530330006001012,30,18367
530330006001013,30,19275
530330006001014,30,19532
530330006001015,30,20257
530330006001016,30,21052
530330006001017,30,20292
530330006001018,30,22990
530330006001019,30,23566
530330006001020,30,22740
530330006001021,30,20764
530330006001022,30,18287
530330006001023,30,21538
530330006001024,30,22825
530330006002000,30,25289
530330006002001,30,25289
530330006002002,30,20133
530330006002003,30,21879
530330006002004,30,25850
530330006002005,30,25235
530330006002006,30,44245
530330006003000,30,18579
530330006003001,30,15766
530330006003002,30,20447
530330006003003,30,22282
530330006003004,30,19949
530330006003005,30,17686
530330006003006,30,23305
530330006003007,30,15613
530330006003008,30,17457
530330006003009,30,16461
530330006003010,30,16596
530330006003011,30,20865
530330006003012,30,17459
530330006003013,30,18881
530330006003016,30,28359
530330006003017,30,17920
530330006004000,30,19995
530330006004001,30,22039
530330006004002,30,17418
530330006004003,30,19863
530330006004004,30,20935
530330006004005,30,19293
530330006004006,30,14427
530330006004007,30,17226
530330006004008,30,17857
530330006004009,30,21585
530330006004010,30,22966
530330006004011,30,17512
530330006004012,30,19822
530330006004013,30,19653
530330006004014,30,18611
530330006004015,30,22225
530330006004016,30,23147
530330006004017,30,25699
530330006004018,30,18601
530330006004019,30,16168
530330006004020,30,16436
530330006004021,30,14395
530330006004022,30,17643
530330006004023,30,19972
530330006004024,30,19639
530330006004025,30,18302
530330006004026,30,19210
530330006004027,30,19443
530330006004028,30,16486
530330006004029,30,15362
530330006004030,30,24887
530330006005000,30,21560
530330006005001,30,23369
530330006005002,30,25593
530330006005003,30,23819
530330006005004,30,12185
530330006005005,30,26444
530330006005006,30,31348
530330006005007,30,20647
530330006005008,30,30765
530330006005009,30,17021
530330006005010,30,23881
530330006005011,30,19120
530330006005012,30,17381
530330006005013,30,15402
530330006005014,30,14811
530330006005015,30,30028
530330006005016,30,26651
530330006005017,30,28918
530330006005018,30,46231
530330006006000,30,40688
530330006006001,30,20894
530330006006002,30,16600
530330006006003,30,27827
530330006006004,30,21864
530330006006005,30,16282
530330006006006,30,19412
530330006006007,30,20465
530330006006008,30,34265
530330006006009,30,22861
530330006006010,30,22861
530330006006011,30,19412
530330007001000,30,90782
530330007001001,30,136812
530330007001002,30,152493
530330007001003,30,181813
530330007001004,30,151531
530330007001005,30,127330
530330007001006,30,104592
530330007001007,30,85690
530330007001008,30,74001
530330007001009,30,137112
530330007001010,30,166662
530330007001011,30,153712
530330007001012,30,150148
530330007002000,30,138256
530330007002001,30,60269
530330007002002,30,112432
530330007002003,30,112640
530330007002004,30,152695
530330007002005,30,99211
530330007002006,30,53515
530330007002007,30,78405
530330007002008,30,75817
530330007002009,30,117271
530330007002010,30,102913
530330007002011,30,71255
530330007002012,30,48711
530330007002013,30,71943
530330007002014,30,50373
530330007002015,30,86917
530330007002016,30,88589
530330007002017,30,102416
530330007002018,30,117079
530330007002019,30,39473
530330007003000,30,23070
530330007003001,30,27673
530330007003002,30,19392
530330007003003,30,24964
530330007003004,30,30111
530330007003005,30,26246
530330007003006,30,26260
530330007003007,30,19039
530330007003008,30,21697
530330007003009,30,20619
530330007003010,30,34273
530330007004000,30,46721
530330007004001,30,23067
530330007004002,30,29927
530330007004003,30,25051
530330007004004,30,23515
530330007004005,30,21009
530330007004006,30,20905
530330007004007,30,29380
530330007004008,30,28063
530330007004009,30,36263
530330007004010,30,48256
530330007004011,30,27686
530330007004012,30,24825
530330007004013,30,23692
530330007004014,30,22886
530330007004015,30,26739
530330007004016,30,35606
530330007004017,30,29071
530330008001000,30,40697
530330008001001,30,33572
530330008001002,30,38572
530330008001003,30,50125
530330008001004,30,71717
530330008001005,30,91282
530330008001006,30,82880
530330008001007,30,37136
530330008001008,30,22767
530330008001009,30,22096
530330008001010,30,21207
530330008001011,30,16734
530330008001012,30,14831
530330008001013,30,17418
530330008001014,30,20989
530330008001015,30,44925
530330008001016,30,15225
530330008001017,30,14674
530330008001018,30,17572
530330008002000,30,15674
530330008002001,30,14800
530330008002002,30,14998
530330008002003,30,15221
530330008002004,30,17724
530330008002005,30,24970
530330008002006,30,31430
530330008002007,30,17918
530330008002008,30,14331
530330008002009,30,12015
530330008002010,30,12173
530330008002011,30,13384
530330008002012,30,17013
530330008002013,30,13006
530330008002014,30,8044
530330008002015,30,16569
530330008002016,30,11879
530330008002017,30,20266
530330008002018,30,29289
530330008002019,30,9760
530330009001000,30,6535
530330009001001,30,11593
530330009001002,30,17826
530330009001003,30,19406
530330009001004,30,19370
530330009001005,30,13549
530330009001006,30,7105
530330009001007,30,10191
530330009001008,30,7936
530330009001009,30,5493
530330009001010,30,16579
530330009001011,30,12348
530330009001012,30,10187
530330009001013,30,10187
530330009001014,30,6418
530330009001015,30,12091
530330009001016,30,10209
530330009001017,30,9512
530330009001018,30,11712
530330009001019,30,18350
530330009002001,30,3163
530330009002005,30,6535
530330009002006,30,5086
530330009002007,30,5505
530330009002008,30,6308
530330009002009,30,10194
530330009002010,30,9091
530330009002011,30,3303
530330009002012,30,8079
530330009002013,30,8289
530330009002014,30,9233
530330009002015,30,8905
530330009002016,30,10600
530330009002017,30,10600
530330009002018,30,15069
530330009002020,30,8935
530330009002021,30,7924
530330009002022,30,10195
530330009002023,30,9255
530330009002024,30,9311
530330009002025,30,9288
530330009002026,30,11207
530330009002027,30,11911
530330009002028,30,12254
530330009002029,30,11636
530330009002030,30,8978
530330010001000,30,29987
530330010001001,30,35288
530330010001002,30,49769
530330010001003,30,40196
530330010001004,30,69109
530330010001005,30,104180
530330010001006,30,103220
530330010001007,30,121985
530330010001008,30,119233
530330010001009,30,47746
530330010001010,30,68199
530330010001011,30,68222
530330010002000,30,25825
530330010002001,30,21536
530330010002002,30,15602
530330010002003,30,23998
530330010002004,30,19213
530330010002005,30,15690
530330010002006,30,18831
530330010002007,30,15962
530330010002008,30,68405
530330010002009,30,58196
530330010002010,30,19079
