"GEOID","NAME","variable","estimate","moe","pct100","pct149","pct150","universe","white","black","asian","hispuniverse","hisp","pctWht","pctBlk","pctAsn","pctHisp","pluWht","pluBlk","pluAsn","pluHisp","loginc","pctOwn","medAge","logHousVal","thouHousVal","medRent","logMedRent"
"36001000100","Census Tract 1, Albany County, New York","B01001_001",1934,269,11.8233618233618,5.98290598290598,82.1937321937322,1934,450,1232,12,1934,500,0.232678386763185,0.637021716649431,0.0062047569803516,0.258531540847983,0,1,0,0,9.85350918272989,29.7746144721234,79,11.5550266409889,104.3,859,6.75576892198425
"36001000200","Census Tract 2, Albany County, New York","B01001_001",4431,568,12.779397473275,3.93586005830904,83.2847424684159,4431,620,3504,36,4431,345,0.139923267885353,0.790792146242383,0.00812457684495599,0.0778605280974949,0,1,0,0,9.90877355696536,24.8413860419717,70,11.3873622419949,88.2,698,6.54821910276237
"36001000300","Census Tract 3, Albany County, New York","B01001_001",5277,708,17.035175879397,6.73366834170854,76.2311557788945,5277,2481,2008,175,5277,254,0.470153496304719,0.380519234413493,0.033162781883646,0.0481334091339776,1,0,0,0,9.87235801733921,36.8330464716007,70,11.9401520648599,153.3,970,6.87729607149743
"36001000401","Census Tract 4.01, Albany County, New York","B01001_001",2377,219,NA,NA,NA,2377,2174,97,72,2377,99,0.914598233066891,0.0408077408498107,0.0302902818679007,0.0416491375683635,1,0,0,0,10.3583775439718,62.4015748031496,32,11.9349198750296,152.5,1213,7.10085190894405
"36001000403","Census Tract 4.03, Albany County, New York","B01001_001",4819,378,10.0152905198777,2.10244648318043,87.8822629969419,4819,3346,751,463,4819,347,0.694334924258145,0.155841460884001,0.096078024486408,0.072006640381822,1,0,0,0,10.5970596428092,48.9973844812555,79,12.1822921168648,195.3,983,6.89060912014717
"36001000404","Census Tract 4.04, Albany County, New York","B01001_001",5045,493,NA,NA,NA,5045,3343,834,412,5045,673,0.662636273538157,0.165312190287413,0.0816650148662042,0.133399405351834,1,0,0,0,7.92479591395644,100,54,NA,NA,NA,NA
"36001000501","Census Tract 5.01, Albany County, New York","B01001_001",3667,516,14.409534127844,8.39653304442037,77.1939328277357,3667,2141,1042,239,3667,856,0.583856013089719,0.284155985819471,0.0651758931006272,0.233433324243251,1,0,0,0,9.9840532003757,24.7944339025933,58,11.8670972786908,142.5,818,6.70686233660275
"36001000502","Census Tract 5.02, Albany County, New York","B01001_001",3756,321,20.5392545598731,5.47184773988898,73.9888977002379,3756,2656,474,327,3756,290,0.707135250266241,0.126198083067093,0.0870607028753994,0.077209797657082,1,0,0,0,9.0617243476474,36.4495798319328,79,12.1051467269402,180.8,913,6.81673588059497
"36001000600","Census Tract 6, Albany County, New York","B01001_001",3810,483,27.6843467011643,10.7373868046572,61.5782664941785,3810,1331,1538,434,3810,581,0.349343832020997,0.403674540682415,0.113910761154856,0.15249343832021,0,1,0,0,9.70765513371423,11.1508220157255,79,11.5815182564358,107.1,911,6.81454289725996
"36001000700","Census Tract 7, Albany County, New York","B01001_001",3713,557,13.4380453752181,8.78417684700407,77.7777777777778,3713,542,2921,21,3713,545,0.145973606248317,0.786695394559655,0.00565580393213035,0.146781578238621,0,1,0,0,10.0907966508411,37.973811164714,79,11.4306302222434,92.1,878,6.77764659363512
"36001000800","Census Tract 8, Albany County, New York","B01001_001",2037,295,17.7257525083612,14.38127090301,67.8929765886288,2037,426,1453,0,2037,336,0.209131075110457,0.713303878252332,0,0.164948453608247,0,1,0,0,9.85639594500228,12.10407239819,79,NA,NA,733,6.59714570188665
"36001001100","Census Tract 11, Albany County, New York","B01001_001",1239,226,6.8,16.8,76.4,1239,635,439,98,1239,45,0.512510088781275,0.354317998385795,0.0790960451977401,0.036319612590799,1,0,0,0,9.5438080995771,8.27389443651926,79,11.8486831606536,139.9,498,6.21060007702465
"36001001400","Census Tract 14, Albany County, New York","B01001_001",3668,395,8.38852097130243,7.83664459161148,83.7748344370861,3668,2619,605,318,3668,255,0.714013086150491,0.164940021810251,0.0866957470010905,0.0695201744820065,1,0,0,0,10.5425216774421,9.84236831987697,79,12.5360955584715,278.2,872,6.77078942390898
"36001001500","Census Tract 15, Albany County, New York","B01001_001",5080,696,23.5864837738374,10.5720976915356,65.841418534627,5080,3702,555,365,5080,642,0.728740157480315,0.109251968503937,0.0718503937007874,0.126377952755906,1,0,0,0,9.90558535061827,8.10583788324234,79,12.0143066299082,165.1,850,6.74523634948436
