"GEOID","NAME","variable","estimate","moe","pct100","pct149","pct150","universe","white","black","asian","hispuniverse","hisp","pctWht","pctBlk","pctAsn","pctHisp","pluWht","pluBlk","pluAsn","pluHisp","loginc","pctOwn","medAge","logHousVal","thouHousVal","medRent","logMedRent"
"37021000100","Census Tract 1, Buncombe County, North Carolina","B01001_001",1469,177,17.1284634760705,5.79345088161209,77.0780856423174,1469,1233,165,26,1469,58,0.839346494213751,0.112321307011573,0.0176991150442478,0.0394826412525528,1,0,0,0,9.76726683262484,19.9223803363519,79,13.0293705105552,455.6,500,6.21460809842219
"37021000200","Census Tract 2, Buncombe County, North Carolina","B01001_001",1429,176,12.3393316195373,16.0668380462725,71.5938303341902,1429,1024,308,18,1429,40,0.716585024492652,0.215535339398181,0.0125962211336599,0.0279916025192442,1,0,0,0,10.1571991054168,49.5238095238095,79,12.6228073458966,303.4,770,6.64639051484773
"37021000300","Census Tract 3, Buncombe County, North Carolina","B01001_001",2225,218,18.9686924493554,11.878453038674,69.1528545119705,2225,1535,550,85,2225,41,0.689887640449438,0.247191011235955,0.0382022471910112,0.0184269662921348,1,0,0,0,9.89262880920125,46.5197215777262,79,12.789125903293,358.3,725,6.58617165485467
"37021000400","Census Tract 4, Buncombe County, North Carolina","B01001_001",3865,321,27.4920634920635,7.68253968253968,64.8253968253968,3865,3465,215,24,3865,103,0.896507115135834,0.055627425614489,0.00620957309184994,0.0266494178525226,1,0,0,0,9.55810574328497,39.7807361002349,76,12.3305002239052,226.5,870,6.76849321164863
"37021000500","Census Tract 5, Buncombe County, North Carolina","B01001_001",3562,298,7.91571753986333,3.41685649202733,88.6674259681093,3562,3466,26,19,3562,204,0.973048848961258,0.0072992700729927,0.00533408197641774,0.0572711959573273,1,0,0,0,10.4647305872157,64.5403377110694,68,12.9556001595262,423.2,975,6.88243747099785
"37021000600","Census Tract 6, Buncombe County, North Carolina","B01001_001",2168,268,16.793893129771,7.56419153365718,75.6419153365718,2168,1717,330,76,2168,79,0.791974169741697,0.152214022140221,0.0350553505535055,0.0364391143911439,1,0,0,0,10.1589433933176,39.6603396603397,79,12.1781874420406,194.5,878,6.77764659363512
"37021000700","Census Tract 7, Buncombe County, North Carolina","B01001_001",1219,131,8.71212121212121,10.479797979798,80.8080808080808,1219,731,460,21,1219,0,0.599671862182117,0.377358490566038,0.0172272354388843,0,1,0,0,0,10.2155573130447,33.3935018050542,40,12.197031900878,198.2,972,6.87935580446044
"37021000800","Census Tract 8, Buncombe County, North Carolina","B01001_001",3414,584,9.59909655561829,6.04178430265387,84.3591191417278,3414,2773,487,60,3414,80,0.812243702401875,0.142647920328061,0.0175746924428823,0.0234329232571763,1,0,0,0,10.2721157705923,54.8913043478261,61,12.5281561446993,276,881,6.78105762593618
"37021000900","Census Tract 9, Buncombe County, North Carolina","B01001_001",3167,369,18.7056737588652,18.7056737588652,62.5886524822695,3167,1326,1820,0,3167,27,0.418692769182191,0.57467634985791,0,0.00852541837701295,0,1,0,0,9.52076193139745,33.5637480798771,42,12.0906617940188,178.2,350,5.85793315448346
"37021001000","Census Tract 10, Buncombe County, North Carolina","B01001_001",4377,376,14.5372645372645,13.022113022113,72.4406224406224,4377,3345,597,187,4377,278,0.764222069910898,0.136394790952707,0.0427233264793237,0.0635138222526845,1,0,0,0,9.99766072255338,48.8757396449704,68,12.1940000642959,197.6,906,6.80903930604298
