"GEOID","NAME","variable","estimate","moe","pct100","pct149","pct150","universe","white","black","asian","hispuniverse","hisp","pctWht","pctBlk","pctAsn","pctHisp","pluWht","pluBlk","pluAsn","pluHisp","loginc","pctOwn","medAge","logHousVal","thouHousVal","medRent","logMedRent"
"34001000100","Census Tract 1, Atlantic County, New Jersey","B01001_001",2323,259,28.3353010625738,6.84769775678867,64.8170011806375,2323,1033,613,429,2323,687,0.444683598794662,0.263882910030133,0.184674989238054,0.295738269479122,1,0,0,0,9.75027809628562,33.8650306748466,63,12.1415341243926,187.5,994,6.90173720665657
"34001000200","Census Tract 2, Atlantic County, New Jersey","B01001_001",3065,354,7.00676090964966,14.8125384142594,78.180700676091,3065,1909,282,638,3065,683,0.622838499184339,0.0920065252854812,0.20815660685155,0.222838499184339,1,0,0,0,10.2223775521121,47.9272727272727,58,12.3493068136161,230.8,1053,6.95939851213398
"34001000300","Census Tract 3, Atlantic County, New Jersey","B01001_001",4297,472,20.64,12.96,66.4,4297,1878,458,1437,4297,1705,0.437049104026065,0.106585990225739,0.334419362345823,0.396788457063067,1,0,0,0,9.77984991207795,20.1383551114527,77,12.1188794338278,183.3,1053,6.95939851213398
"34001000400","Census Tract 4, Atlantic County, New Jersey","B01001_001",2903,464,19.6536144578313,13.2530120481928,67.0933734939759,2903,1710,178,677,2903,1102,0.589045814674475,0.0613158801240096,0.233207027213228,0.379607302790217,1,0,0,0,9.92612928301695,31.7779565567176,64,12.0411980023399,169.6,871,6.7696419768525
"34001000500","Census Tract 5, Atlantic County, New Jersey","B01001_001",3381,404,21.9101123595506,16.7134831460674,61.376404494382,3381,1314,140,1300,3381,1391,0.388642413487134,0.041407867494824,0.384501626737652,0.411416740609287,0,0,0,1,9.83134687475845,44.9671772428884,78,11.9473019165728,154.4,1071,6.97634807044775
"34001001100","Census Tract 11, Atlantic County, New Jersey","B01001_001",1884,337,30.1318267419962,6.77966101694915,63.0885122410546,1884,165,1630,16,1884,139,0.0875796178343949,0.865180467091295,0.00849256900212314,0.0737791932059448,0,1,0,0,9.5307558140446,12.217659137577,71,12.2894942536692,217.4,422,6.04500531403601
"34001001200","Census Tract 12, Atlantic County, New Jersey","B01001_001",3193,369,20.0757575757576,24.8106060606061,55.1136363636364,3193,401,2438,52,3193,663,0.125587222048231,0.76354525524585,0.0162856248042593,0.207641716254306,0,1,0,0,9.63200685942236,37.2598162071846,60,12.0435537160324,170,884,6.78445706263764
"34001001300","Census Tract 13, Atlantic County, New Jersey","B01001_001",1653,214,14.490861618799,7.18015665796345,78.3289817232376,1653,108,1269,91,1653,252,0.0653357531760436,0.767695099818512,0.0550514216575923,0.152450090744102,0,1,0,0,9.89957992770511,52.4158125915081,55,12.228323254465,204.5,984,6.89162589705225
"34001001400","Census Tract 14, Atlantic County, New Jersey","B01001_001",3890,381,24.7081712062257,6.6147859922179,68.6770428015564,3890,805,2726,38,3890,1009,0.20694087403599,0.700771208226221,0.00976863753213368,0.259383033419023,0,1,0,0,9.71468503964248,19.8391420911528,51,12.2160229763833,202,765,6.63987583382654
"34001001500","Census Tract 15, Atlantic County, New Jersey","B01001_001",1772,274,13.4228187919463,17.8970917225951,68.6800894854586,1772,161,1431,44,1772,189,0.0908577878103837,0.807562076749436,0.0248306997742664,0.10665914221219,0,1,0,0,9.53206148665139,13.0952380952381,33,11.8400686063029,138.7,457,6.12468339089421
"34001001900","Census Tract 19, Atlantic County, New Jersey","B01001_001",1663,236,20.8450704225352,13.943661971831,65.2112676056338,1663,724,550,170,1663,758,0.43535778713169,0.330727600721587,0.102224894768491,0.455802766085388,0,0,0,1,9.75892410134477,3.88349514563107,41,12.5489528784467,281.8,945,6.85118492749374
