"st","cty","GEOID","NAME","popData","incomeData","pov100","pov149","pov150","medRent","medValue","medAge","tenureUniverse","tenureOwn","com10","com20","com30","com40","com60","bed0","bed1","bed2","bed3","bed4","bed5","completePlumb","completeKitch","edHighSchool","edSomeColl","edBach","zeroCar","grapi","NAME2","GEOID2","city","logInc","thouInc","pct100","pct149","pct150","pctWht","pctBlk","pctAsn","pluWht","pctHisp","pluBlk","pluAsn","pluHisp","logMedRent","hunMedRent","logHousVal","thouHousVal","pctOwn","comBl10","pctUnemp","edGrad","singParentHH"
37,53,"37053110302","Census Tract 1103.02, Currituck County, North Carolina",3216,25814,201,111,1310,780,197100,31,1208,894,22.0886075949367,8.86075949367089,13.1012658227848,28.4177215189873,12.5949367088608,1.5625,3.125,21.25,49.921875,23.28125,0.859375,100,102.980132450331,35.9571495109455,25.5239869585468,11.1318118304611,3.47682119205298,29.6,"Census Tract 1103.02, Currituck County, North Carolina","37053110302","NORFOLK-VIRGINIA BEACH-NEWPORT NEWS, VA-NC",10.1586722593951,25.814,12.3921085080148,6.84340320591862,80.7644882860666,88.4639303482587,9.79477611940299,0,NA,2.36318407960199,0,0,0,6.65929391968364,7.8,12.1914664931408,197.1,74.0066225165563,14.9367088607595,5.09626274065685,3.35351653469958,19.7847682119205
37,53,"37053110401","Census Tract 1104.01, Currituck County, North Carolina",3431,25924,117,307,1148,972,181200,32,1299,965,15.9239842726081,10.8781127129751,26.4089121887287,14.0235910878113,26.4089121887287,0.594916170903191,5.35424553812872,28.7182260681449,55.0567874526771,9.73499188750676,0.540832882639264,100,133.410315627406,42.0403126285479,22.9535170711641,9.95475113122172,6.00461893764434,41.2,"Census Tract 1104.01, Currituck County, North Carolina","37053110401","NORFOLK-VIRGINIA BEACH-NEWPORT NEWS, VA-NC",10.1629244595476,25.924,7.44274809160305,19.529262086514,73.027989821883,94.5205479452055,2.38997376858059,0,NA,2.36082774701253,0,0,0,6.87935580446044,9.72,12.107356672591,181.2,74.2879137798306,6.3564875491481,4.69399881164587,5.22418757712875,11.3933795227098
37,53,"37053110102","Census Tract 1101.02, Currituck County, North Carolina",1521,31693,27,40,710,869,171500,26,627,523,1.8018018018018,3.34620334620335,12.3552123552124,39.6396396396396,36.9369369369369,2.76564774381368,1.31004366812227,24.0174672489083,57.6419213973799,13.391557496361,0.873362445414847,100,109.569377990431,37.7524143985953,24.0561896400351,12.1158911325724,3.98724082934609,28,"Census Tract 1101.02, Currituck County, North Carolina","37053110102","NORFOLK-VIRGINIA BEACH-NEWPORT NEWS, VA-NC",10.3638511152917,31.693,3.47490347490348,5.14800514800515,91.3770913770914,98.8823142669297,0,0.262984878369494,NA,1.18343195266272,0,0,0,6.76734312526539,8.69,12.0523385455881,171.5,83.4130781499203,5.92020592020592,1.89393939393939,5.35557506584723,6.69856459330144
37,53,"37053110101","Census Tract 1101.01, Currituck County, North Carolina",735,27647,14,21,281,1042,450000,23,375,289,24.9122807017544,11.9298245614035,6.31578947368421,3.15789473684211,4.21052631578947,2.26565970679698,0.0666370501999112,3.33185250999556,11.5948467347845,29.6090626388272,53.1319413593958,100,1196.26666666667,22.88,14.4,31.52,3.46666666666667,32.5,"Census Tract 1101.01, Currituck County, North Carolina","37053110101","NORFOLK-VIRGINIA BEACH-NEWPORT NEWS, VA-NC",10.2272725019682,27.647,4.43037974683544,6.64556962025316,88.9240506329114,88.0272108843537,7.75510204081633,1.22448979591837,NA,2.85714285714286,0,0,0,6.94889722231331,10.42,13.0170028617465,450,77.0666666666667,49.4736842105263,7.86516853932584,21.28,6.93333333333333
37,53,"37053110301","Census Tract 1103.01, Currituck County, North Carolina",4150,30792,108,51,1637,1025,267600,29,1680,1466,12.6321974148061,11.6333725029377,15.0411280846063,30.4347826086957,25.3231492361927,0,0,10.1996762007555,60.0647598488937,26.8213707501349,2.91419320021587,100,110.297619047619,29.9014610941216,26.0278627251104,16.7516139993204,2.91666666666667,36.9,"Census Tract 1103.01, Currituck County, North Carolina","37053110301","NORFOLK-VIRGINIA BEACH-NEWPORT NEWS, VA-NC",10.3350101949636,30.792,6.01336302895323,2.83964365256125,91.1469933184855,94.8192771084337,1.68674698795181,1.56626506024096,NA,3.71084337349398,0,0,0,6.93244789157251,10.25,12.4972486072362,267.6,87.2619047619048,4.93537015276146,6.21149897330595,6.04825008494733,7.20238095238095
37,53,"37053110200","Census Tract 1102, Currituck County, North Carolina",7255,41005,168,132,3341,1471,246500,24,2640,2387,9.75609756097561,12.3369256948383,22.8587634713556,34.2597844583097,10.2665910380034,0.754852624011503,0.359453630481668,16.3551401869159,44.823867721064,29.7987059669303,7.90797987059669,100,102.348484848485,21.1398544866613,29.3047696038804,19.9676637025061,5.03787878787879,29.3,"Census Tract 1102, Currituck County, North Carolina","37053110200","NORFOLK-VIRGINIA BEACH-NEWPORT NEWS, VA-NC",10.6214492894705,41.005,4.61411700082395,3.62537764350453,91.7605053556715,84.8518263266713,10.3928325292901,0.454858718125431,NA,5.9131633356306,0,0,0,7.29369772060144,14.71,12.4151172724649,246.5,90.4166666666667,10.5218377765173,6.48053278688525,5.27485852869846,14.7348484848485
37,53,"37053110402","Census Tract 1104.02, Currituck County, North Carolina",4556,26113,134,201,1926,1017,233500,27,1753,1458,24.4555353901996,20.3266787658802,12.3865698729583,13.9745916515427,17.1052631578947,0,0.484496124031008,21.7054263565891,51.4050387596899,20.4457364341085,5.9593023255814,100,114.261266400456,24.127646883388,29.4065016403221,15.090963316433,2.56702795208215,30.8,"Census Tract 1104.02, Currituck County, North Carolina","37053110402","NORFOLK-VIRGINIA BEACH-NEWPORT NEWS, VA-NC",10.1701885535992,26.113,5.9265811587793,8.88987173816895,85.1835471030518,91.3081650570676,5.97014925373134,0.197541703248464,NA,2.45829675153644,0,0,0,6.92461239604856,10.17,12.3609373560911,233.5,83.1717056474615,11.7513611615245,8.08853118712274,6.26304801670146,14.2612664004564
51,115,"51115951400","Census Tract 9514, Mathews County, Virginia",3887,27685,149,91,1658,697,221600,49,1790,1488,17.2571428571429,23.9428571428571,15.6,14.2285714285714,14,0.755395683453237,6.40287769784173,23.0575539568345,55.1438848920863,9.49640287769784,5.14388489208633,99.3296089385475,148.938547486034,39.8676880222841,23.050139275766,15.8077994428969,3.18435754189944,28.4,"Census Tract 9514, Mathews County, Virginia","51115951400","NORFOLK-VIRGINIA BEACH-NEWPORT NEWS, VA-NC",10.2286460292571,27.685,7.85036880927292,4.79452054794521,87.3551106427819,87.7797787496784,9.54463596604065,0.668896321070234,NA,0,0,0,0,6.54678541076052,6.97,12.3086292338553,221.6,83.1284916201117,14.9714285714286,1.45379023883697,9.05292479108635,10.4469273743017
51,115,"51115951300","Census Tract 9513, Mathews County, Virginia",4961,27027,13,46,2053,1033,237700,38,2047,1758,16.9084542271136,23.3616808404202,17.3586793396698,10.8054027013507,20.6603301650825,0,1.02249488752556,22.0858895705521,62.2358554873892,12.9856850715746,1.67007498295842,100,138.593063019052,29.1272075761454,27.5147171743025,15.2034809316611,3.27308255984367,30.5,"Census Tract 9513, Mathews County, Virginia","51115951300","NORFOLK-VIRGINIA BEACH-NEWPORT NEWS, VA-NC",10.2045916453195,27.027,0.615530303030303,2.1780303030303,97.2064393939394,84.8014513202983,10.0382987300947,0.423301753678694,NA,1.79399314654304,0,0,0,6.94022246911964,10.33,12.3787646533483,237.7,85.8817782120176,10.9054527263632,2.4314765694076,12.6439723573074,10.5031753786028
51,199,"51199050204","Census Tract 502.04, York County, Virginia",6350,38808,59,117,2485,1446,165600,22,1969,292,65.5384615384615,13.5,10.5384615384615,3.03846153846154,0,0,7.69578995020371,21.6840199185152,46.0389316432775,23.7211407876867,0.860117700316885,98.120873539868,110.817673946166,22.4091520861373,26.0094212651413,23.721399730821,1.37125444388014,30.8,"Census Tract 502.04, York County, Virginia","51199050204","NORFOLK-VIRGINIA BEACH-NEWPORT NEWS, VA-NC",10.5663816899251,38.808,2.21721157459602,4.39684329199549,93.3859451334085,69.4330708661417,14.9606299212598,5.25984251968504,NA,13.7952755905512,0,0,0,7.27655640271871,14.46,12.0173305209333,165.6,14.8298628745556,7.38461538461539,6.78137651821862,10.5989232839838,15.0837988826816
