"st","cty","GEOID","NAME","popData","incomeData","pov100","pov149","pov150","medRent","medValue","medAge","tenureUniverse","tenureOwn","com10","com20","com30","com40","com60","bed0","bed1","bed2","bed3","bed4","bed5","completePlumb","completeKitch","edHighSchool","edSomeColl","edBach","zeroCar","grapi","NAME2","GEOID2","city","logInc","thouInc","pct100","pct149","pct150","pctWht","pctBlk","pctAsn","pluWht","pctHisp","pluBlk","pluAsn","pluHisp","logMedRent","hunMedRent","logHousVal","thouHousVal","pctOwn","comBl10","pctUnemp","edGrad","singParentHH"
44,1,"44001030400","Census Tract 304, Bristol County, Rhode Island",4123,70568,1,17,1841,1816,625600,66,1386,1302,15.8198614318707,32.6789838337182,20.2078521939954,12.3556581986143,8.94919168591224,0,3.60054347826087,8.15217391304348,34.5788043478261,36.7527173913043,16.9157608695652,98.9177489177489,106.204906204906,3.34838224228743,8.76598946576373,32.5056433408578,1.87590187590188,50,"Census Tract 304, Bristol County, Rhode Island","44001030400","PROVIDENCE-WARWICK-PAWTUCKET, RI",11.1643320629386,70.568,0.0537923614846692,0.914470145239376,99.031737493276,95.852534562212,0.0727625515401407,2.81348532621877,NA,3.12878971622605,0,0,0,7.50439155916124,18.16,13.3464664682132,625.6,93.9393939393939,9.98845265588914,4.11167512690355,46.3506395786305,5.26695526695527
44,1,"44001030500","Census Tract 305, Bristol County, Rhode Island",3136,23981,171,156,1478,907,221900,79,1547,468,30.8823529411765,17.9298642533937,15.2149321266968,9.50226244343891,4.75113122171946,4.98550724637681,25.5072463768116,38.8985507246377,24.1739130434783,3.71014492753623,2.72463768115942,100,109.760827407886,28.9935760171306,23.3832976445396,15.3319057815846,15.6431803490627,31.7,"Census Tract 305, Bristol County, Rhode Island","44001030500","PROVIDENCE-WARWICK-PAWTUCKET, RI",10.0850171291299,23.981,9.47368421052632,8.64265927977839,81.8836565096953,96.109693877551,0.669642857142857,0.956632653061224,NA,4.5280612244898,0,0,0,6.81014245011514,9.07,12.3099821089207,221.9,30.2521008403361,21.7194570135747,8.31246870305458,7.88008565310493,28.0542986425339
44,1,"44001030601","Census Tract 306.01, Bristol County, Rhode Island",3483,36652,70,40,1669,1043,296300,46,1396,997,24.5423340961098,27.5743707093822,21.8535469107551,12.3569794050343,4.34782608695652,1.7579445571332,9.263015551048,27.789046653144,40.4327248140636,15.8215010141988,4.93576741041244,100,105.945558739255,32.4902723735409,16.4980544747082,19.0661478599222,0.573065902578797,36.1,"Census Tract 306.01, Bristol County, Rhode Island","44001030601","PROVIDENCE-WARWICK-PAWTUCKET, RI",10.5092232760851,36.652,3.93479482855537,2.24845418774592,93.8167509836987,98.9664082687339,0,0.545506747057135,NA,2.29687051392478,0,0,0,6.94985645500077,10.43,12.5991277335617,296.3,71.4183381088825,9.32494279176201,4.37242798353909,15.0972762645914,14.8280802292264
44,1,"44001030602","Census Tract 306.02, Bristol County, Rhode Island",3929,26279,189,80,1634,881,253000,53,1800,1087,21.7627856365615,13.4385201305767,18.5527747551687,23.721436343852,4.02611534276387,2.17276099629041,18.7599364069952,27.3979862215156,40.8585055643879,9.22098569157393,1.58982511923688,100,104.833333333333,26.8617021276596,17.7859042553191,21.5757978723404,9.05555555555556,28.5,"Census Tract 306.02, Bristol County, Rhode Island","44001030602","PROVIDENCE-WARWICK-PAWTUCKET, RI",10.1765254201242,26.279,9.93168681029953,4.20388859695218,85.8644245927483,98.7019597862051,0.279969457877322,0,NA,1.04352252481547,0,0,0,6.78105762593618,8.81,12.4411447677097,253,60.3888888888889,18.4983677910773,6.89985625299473,13.0651595744681,11.1666666666667
44,1,"44001030300","Census Tract 303, Bristol County, Rhode Island",4516,55662,12,26,2103,1436,379200,57,1703,1487,25.8858267716535,26.2795275590551,16.4370078740157,12.4015748031496,9.94094488188976,0.565291124929339,1.24364047484454,11.8711136235161,43.4143583945732,38.9485585076314,3.95703787450537,100,103.758073987082,11.8022328548644,10.3668261562998,28.7719298245614,0,28.6,"Census Tract 303, Bristol County, Rhode Island","44001030300","PROVIDENCE-WARWICK-PAWTUCKET, RI",10.9270529668813,55.662,0.560485754320411,1.21438580102756,98.225128444652,93.4455270150576,1.08503100088574,3.65367581930912,NA,1.21789193976971,0,0,0,7.26961674960817,14.36,12.845819049363,379.2,87.3165002935995,9.05511811023622,2.66666666666667,37.8628389154705,4.69759248385203
44,1,"44001030100","Census Tract 301, Bristol County, Rhode Island",4642,43804,19,83,2148,1178,353300,63,1889,1602,15.5388471177945,32.781954887218,18.7468671679198,11.0275689223058,7.21804511278196,3.41708542713568,6.33165829145729,18.643216080402,43.7185929648241,24.6733668341709,3.21608040201005,99.5764955002647,98.8353626257279,11.2680380718453,12.1891311022413,29.6284924777403,8.57596611964002,50,"Census Tract 301, Bristol County, Rhode Island","44001030100","PROVIDENCE-WARWICK-PAWTUCKET, RI",10.6874804163956,43.804,0.844444444444444,3.68888888888889,95.4666666666667,92.2878069797501,0.581645842309349,3.94226626454115,NA,2.34812580784145,0,0,0,7.07157336421153,11.78,12.7750728333472,353.3,84.8067760719958,14.68671679198,2.18212337389845,36.1682529935523,10.0052938062467
44,1,"44001030901","Census Tract 309.01, Bristol County, Rhode Island",5990,35500,25,45,2966,861,304000,43,2197,1931,20.1139792155548,13.2752262822662,28.1595709017767,11.9342943345625,7.54274220583305,2.19394471259324,5.7481351469943,18.5607722685388,49.5392716103554,21.4567792891619,2.5010969723563,100,101.456531634046,34.5029239766082,12.0332883490778,20.5128205128205,3.86891215293582,50,"Census Tract 309.01, Bristol County, Rhode Island","44001030901","PROVIDENCE-WARWICK-PAWTUCKET, RI",10.4772879754635,35.5,0.823451910408432,1.48221343873518,97.6943346508564,98.0801335559265,0.11686143572621,0.767946577629382,NA,4.99165275459098,0,0,0,6.75809450442773,8.61,12.6247829803884,304,87.8925807919891,18.9741870600067,8.3062370676914,10.4363472784525,7.69230769230769
44,1,"44001030200","Census Tract 302, Bristol County, Rhode Island",3023,35855,54,39,1592,1421,336300,64,1216,1066,25.1123956326268,28.5163776493256,19.0109184328837,8.99165061014772,5.52344251766217,0,3.44569288389513,14.6067415730337,54.3071161048689,23.5955056179775,4.04494382022472,100,109.786184210526,17.6283507496592,12.6760563380282,30.7133121308496,2.30263157894737,24.2,"Census Tract 302, Bristol County, Rhode Island","44001030200","PROVIDENCE-WARWICK-PAWTUCKET, RI",10.4872383063167,35.855,3.20474777448071,2.31454005934718,94.4807121661721,93.2186569632815,0.529275554085346,2.38173999338406,NA,2.38173999338406,0,0,0,7.2591161280971,14.21,12.7257588977284,336.3,87.6644736842105,12.8452151573539,5.00274876305662,25.3521126760563,12.7467105263158
44,1,"44001030700","Census Tract 307, Bristol County, Rhode Island",3961,26569,272,128,1632,954,278300,79,1941,663,20.2344546381244,14.8318042813456,26.2996941896024,23.5474006116208,4.28134556574923,7.64242704955998,19.9166280685503,39.0921723019917,22.3714682723483,8.98564150069477,1.99166280685503,100,108.75837197321,17.0566293658867,21.5327229569346,24.5167853509664,14.2709943328181,34.5,"Census Tract 307, Bristol County, Rhode Island","44001030700","PROVIDENCE-WARWICK-PAWTUCKET, RI",10.1875004016135,26.569,13.3858267716535,6.2992125984252,80.3149606299213,97.7783388033325,0.454430699318354,0.0504922999242616,NA,2.87806109568291,0,0,0,6.86066367144829,9.54,12.536454947514,278.3,34.1576506955178,10.8053007135576,4.94505494505495,9.96948118006104,15.9711488923235
44,1,"44001030902","Census Tract 309.02, Bristol County, Rhode Island",6504,33651,16,53,2752,1026,318200,44,2707,2046,19.1900766143743,21.7074060561839,28.018971178402,11.7110543597227,2.84567676030646,1.30173564753004,9.34579439252336,25.5340453938585,48.1308411214953,14.0854472630174,1.60213618157543,98.3007018840044,109.456963428149,22.0932559535721,12.2673604162497,24.0944566740044,4.39601034355375,29.4,"Census Tract 309.02, Bristol County, Rhode Island","44001030902","PROVIDENCE-WARWICK-PAWTUCKET, RI",10.4237980523133,33.651,0.567174760723148,1.87876639489543,97.5540588443814,93.9268142681427,3.13653136531365,2.47539975399754,NA,0.738007380073801,0,0,0,6.93342302573071,10.26,12.6704353948858,318.2,75.5818248984115,16.5268150310106,1.8997197134849,22.4934960976586,8.64425563354267
