"st","cty","GEOID","NAME","popData","incomeData","pov100","pov149","pov150","medRent","medValue","medAge","tenureUniverse","tenureOwn","com10","com20","com30","com40","com60","bed0","bed1","bed2","bed3","bed4","bed5","completePlumb","completeKitch","edHighSchool","edSomeColl","edBach","zeroCar","grapi","NAME2","GEOID2","city","logInc","thouInc","pct100","pct149","pct150","pctWht","pctBlk","pctAsn","pluWht","pctHisp","pluBlk","pluAsn","pluHisp","logMedRent","hunMedRent","logHousVal","thouHousVal","pctOwn","comBl10","pctUnemp","edGrad","singParentHH"
6,85,"06085512005","Census Tract 5120.05, Santa Clara County, California",6683,41671,41,167,3336,2366,691000,48,2217,1673,28.030303030303,20.3088578088578,21.2412587412587,17.7447552447552,6.35198135198135,0,1.3531799729364,7.893549842129,47.2710870545783,39.3324312133514,4.14975191700496,100,100,16.7334035827187,25.100105374078,33.1717597471022,0.85701398285972,40.9,"Census Tract 5120.05, Santa Clara County, California","06085512005","SAN JOSE, CA",10.6375607222087,41.671,1.1568848758465,4.71218961625282,94.1309255079007,70.4324405207242,1.67589405955409,16.0107736046686,NA,25.662127786922,0,0,0,7.76895604453833,23.66,13.4458951027498,691,75.4623364907533,6.32284382284382,4.66045272969374,7.60800842992624,21.3351375732972
6,85,"06085512603","Census Tract 5126.03, Santa Clara County, California",4421,20438,292,329,1273,1341,317300,47,1101,233,28.7486515641855,7.71305285868393,13.6461704422869,12.2437971952535,14.7249190938511,7.23214285714286,11.6071428571429,35.1785714285714,32.5,11.9642857142857,1.51785714285714,100,100.908265213442,17.0305676855895,21.6752679634776,6.11353711790393,9.90009082652134,34.4,"Census Tract 5126.03, Santa Clara County, California","06085512603","SAN JOSE, CA",9.92515119217216,20.438,15.4171066525871,17.3706441393875,67.2122492080253,71.1829902736937,1.56073286586745,2.60122144311242,NA,86.1117394254694,0,0,1,7.20117088328168,13.41,12.6676029775713,317.3,21.1625794732062,22.9234088457389,9.90610328638498,2.42159587137753,34.3324250681199
6,85,"06085512017","Census Tract 5120.17, Santa Clara County, California",9119,26293,401,154,3832,1492,508200,43,2213,1370,25.7297551789077,21.5160075329567,22.1751412429379,21.7278719397363,4.19020715630885,5.11338372610049,3.77945753668297,13.428190306803,41.0849266340596,34.2819030680302,2.3121387283237,100,101.626751016719,28.4537497854814,19.1693839025227,17.2644585550026,5.01581563488477,45.4,"Census Tract 5120.17, Santa Clara County, California","06085512017","SAN JOSE, CA",10.1770580230433,26.293,9.14064280829724,3.51037155231365,87.3489856393891,41.3422524399605,4.36451365281281,33.5892093431297,NA,48.3605658515188,0,0,1,7.30787278076371,14.92,13.1386303498682,508.2,61.9069136918211,4.66101694915254,9.33680625125225,7.22498712888279,19.8825124265703
6,85,"06085503331","Census Tract 5033.31, Santa Clara County, California",3492,44022,19,9,1595,1636,640000,42,1360,1120,13.1931166347992,18.1644359464627,28.7444231994901,19.949012109624,13.5117909496495,0,14.0756302521008,35.2941176470588,17.5070028011204,28.9915966386555,4.13165266106443,100,105,11.8922700244841,23.8894718433019,29.3109478838755,7.35294117647059,45.3,"Census Tract 5033.31, Santa Clara County, California","06085503331","SAN JOSE, CA",10.692444787942,44.022,1.17067159581023,0.55452865064695,98.2747997535428,51.6609392898053,5.26918671248568,32.8178694158076,NA,22.4799541809851,0,0,0,7.40000951716269,16.36,13.3692234553359,640,82.3529411764706,6.43722115997451,7.14690867838911,17.9783140958377,5.66176470588235
6,85,"06085512001","Census Tract 5120.01, Santa Clara County, California",6720,66250,50,10,3368,2613,684800,24,2012,1685,11.5479876160991,22.6625386996904,21.1145510835913,23.5603715170279,13.5294117647059,0,1.52019002375297,12.1615201900238,31.8764845605701,42.1377672209026,12.3040380047506,100,104.62226640159,9.34474217518577,14.6588606169782,37.0186894843504,0.894632206759443,18.2,"Census Tract 5120.01, Santa Clara County, California","06085512001","SAN JOSE, CA",11.1011907438485,66.25,1.4585764294049,0.29171528588098,98.2497082847141,37.5297619047619,1.93452380952381,48.9583333333333,NA,20.4017857142857,0,1,0,7.86825426552061,26.13,13.4368821038097,684.8,83.7475149105368,7.58513931888545,4.76449768581541,26.7957667192074,9.29423459244533
6,85,"06085513500","Census Tract 5135, Santa Clara County, California",854,37917,0,11,310,1036,981600,47,306,209,8.87372013651877,19.7952218430034,13.9931740614334,23.8907849829352,26.2798634812287,4.77223427331887,2.60303687635575,24.295010845987,36.8763557483731,13.882863340564,17.5704989154013,100,126.143790849673,20.3525641025641,33.6538461538462,16.6666666666667,1.63398692810458,18.4,"Census Tract 5135, Santa Clara County, California","06085513500","SAN JOSE, CA",10.5431548393152,37.917,0,3.42679127725857,96.5732087227414,73.7704918032787,3.1615925058548,7.02576112412178,NA,21.1943793911007,0,0,0,6.94312242281943,10.36,13.7969391723788,981.6,68.3006535947712,7.16723549488055,2.09580838323353,15.224358974359,7.51633986928105
6,85,"06085513000","Census Tract 5130, Santa Clara County, California",8254,15369,280,146,1616,1537,NA,27,2223,10,56.7886301784094,11.1279104928939,2.90293317205927,2.35863320229816,1.87481100695494,30.9979633401222,23.8289205702648,38.4928716904277,3.42158859470468,2.68839103869654,0.570264765784114,100,109.266756635178,1.01434067855894,1.39909059111577,48.33857992305,31.0391363022942,44.6,"Census Tract 5130, Santa Clara County, California","06085513000","SAN JOSE, CA",9.64010777260731,15.369,13.7120470127326,7.14985308521058,79.1380999020568,49.29731039496,4.76132784104677,35.5827477586625,NA,11.4247637509087,0,0,0,7.3375877435386,15.37,NA,NA,0.449842555105713,24.9470819473843,5.39473684210526,47.2542847149353,0.449842555105713
6,85,"06085506203","Census Tract 5062.03, Santa Clara County, California",6677,45491,112,261,2775,1779,577500,43,2379,613,26.2680550890158,43.8024857238831,15.7541148807524,4.60194827007054,8.36412495801142,3.44827586206897,32.5067803177063,45.6799690042619,14.8779542812863,3.0608291359938,0.426191398682681,100,108.490962589323,12.7333333333333,13.6444444444444,29.6666666666667,9.58385876418663,26,"Census Tract 5062.03, Santa Clara County, California","06085506203","SAN JOSE, CA",10.7252697831758,45.491,3.55781448538755,8.29097839898348,88.151207115629,15.1714841994908,3.50456791972443,65.1490190205182,NA,14.2878538265688,0,1,0,7.48380668766583,17.79,13.2664637213781,577.5,25.7671290458176,1.20927107826671,1.76805513934672,32.1555555555556,16.7297183690626
6,85,"06085508202","Census Tract 5082.02, Santa Clara County, California",7606,57182,55,139,3789,2194,1032600,54,2772,1620,33.5082872928177,25.9668508287293,20.2209944751381,6.51933701657459,1.68508287292818,0,10.4791451223716,19.3381592554292,43.1575318855567,19.8552223371251,7.16994139951741,100,104.65367965368,7.72589217919514,11.7691723614275,33.2574031890661,3.71572871572872,26,"Census Tract 5082.02, Santa Clara County, California","06085508202","SAN JOSE, CA",10.9539944425294,57.182,1.38086869194075,3.48983178508662,95.1292995229726,46.4764659479358,2.69524059952669,42.9923744412306,NA,10.1630291874836,0,0,0,7.69348164083518,21.94,13.8475904514277,1032.6,58.4415584415584,12.0994475138122,3.13390313390313,33.6940015186029,5.59163059163059
6,85,"06085509801","Census Tract 5098.01, Santa Clara County, California",5679,60259,25,154,2774,1490,1246700,59,2172,1405,29.0062981105668,27.3617914625612,20.6438068579426,10.8467459762071,6.36808957312806,3.87494495816821,18.4940554821664,16.8648172611184,32.9370321444298,19.8590929106121,7.97005724350506,98.2965009208103,102.854511970534,7.37644455372511,10.1057290386034,31.1777723137448,3.9134438305709,22.3,"Census Tract 5098.01, Santa Clara County, California","06085509801","SAN JOSE, CA",11.0064072177905,60.259,0.846596681341009,5.21503555706062,93.9383677615984,63.8492692375418,0.845219228737454,26.8885367142102,NA,11.2871984504314,0,0,0,7.30653139893951,14.9,14.0360106183331,1246.7,64.6869244935543,5.77326801959412,4.63703229932843,40.6442094910253,9.85267034990792
