name,countyList,state
Dallas,"113,321,251,425,367,379,467,181,139,439,257,349,497,213,217,85,147,97,121,397",TX
Seattle,"33,53,61",WA
Spokane,"63,65,51",WA
SanFrancisco,"1,13,41,75,81",CA
Fresno,"19,39",CA
LosAngelesSanDiego,"111,37,59,65,25,71,73",CA
Denver,"1,5,14,31,35,59",CO
Wichita,,
Austin,,
KansasCity,,
Springfield,,
Minneapolis,,
StLouis,,
Duluth,,
Madison,,
Indianapolis,,
Columbus,,
Knoxville,,
Birmingham,,
Cleveland,,
NewOrleans,,
Mobile,,
Montgomery,,
Atlanta,,
Augusta,,
Jacksonville,,
Miami,,
Tampa,,
Charlotte,,
Roanoke,,
Lynchburg,,
Richmond,,
Norfolk,,
Pittsburgh,,
Erie,,
Buffalo,,
Baltimore,,
Philadelphia,,
Syracuse,,
Albany,,
Boston,,
Trenton,,
AtlanticCity,,
,,
,,
Portland,"5,9,51,67,71,WA11,WA59",
Sacramento,"67,113,17,61,101,115,57,NV5",
