"st","cty","GEOID","NAME","whtEdU","whtEdhsMal","whtEdhsFem","whtEdSmclMal","whtEdSmclFem","whtEdBachMal","whtEdBachFem","blkEdU","blkEdhsMal","blkEdhsFem","blkEdSmclMal","blkEdSmclFem","blkEdBachMal","blkEdBachFem","whtLabForceMal","whtUnempMal","whtLabForceFem","whtUnempFem","blkLabForceMal","blkUnempMal","blkLabForceFem","blkUnempFem","whtInc","blkInc","whtPovU","whtBlPov","blkPovU","blkBlPov","racWht","racBlk","NAME1","GEOID1","city","whtHS","whtSmcl","whtBach","blkHS","blkSmcl","blkBach","whtUnemp","blkUnemp","whtPctBlPov","blkPctBlPov"
13,113,"13113140208","Census Tract 1402.08, Fayette County, Georgia",3216,75,334,430,451,919,897,676,14,41,123,152,119,126,1288,54,1158,100,295,50,166,0,90000,44875,4882,207,1285,193,4974,1307,"Census Tract 1402.08, Fayette County, Georgia","13113140208","ATLANTA, GA",12.7176616915423,27.3942786069652,56.4676616915423,8.13609467455621,40.6804733727811,36.2426035502959,6.29599345870809,10.8459869848156,4.24006554690701,15.0194552529183
13,113,"13113140303","Census Tract 1403.03, Fayette County, Georgia",2850,243,323,329,383,770,677,111,6,11,18,12,38,26,1103,95,845,21,53,0,38,0,79389,133393,4428,246,131,0,4428,131,"Census Tract 1403.03, Fayette County, Georgia","13113140303","ATLANTA, GA",19.859649122807,24.9824561403509,50.7719298245614,15.3153153153153,27.027027027027,57.6576576576577,5.95482546201232,0,5.55555555555556,0
13,113,"13113140102","Census Tract 1401.02, Fayette County, Georgia",2156,344,421,372,219,261,335,1460,172,97,195,241,290,412,718,15,610,14,453,57,471,15,73040,78224,2777,81,2101,252,2777,2101,"Census Tract 1401.02, Fayette County, Georgia","13113140102","ATLANTA, GA",35.4823747680891,27.4118738404453,27.6437847866419,18.4246575342466,29.8630136986301,48.0821917808219,2.18373493975904,7.79220779220779,2.91681670867843,11.994288434079
13,113,"13113140206","Census Tract 1402.06, Fayette County, Georgia",2663,191,278,232,471,757,662,147,28,0,0,0,34,85,994,82,858,85,40,0,40,0,109853,122344,3955,362,172,0,3962,172,"Census Tract 1402.06, Fayette County, Georgia","13113140206","ATLANTA, GA",17.6117161096508,26.3987983477281,53.285767930905,19.047619047619,0,80.9523809523809,9.01727861771058,0,9.15297092288243,0
13,113,"13113140207","Census Tract 1402.07, Fayette County, Georgia",3304,166,177,271,387,1167,1054,256,38,13,27,23,39,116,1232,17,1049,56,82,0,51,0,105709,63438,4667,109,289,0,4667,289,"Census Tract 1402.07, Fayette County, Georgia","13113140207","ATLANTA, GA",10.3813559322034,19.9152542372881,67.2215496368039,19.921875,19.53125,60.546875,3.20035072336694,0,2.33554746089565,0
13,113,"13113140406","Census Tract 1404.06, Fayette County, Georgia",1628,200,264,296,286,297,227,642,55,99,103,81,95,167,540,68,436,61,209,12,293,85,46429,48214,2041,288,1128,221,2041,1128,"Census Tract 1404.06, Fayette County, Georgia","13113140406","ATLANTA, GA",28.5012285012285,35.7493857493857,32.1867321867322,23.98753894081,28.6604361370716,40.809968847352,13.2172131147541,19.3227091633466,14.1107300342969,19.5921985815603
13,113,"13113140101","Census Tract 1401.01, Fayette County, Georgia",1848,262,380,238,153,263,252,2926,419,199,440,346,575,787,482,14,325,69,1184,155,1004,72,40083,85804,2259,631,4278,229,2259,4278,"Census Tract 1401.01, Fayette County, Georgia","13113140101","ATLANTA, GA",34.7402597402597,21.1580086580087,27.8679653679654,21.120984278879,26.8626110731374,46.5481886534518,10.2850061957869,10.3747714808044,27.9327135900841,5.35296867695185
13,113,"13113140204","Census Tract 1402.04, Fayette County, Georgia",2438,231,258,380,360,359,496,1126,51,149,155,190,267,304,987,59,745,40,412,61,444,68,74375,105492,3501,477,1571,119,3510,1571,"Census Tract 1402.04, Fayette County, Georgia","13113140204","ATLANTA, GA",20.0574241181296,30.3527481542248,35.0697292863002,17.7619893428064,30.639431616341,50.7104795737123,5.71593533487298,15.0700934579439,13.6246786632391,7.57479312539784
13,113,"13113140307","Census Tract 1403.07, Fayette County, Georgia",2724,47,71,227,383,1035,934,224,0,31,24,34,51,75,1331,17,851,53,56,8,51,0,158456,175357,4522,24,310,0,4522,310,"Census Tract 1403.07, Fayette County, Georgia","13113140307","ATLANTA, GA",4.33186490455213,22.3935389133627,72.2834067547724,13.8392857142857,25.8928571428571,56.25,3.20806599450046,7.47663551401869,0.530738611233967,0
13,113,"13113140502","Census Tract 1405.02, Fayette County, Georgia",2156,340,256,362,346,290,457,84,6,5,10,26,19,11,889,29,669,26,37,3,28,0,75800,131389,3415,110,110,5,3415,110,"Census Tract 1405.02, Fayette County, Georgia","13113140502","ATLANTA, GA",27.6437847866419,32.8385899814471,34.6474953617811,13.0952380952381,42.8571428571429,35.7142857142857,3.53016688061617,4.61538461538462,3.22108345534407,4.54545454545455
