"st","cty","GEOID","NAME","whtEdU","whtEdhsMal","whtEdhsFem","whtEdSmclMal","whtEdSmclFem","whtEdBachMal","whtEdBachFem","blkEdU","blkEdhsMal","blkEdhsFem","blkEdSmclMal","blkEdSmclFem","blkEdBachMal","blkEdBachFem","whtLabForceMal","whtUnempMal","whtLabForceFem","whtUnempFem","blkLabForceMal","blkUnempMal","blkLabForceFem","blkUnempFem","whtInc","blkInc","whtPovU","whtBlPov","blkPovU","blkBlPov","racWht","racBlk","NAME1","GEOID1","city","whtHS","whtSmcl","whtBach","blkHS","blkSmcl","blkBach","whtUnemp","blkUnemp","whtPctBlPov","blkPctBlPov"
24,13,"24013504100","Census Tract 5041, Carroll County, Maryland",3356,813,443,354,553,435,553,243,21,46,11,89,69,7,1505,69,1211,69,118,11,82,0,92581,151806,4642,243,341,21,4649,354,"Census Tract 5041, Carroll County, Maryland","24013504100","BALTIMORE, MD",37.4255065554231,27.0262216924911,29.4398092967819,27.5720164609054,41.1522633744856,31.2757201646091,5.08100147275405,5.5,5.23481258078415,6.158357771261
24,13,"24013507602","Census Tract 5076.02, Carroll County, Maryland",2796,532,428,416,437,248,387,316,58,38,17,79,48,17,882,40,898,131,81,0,106,0,51711,105625,3463,135,413,66,3686,466,"Census Tract 5076.02, Carroll County, Maryland","24013507602","BALTIMORE, MD",34.3347639484979,30.5078683834049,22.7110157367668,30.379746835443,30.379746835443,20.5696202531646,9.60674157303371,0,3.89835402829916,15.9806295399516
24,13,"24013503000","Census Tract 5030, Carroll County, Maryland",3749,775,724,530,553,274,451,109,43,0,14,31,21,0,1271,95,1447,65,78,43,0,0,74053,NA,4894,264,126,52,4970,126,"Census Tract 5030, Carroll County, Maryland","24013503000","BALTIMORE, MD",39.9839957321953,28.88770338757,19.3384902640704,39.4495412844037,41.2844036697248,19.2660550458716,5.88668138337013,55.1282051282051,5.39436044135676,41.2698412698413
24,13,"24013502000","Census Tract 5020, Carroll County, Maryland",2787,628,292,368,526,379,391,7,0,0,0,0,7,0,1155,77,936,38,7,0,0,0,79792,NA,3809,136,7,0,3809,7,"Census Tract 5020, Carroll County, Maryland","24013502000","BALTIMORE, MD",33.0104054538931,32.0775026910657,27.6282741298888,0,0,100,5.49976087996174,0,3.57049094250459,0
24,13,"24013508102","Census Tract 5081.02, Carroll County, Maryland",2031,335,343,233,341,319,351,13,0,0,0,13,0,0,937,52,908,37,0,0,0,0,78750,NA,3023,153,13,13,3023,13,"Census Tract 5081.02, Carroll County, Maryland","24013508102","BALTIMORE, MD",33.3825701624815,28.2619399310684,32.9886755292959,0,100,0,4.82384823848238,NA,5.06119748594112,100
24,13,"24013504201","Census Tract 5042.01, Carroll County, Maryland",4029,546,536,447,590,931,823,66,0,0,19,0,20,27,1512,88,1404,37,38,0,27,0,102478,NA,5555,221,66,1,5555,66,"Census Tract 5042.01, Carroll County, Maryland","24013504201","BALTIMORE, MD",26.855299081658,25.7383966244726,43.5343757756267,0,28.7878787878788,71.2121212121212,4.28669410150892,0,3.97839783978398,1.51515151515152
24,13,"24013507802","Census Tract 5078.02, Carroll County, Maryland",3274,416,461,511,562,466,625,57,30,0,4,4,10,6,1260,79,1193,60,36,0,6,0,86667,NA,4508,101,63,23,4508,63,"Census Tract 5078.02, Carroll County, Maryland","24013507802","BALTIMORE, MD",26.7868051313378,32.773365913256,33.3231521075137,52.6315789473684,14.0350877192982,28.0701754385965,5.6665307786384,0,2.24046140195209,36.5079365079365
24,13,"24013501002","Census Tract 5010.02, Carroll County, Maryland",3588,734,822,331,499,306,490,114,70,0,0,0,31,13,1231,51,1113,20,23,0,0,0,66763,NA,4505,390,114,70,4564,114,"Census Tract 5010.02, Carroll County, Maryland","24013501002","BALTIMORE, MD",43.3667781493868,23.1326644370123,22.1850613154961,61.4035087719298,0,38.5964912280702,3.02901023890785,0,8.65704772475028,61.4035087719298
24,13,"24013501001","Census Tract 5010.01, Carroll County, Maryland",2648,528,543,350,348,199,300,93,18,0,0,53,9,13,1263,86,1019,34,27,0,66,0,72115,NA,4071,478,246,0,4071,246,"Census Tract 5010.01, Carroll County, Maryland","24013501001","BALTIMORE, MD",40.4456193353474,26.3595166163142,18.8444108761329,19.3548387096774,56.989247311828,23.6559139784946,5.25854513584575,0,11.7415868337018,0
24,13,"24013507703","Census Tract 5077.03, Carroll County, Maryland",2216,197,323,350,420,413,445,112,0,0,0,0,66,36,632,45,547,9,66,31,36,0,75515,NA,2905,180,163,15,3004,173,"Census Tract 5077.03, Carroll County, Maryland","24013507703","BALTIMORE, MD",23.4657039711191,34.7472924187726,38.7184115523466,0,0,91.0714285714286,4.58015267175572,30.3921568627451,6.19621342512909,9.20245398773006
