"st","cty","GEOID","NAME","whtEdU","whtEdhsMal","whtEdhsFem","whtEdSmclMal","whtEdSmclFem","whtEdBachMal","whtEdBachFem","blkEdU","blkEdhsMal","blkEdhsFem","blkEdSmclMal","blkEdSmclFem","blkEdBachMal","blkEdBachFem","whtLabForceMal","whtUnempMal","whtLabForceFem","whtUnempFem","blkLabForceMal","blkUnempMal","blkLabForceFem","blkUnempFem","whtInc","blkInc","whtPovU","whtBlPov","blkPovU","blkBlPov","racWht","racBlk","NAME1","GEOID1","city","whtHS","whtSmcl","whtBach","blkHS","blkSmcl","blkBach","whtUnemp","blkUnemp","whtPctBlPov","blkPctBlPov"
1,115,"01115040205","Census Tract 402.05, St. Clair County, Alabama",4021,712,498,426,859,440,502,271,58,55,0,135,0,0,992,36,1124,115,0,0,212,0,65202,NA,5238,485,407,0,5238,407,"Census Tract 402.05, St. Clair County, Alabama","01115040205","BIRMINGHAM, AL",30.0920169112161,31.9572245710022,23.4270082069137,41.6974169741697,49.8154981549816,0,7.13610586011342,0,9.25925925925926,0
1,115,"01115040300","Census Tract 403, St. Clair County, Alabama",3533,678,723,635,676,159,81,311,70,94,24,8,2,26,1277,94,692,18,102,6,106,9,47699,42917,5118,1014,455,42,5150,455,"Census Tract 403, St. Clair County, Alabama","01115040300","BIRMINGHAM, AL",39.6546844041891,37.1072742711577,6.79309368808378,52.7331189710611,10.2893890675241,9.0032154340836,5.68816658202133,7.21153846153846,19.8124267291911,9.23076923076923
1,115,"01115040201","Census Tract 402.01, St. Clair County, Alabama",3543,684,643,359,553,162,273,26,0,0,14,4,0,0,1097,110,1030,132,18,0,0,0,36558,NA,4945,946,44,32,4960,44,"Census Tract 402.01, St. Clair County, Alabama","01115040201","BIRMINGHAM, AL",37.4541349139148,25.7408975444539,12.2777307366638,0,69.2307692307692,0,11.3775270333803,0,19.1304347826087,72.7272727272727
1,115,"01115040105","Census Tract 401.05, St. Clair County, Alabama",3017,460,588,388,339,175,234,88,20,0,17,0,25,16,873,65,652,35,9,0,16,0,41583,NA,4084,1036,164,94,4186,184,"Census Tract 401.05, St. Clair County, Alabama","01115040105","BIRMINGHAM, AL",34.7364932051707,24.096784885648,13.556513092476,22.7272727272727,19.3181818181818,46.5909090909091,6.55737704918033,0,25.3672869735553,57.3170731707317
1,115,"01115040106","Census Tract 401.06, St. Clair County, Alabama",3997,686,838,588,743,253,266,353,0,0,27,134,114,78,1534,147,1374,105,141,0,175,42,62387,51441,5527,608,662,134,5527,662,"Census Tract 401.06, St. Clair County, Alabama","01115040106","BIRMINGHAM, AL",38.1285964473355,33.2999749812359,12.9847385539154,0,45.6090651558074,54.3909348441926,8.66574965612105,13.2911392405063,11.0005427899403,20.2416918429003
1,115,"01115040204","Census Tract 402.04, St. Clair County, Alabama",4151,797,777,592,839,442,319,586,27,0,76,122,8,20,1568,168,1103,51,298,81,219,0,52590,NA,6001,802,918,184,6006,918,"Census Tract 402.04, St. Clair County, Alabama","01115040204","BIRMINGHAM, AL",37.9185738376295,34.4736208142616,18.3329318236569,4.60750853242321,33.7883959044369,4.77815699658703,8.19917633845002,15.6673114119923,13.3644392601233,20.0435729847495
1,115,"01115040103","Census Tract 401.03, St. Clair County, Alabama",5336,844,1024,922,883,510,643,577,83,41,33,99,67,161,2222,124,1891,124,237,0,253,0,62622,51132,7894,577,1055,145,7894,1055,"Census Tract 401.03, St. Clair County, Alabama","01115040103","BIRMINGHAM, AL",35.0074962518741,33.8268365817091,21.6079460269865,21.4904679376083,22.8769497400347,39.5147313691508,6.02966204716752,0,7.30934887256144,13.7440758293839
1,115,"01115040501","Census Tract 405.01, St. Clair County, Alabama",7976,1498,1676,1026,931,759,933,196,29,0,0,92,73,0,2931,148,2210,110,102,29,92,0,78673,NA,11435,593,196,60,11435,196,"Census Tract 405.01, St. Clair County, Alabama","01115040501","BIRMINGHAM, AL",39.7943831494483,24.5361083249749,21.2136409227683,14.7959183673469,46.9387755102041,37.2448979591837,5.01847889515658,14.9484536082474,5.18583296895496,30.6122448979592
1,115,"01115040104","Census Tract 401.04, St. Clair County, Alabama",3361,504,710,690,686,175,330,290,58,75,46,36,38,37,981,118,1268,104,196,0,117,0,64564,47742,4469,143,452,0,4469,452,"Census Tract 401.04, St. Clair County, Alabama","01115040104","BIRMINGHAM, AL",36.1202023207379,40.9401963701279,15.0252900922345,45.8620689655172,28.2758620689655,25.8620689655172,9.87105380168964,0,3.19982098903558,0
1,115,"01115040401","Census Tract 404.01, St. Clair County, Alabama",2864,438,584,459,394,107,149,574,110,91,77,93,0,73,838,22,753,40,178,6,194,0,37778,27557,4213,1436,827,201,4270,858,"Census Tract 404.01, St. Clair County, Alabama","01115040401","BIRMINGHAM, AL",35.6843575418994,29.7835195530726,8.93854748603352,35.0174216027875,29.616724738676,12.7177700348432,3.89692017598994,1.61290322580645,34.0849750771422,24.3047158403869
