"st","cty","GEOID","NAME","whtEdU","whtEdhsMal","whtEdhsFem","whtEdSmclMal","whtEdSmclFem","whtEdBachMal","whtEdBachFem","blkEdU","blkEdhsMal","blkEdhsFem","blkEdSmclMal","blkEdSmclFem","blkEdBachMal","blkEdBachFem","whtLabForceMal","whtUnempMal","whtLabForceFem","whtUnempFem","blkLabForceMal","blkUnempMal","blkLabForceFem","blkUnempFem","whtInc","blkInc","whtPovU","whtBlPov","blkPovU","blkBlPov","racWht","racBlk","NAME1","GEOID1","city","whtHS","whtSmcl","whtBach","blkHS","blkSmcl","blkBach","whtUnemp","blkUnemp","whtPctBlPov","blkPctBlPov"
25,17,"25017338300","Census Tract 3383, Middlesex County, Massachusetts",2036,31,123,81,123,795,820,27,27,0,0,0,0,0,759,94,499,9,27,0,0,0,128676,NA,2998,19,30,3,3028,30,"Census Tract 3383, Middlesex County, Massachusetts","25017338300","BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA",7.56385068762279,10.0196463654224,79.3222003929273,100,0,0,8.18759936406995,0,0.633755837224817,10
25,17,"25017337202","Census Tract 3372.02, Middlesex County, Massachusetts",3715,481,467,460,681,737,651,16,0,0,16,0,0,0,1391,80,1311,50,0,0,0,0,79688,NA,4764,134,31,0,4787,31,"Census Tract 3372.02, Middlesex County, Massachusetts","25017337202","BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA",25.5181695827725,30.7133243606999,37.3620457604307,0,100,0,4.81125092524056,NA,2.8127623845508,0
25,17,"25017301101","Census Tract 3011.01, Middlesex County, Massachusetts",2682,371,417,425,425,392,497,1,0,0,0,0,0,0,1113,50,949,27,0,0,0,0,73400,NA,3865,222,1,1,3879,1,"Census Tract 3011.01, Middlesex County, Massachusetts","25017301101","BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA",29.3810589112603,31.6927665920954,33.1469052945563,0,0,0,3.73423860329777,NA,5.74385510996119,100
25,17,"25017310100","Census Tract 3101, Middlesex County, Massachusetts",2685,173,303,359,334,623,365,277,0,64,51,39,49,0,1161,182,996,69,140,10,146,0,36055,NA,3332,914,501,145,3676,586,"Census Tract 3101, Middlesex County, Massachusetts","25017310100","BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA",17.7281191806331,25.8100558659218,36.7970204841713,23.1046931407942,32.4909747292419,17.6895306859206,11.6365322206769,3.4965034965035,27.4309723889556,28.9421157684631
25,17,"25017310300","Census Tract 3103, Middlesex County, Massachusetts",2450,504,409,341,337,189,229,454,155,24,17,128,35,53,996,127,869,69,175,31,177,12,37468,48750,3836,1065,794,204,3836,907,"Census Tract 3103, Middlesex County, Massachusetts","25017310300","BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA",37.265306122449,27.6734693877551,17.0612244897959,39.4273127753304,31.9383259911894,19.3832599118943,10.5093833780161,12.2159090909091,27.7632950990615,25.6926952141058
25,17,"25017324102","Census Tract 3241.02, Middlesex County, Massachusetts",2954,229,251,295,398,899,857,15,0,0,8,7,0,0,1173,71,1064,85,8,0,7,0,106442,NA,4003,115,22,0,4013,25,"Census Tract 3241.02, Middlesex County, Massachusetts","25017324102","BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA",16.249153689912,23.4597156398104,59.4448205822613,0,100,0,6.97362539114886,0,2.87284536597552,0
25,17,"25017363102","Census Tract 3631.02, Middlesex County, Massachusetts",3062,246,168,241,260,909,1209,141,23,0,0,29,89,0,1126,61,846,71,112,0,26,0,84637,NA,3659,324,192,0,3803,195,"Census Tract 3631.02, Middlesex County, Massachusetts","25017363102","BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA",13.5205747877204,16.3618549967342,69.1704768125408,16.3120567375887,20.5673758865248,63.1205673758865,6.69371196754564,0,8.8548783820716,0
25,17,"25017363103","Census Tract 3631.03, Middlesex County, Massachusetts",1712,48,31,152,123,659,691,36,0,0,0,0,16,20,705,44,628,52,16,0,0,0,125000,NA,2537,41,71,0,2544,71,"Census Tract 3631.03, Middlesex County, Massachusetts","25017363103","BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA",4.61448598130841,16.0630841121495,78.8551401869159,0,0,100,7.20180045011253,0,1.61608198659834,0
25,17,"25017374600","Census Tract 3746, Middlesex County, Massachusetts",2945,259,185,159,272,852,1053,65,0,7,13,0,22,23,1145,102,1196,40,31,0,30,0,114521,172656,4058,104,135,10,4058,135,"Census Tract 3746, Middlesex County, Massachusetts","25017374600","BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA",15.0764006791171,14.634974533107,64.6859083191851,10.7692307692308,20,69.2307692307692,6.06578385305425,0,2.56283883686545,7.40740740740741
25,17,"25017310200","Census Tract 3102, Middlesex County, Massachusetts",3108,785,654,360,415,138,397,278,99,85,50,32,0,0,1346,138,1139,12,156,21,107,0,56701,58781,4757,316,307,0,4918,342,"Census Tract 3102, Middlesex County, Massachusetts","25017310200","BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA",46.2998712998713,24.9356499356499,17.2136422136422,66.1870503597122,29.4964028776978,0,6.03621730382294,7.98479087452472,6.64284212739121,0
