"st","cty","GEOID","NAME","whtEdU","whtEdhsMal","whtEdhsFem","whtEdSmclMal","whtEdSmclFem","whtEdBachMal","whtEdBachFem","blkEdU","blkEdhsMal","blkEdhsFem","blkEdSmclMal","blkEdSmclFem","blkEdBachMal","blkEdBachFem","whtLabForceMal","whtUnempMal","whtLabForceFem","whtUnempFem","blkLabForceMal","blkUnempMal","blkLabForceFem","blkUnempFem","whtInc","blkInc","whtPovU","whtBlPov","blkPovU","blkBlPov","racWht","racBlk","NAME1","GEOID1","city","whtHS","whtSmcl","whtBach","blkHS","blkSmcl","blkBach","whtUnemp","blkUnemp","whtPctBlPov","blkPctBlPov"
36,29,"36029000110","Census Tract 1.10, Erie County, New York",1472,349,282,260,217,147,77,95,74,0,0,7,0,14,568,72,441,42,139,0,14,0,46429,50478,2016,429,217,0,2042,217,"Census Tract 1.10, Erie County, New York","36029000110","BUFFALO-NIAGARA FALLS, NY",42.866847826087,32.4048913043478,15.2173913043478,77.8947368421053,7.36842105263158,14.7368421052632,11.2983151635282,0,21.2797619047619,0
36,29,"36029002400","Census Tract 24, Erie County, New York",2306,469,445,391,327,87,82,310,41,93,35,103,0,9,723,81,778,163,51,25,248,61,32708,16000,3008,811,725,308,3008,725,"Census Tract 24, Erie County, New York","36029002400","BUFFALO-NIAGARA FALLS, NY",39.6357328707719,31.1361665221162,7.32870771899393,43.2258064516129,44.5161290322581,2.90322580645161,16.2558294470353,28.7625418060201,26.9614361702128,42.4827586206897
36,29,"36029001000","Census Tract 10, Erie County, New York",3401,746,683,381,498,355,228,247,48,0,128,13,0,13,1080,195,1047,79,184,27,39,13,42051,NA,4788,982,496,233,4822,496,"Census Tract 10, Erie County, New York","36029001000","BUFFALO-NIAGARA FALLS, NY",42.0170538077036,25.8453396059982,17.1420170538077,19.4331983805668,57.085020242915,5.26315789473684,12.8819934179596,17.9372197309417,20.5096073517126,46.9758064516129
36,29,"36029003301","Census Tract 33.01, Erie County, New York",127,15,24,8,40,8,16,2091,219,422,364,539,116,166,8,0,36,0,437,48,601,117,NA,26452,44,28,3589,1246,155,3629,"Census Tract 33.01, Erie County, New York","36029003301","BUFFALO-NIAGARA FALLS, NY",30.7086614173228,37.7952755905512,18.8976377952756,30.6551889048302,43.1850789096126,13.4863701578192,0,15.8959537572254,63.6363636363636,34.7171914182223
36,29,"36029005202","Census Tract 52.02, Erie County, New York",117,9,0,10,45,26,4,1031,131,167,189,223,60,152,449,44,385,12,420,62,406,47,24010,38942,931,670,1547,324,1466,1661,"Census Tract 52.02, Erie County, New York","36029005202","BUFFALO-NIAGARA FALLS, NY",7.69230769230769,47.008547008547,25.6410256410256,28.9039767216295,39.9612027158099,20.5625606207565,6.71462829736211,13.1961259079903,71.9656283566058,20.9437621202327
36,29,"36029000600","Census Tract 6, Erie County, New York",3066,396,332,409,543,508,593,241,0,0,120,55,0,1,1146,29,991,41,60,0,65,0,55806,NA,4092,412,446,256,4096,447,"Census Tract 6, Erie County, New York","36029000600","BUFFALO-NIAGARA FALLS, NY",23.7442922374429,31.0502283105023,35.9099804305284,0,72.6141078838174,0.4149377593361,3.27562002807674,0,10.0684261974585,57.3991031390135
36,29,"36029003100","Census Tract 31, Erie County, New York",271,25,62,13,35,46,44,1304,197,213,169,263,69,87,11,0,0,0,209,43,446,35,NA,24211,127,29,1771,504,271,1929,"Census Tract 31, Erie County, New York","36029003100","BUFFALO-NIAGARA FALLS, NY",32.1033210332103,17.7121771217712,33.210332103321,31.441717791411,33.1288343558282,11.9631901840491,0,11.9083969465649,22.8346456692913,28.4584980237154
36,29,"36029002800","Census Tract 28, Erie County, New York",491,55,55,109,81,16,22,655,115,57,56,171,54,16,87,12,106,24,235,55,231,62,22984,14693,651,340,1190,622,651,1195,"Census Tract 28, Erie County, New York","36029002800","BUFFALO-NIAGARA FALLS, NY",22.4032586558045,38.6965376782077,7.73930753564155,26.2595419847328,34.6564885496183,10.6870229007634,18.6528497409326,25.1072961373391,52.2273425499232,52.2689075630252
36,29,"36029000900","Census Tract 9, Erie County, New York",1595,283,180,170,364,218,231,49,0,0,38,11,0,0,642,58,667,26,38,0,0,0,53167,NA,2227,198,59,21,2232,59,"Census Tract 9, Erie County, New York","36029000900","BUFFALO-NIAGARA FALLS, NY",29.0282131661442,33.4796238244514,28.1504702194357,0,100,0,6.41711229946524,0,8.89088459811405,35.5932203389831
36,29,"36029000800","Census Tract 8, Erie County, New York",3103,548,502,519,545,275,553,38,0,27,0,0,0,11,1404,66,1082,99,7,0,11,0,51957,NA,4354,649,89,0,4379,89,"Census Tract 8, Erie County, New York","36029000800","BUFFALO-NIAGARA FALLS, NY",33.8382210763777,34.2893973573961,26.683854334515,71.0526315789474,0,28.9473684210526,6.63716814159292,0,14.9058337161231,0
36,29,"36029003302","Census Tract 33.02, Erie County, New York",84,31,30,0,0,0,11,1868,277,338,187,405,61,181,31,31,44,0,388,107,773,131,NA,24063,117,31,2837,951,117,2857,"Census Tract 33.02, Erie County, New York","36029003302","BUFFALO-NIAGARA FALLS, NY",72.6190476190476,0,13.0952380952381,32.9229122055674,31.6916488222698,12.9550321199143,41.3333333333333,20.4995693367786,26.4957264957265,33.5213253436729
36,29,"36029005201","Census Tract 52.01, Erie County, New York",1705,126,70,169,216,491,579,210,18,45,11,44,20,42,628,23,624,37,37,6,105,9,64420,NA,2288,299,267,82,2374,290,"Census Tract 52.01, Erie County, New York","36029005201","BUFFALO-NIAGARA FALLS, NY",11.4956011730205,22.5806451612903,62.7565982404692,30,26.1904761904762,29.5238095238095,4.79233226837061,10.5633802816901,13.0681818181818,30.7116104868914
36,29,"36029010803","Census Tract 108.03, Erie County, New York",1592,281,352,172,227,164,198,35,0,0,0,8,10,7,417,10,478,31,0,0,0,0,56534,NA,1763,98,33,15,1953,42,"Census Tract 108.03, Erie County, New York","36029010803","BUFFALO-NIAGARA FALLS, NY",39.7613065326633,25.0628140703518,22.7386934673367,0,22.8571428571429,48.5714285714286,4.58100558659218,NA,5.5587067498582,45.4545454545455
36,29,"36029010201","Census Tract 102.01, Erie County, New York",1585,233,171,222,221,323,382,454,30,25,109,89,38,111,661,10,565,7,196,0,218,7,59543,82875,1987,115,680,15,2013,680,"Census Tract 102.01, Erie County, New York","36029010201","BUFFALO-NIAGARA FALLS, NY",25.4889589905363,27.9495268138801,44.4794952681388,12.1145374449339,43.6123348017621,32.8193832599119,1.38662316476346,1.69082125603865,5.78761952692501,2.20588235294118
36,29,"36029017501","Census Tract 175.01, Erie County, New York",892,123,171,142,131,68,96,0,0,0,0,0,0,0,261,23,282,21,8,0,0,0,44286,NA,1197,221,8,0,1202,8,"Census Tract 175.01, Erie County, New York","36029017501","BUFFALO-NIAGARA FALLS, NY",32.9596412556054,30.6053811659193,18.3856502242152,NA,NA,NA,8.10313075506446,0,18.4628237259816,0
36,29,"36029005400","Census Tract 54, Erie County, New York",2270,161,156,257,292,572,688,296,88,28,66,42,31,41,800,27,913,15,132,9,107,9,61587,NA,3133,324,471,46,3133,471,"Census Tract 54, Erie County, New York","36029005400","BUFFALO-NIAGARA FALLS, NY",13.9647577092511,24.1850220264317,55.5066079295154,39.1891891891892,36.4864864864865,24.3243243243243,2.45183887915937,7.53138075313808,10.3415256942228,9.76645435244161
36,29,"36029001100","Census Tract 11, Erie County, New York",1735,367,311,221,245,77,144,68,34,0,6,14,0,0,651,45,475,81,6,0,22,0,31962,2499,2430,573,122,75,2451,122,"Census Tract 11, Erie County, New York","36029001100","BUFFALO-NIAGARA FALLS, NY",39.0778097982709,26.8587896253602,12.7377521613833,50,29.4117647058824,0,11.190053285968,0,23.5802469135802,61.4754098360656
36,29,"36029002300","Census Tract 23, Erie County, New York",2120,450,489,283,332,53,154,280,8,81,72,55,0,1,616,51,806,26,42,8,114,40,29904,10000,3117,1040,493,327,3123,493,"Census Tract 23, Erie County, New York","36029002300","BUFFALO-NIAGARA FALLS, NY",44.2924528301887,29.0094339622642,9.76415094339623,31.7857142857143,45.3571428571429,0.357142857142857,5.41490857946554,30.7692307692308,33.3654154635868,66.3286004056795
36,29,"36029001700","Census Tract 17, Erie County, New York",725,196,139,87,81,2,10,329,15,102,10,54,15,13,244,97,253,45,44,0,51,15,17564,15221,1044,458,489,182,1044,489,"Census Tract 17, Erie County, New York","36029001700","BUFFALO-NIAGARA FALLS, NY",46.2068965517241,23.1724137931034,1.6551724137931,35.5623100303951,19.4528875379939,8.51063829787234,28.5714285714286,15.7894736842105,43.8697318007663,37.2188139059305
36,29,"36029010002","Census Tract 100.02, Erie County, New York",3356,831,695,423,512,259,267,71,0,0,19,40,0,12,977,71,882,0,19,0,52,0,40174,NA,4070,236,172,81,4070,172,"Census Tract 100.02, Erie County, New York","36029010002","BUFFALO-NIAGARA FALLS, NY",45.4707985697259,27.8605482717521,15.673420738975,0,83.0985915492958,16.9014084507042,3.81925766541151,0,5.7985257985258,47.093023255814
36,29,"36029003000","Census Tract 30, Erie County, New York",323,51,116,27,48,15,48,1201,133,129,174,237,63,173,40,17,102,7,310,77,460,28,35417,19566,384,64,1943,972,384,1943,"Census Tract 30, Erie County, New York","36029003000","BUFFALO-NIAGARA FALLS, NY",51.702786377709,23.2198142414861,19.5046439628483,21.8151540383014,34.2214820982515,19.6502914238135,16.9014084507042,13.6363636363636,16.6666666666667,50.0257334019557
36,29,"36029010003","Census Tract 100.03, Erie County, New York",2197,486,419,285,452,191,224,347,34,50,103,88,47,25,689,48,809,65,150,41,153,0,50846,31510,3006,159,553,38,3006,553,"Census Tract 100.03, Erie County, New York","36029010003","BUFFALO-NIAGARA FALLS, NY",41.1925352753755,33.5457441966318,18.8893946290396,24.207492795389,55.043227665706,20.7492795389049,7.543391188251,13.5313531353135,5.28942115768463,6.87160940325497
36,29,"36029010103","Census Tract 101.03, Erie County, New York",2749,404,556,417,544,299,335,209,59,37,8,34,9,47,1088,79,1051,69,68,0,61,12,49731,36447,3803,453,333,76,3803,333,"Census Tract 101.03, Erie County, New York","36029010103","BUFFALO-NIAGARA FALLS, NY",34.9217897417243,34.9581666060386,23.0629319752637,45.933014354067,20.0956937799043,26.7942583732057,6.91912108461898,9.30232558139535,11.911648698396,22.8228228228228
