"st","cty","GEOID","NAME","whtEdU","whtEdhsMal","whtEdhsFem","whtEdSmclMal","whtEdSmclFem","whtEdBachMal","whtEdBachFem","blkEdU","blkEdhsMal","blkEdhsFem","blkEdSmclMal","blkEdSmclFem","blkEdBachMal","blkEdBachFem","whtLabForceMal","whtUnempMal","whtLabForceFem","whtUnempFem","blkLabForceMal","blkUnempMal","blkLabForceFem","blkUnempFem","whtInc","blkInc","whtPovU","whtBlPov","blkPovU","blkBlPov","racWht","racBlk","NAME1","GEOID1","city","whtHS","whtSmcl","whtBach","blkHS","blkSmcl","blkBach","whtUnemp","blkUnemp","whtPctBlPov","blkPctBlPov"
37,109,"37109070600","Census Tract 706, Lincoln County, North Carolina",2806,561,441,464,447,169,233,93,46,9,10,0,0,0,874,29,787,132,81,23,9,9,40000,13705,3951,604,118,59,3951,118,"Census Tract 706, Lincoln County, North Carolina","37109070600","CHARLOTTE-GASTONIA-ROCK HILL, NC-SC",35.7091945830363,32.4661439771917,14.3264433357092,59.1397849462366,10.752688172043,0,9.69295605057195,35.5555555555556,15.2872690458112,50
37,109,"37109070202","Census Tract 702.02, Lincoln County, North Carolina",2177,440,287,335,449,237,217,67,41,0,11,15,0,0,833,74,781,93,94,39,0,0,52955,NA,2956,350,121,12,2962,121,"Census Tract 702.02, Lincoln County, North Carolina","37109070202","CHARLOTTE-GASTONIA-ROCK HILL, NC-SC",33.3945796968305,36.0128617363344,20.8543867707855,61.1940298507463,38.8059701492537,0,10.3469640644362,41.4893617021277,11.8403247631935,9.91735537190083
37,109,"37109070201","Census Tract 702.01, Lincoln County, North Carolina",1991,254,311,324,372,79,87,650,92,43,119,111,54,43,793,37,615,60,189,34,95,21,33488,NA,3101,640,779,413,3204,939,"Census Tract 702.01, Lincoln County, North Carolina","37109070201","CHARLOTTE-GASTONIA-ROCK HILL, NC-SC",28.3776996484179,34.9573078854847,8.3375188347564,20.7692307692308,35.3846153846154,14.9230769230769,6.88920454545455,19.3661971830986,20.6385037084811,53.0166880616175
37,109,"37109071202","Census Tract 712.02, Lincoln County, North Carolina",2485,279,308,290,500,497,452,22,0,0,12,10,0,0,868,23,713,47,12,0,0,0,74545,NA,3391,290,22,0,3391,22,"Census Tract 712.02, Lincoln County, North Carolina","37109071202","CHARLOTTE-GASTONIA-ROCK HILL, NC-SC",23.6217303822938,31.7907444668008,38.1891348088531,0,100,0,4.42757748260595,0,8.5520495429077,0
37,109,"37109070500","Census Tract 705, Lincoln County, North Carolina",3339,702,603,394,487,222,328,6,0,0,0,0,0,6,1115,63,1012,92,0,0,6,0,41705,NA,4614,502,6,0,4659,6,"Census Tract 705, Lincoln County, North Carolina","37109070500","CHARLOTTE-GASTONIA-ROCK HILL, NC-SC",39.0835579514825,26.3851452530698,16.4719976040731,0,0,100,7.28725905030559,0,10.8799306458604,0
37,109,"37109071001","Census Tract 710.01, Lincoln County, North Carolina",3093,553,451,561,643,92,177,140,38,27,35,33,0,0,1355,33,1040,33,91,44,17,0,57188,NA,4613,648,245,75,4661,245,"Census Tract 710.01, Lincoln County, North Carolina","37109071001","CHARLOTTE-GASTONIA-ROCK HILL, NC-SC",32.4603944390559,38.9266084707404,8.69705787261558,46.4285714285714,48.5714285714286,0,2.75574112734864,40.7407407407407,14.0472577498374,30.6122448979592
37,109,"37109071002","Census Tract 710.02, Lincoln County, North Carolina",1622,307,273,259,284,70,116,223,40,77,37,56,0,1,590,98,504,8,67,45,112,24,56563,35278,2146,288,409,230,2146,409,"Census Tract 710.02, Lincoln County, North Carolina","37109071002","CHARLOTTE-GASTONIA-ROCK HILL, NC-SC",35.7583230579531,33.4771886559803,11.4673242909988,52.4663677130045,41.7040358744395,0.448430493273543,9.68921389396709,38.5474860335196,13.4203168685927,56.2347188264059
37,109,"37109070400","Census Tract 704, Lincoln County, North Carolina",4006,583,748,795,607,251,265,176,11,62,2,36,0,0,1443,172,1241,118,2,0,79,17,42624,40332,5593,1227,195,49,5593,195,"Census Tract 704, Lincoln County, North Carolina","37109070400","CHARLOTTE-GASTONIA-ROCK HILL, NC-SC",33.2251622566151,34.9975037443834,12.8806789815277,41.4772727272727,21.5909090909091,0,10.8047690014903,20.9876543209877,21.9381369569104,25.1282051282051
37,109,"37109071203","Census Tract 712.03, Lincoln County, North Carolina",3071,261,344,439,465,807,633,3,0,0,0,0,0,0,1186,49,922,38,0,0,0,0,103400,NA,4149,160,3,3,4149,3,"Census Tract 712.03, Lincoln County, North Carolina","37109071203","CHARLOTTE-GASTONIA-ROCK HILL, NC-SC",19.7004233148811,29.4366655812439,46.8902637577336,0,0,0,4.12713472485769,NA,3.85635092793444,100
37,109,"37109070700","Census Tract 707, Lincoln County, North Carolina",2343,220,467,531,426,157,108,0,0,0,0,0,0,0,844,48,546,18,0,0,1,1,58924,NA,3251,380,1,1,3251,2,"Census Tract 707, Lincoln County, North Carolina","37109070700","CHARLOTTE-GASTONIA-ROCK HILL, NC-SC",29.3213828425096,40.8450704225352,11.3102859581733,NA,NA,NA,4.74820143884892,100,11.6887111657951,100
37,109,"37109070300","Census Tract 703, Lincoln County, North Carolina",2672,432,531,442,385,239,246,142,22,43,0,57,0,0,808,38,732,52,30,0,55,16,50011,NA,3370,458,179,45,3612,203,"Census Tract 703, Lincoln County, North Carolina","37109070300","CHARLOTTE-GASTONIA-ROCK HILL, NC-SC",36.0404191616766,30.9505988023952,18.1511976047904,45.7746478873239,40.1408450704225,0,5.84415584415584,18.8235294117647,13.5905044510386,25.1396648044693
37,109,"37109070100","Census Tract 701, Lincoln County, North Carolina",2511,226,358,323,373,223,408,546,125,16,36,120,61,54,860,125,931,165,219,113,200,8,31162,19656,3439,776,659,333,3486,683,"Census Tract 701, Lincoln County, North Carolina","37109070100","CHARLOTTE-GASTONIA-ROCK HILL, NC-SC",23.257666268419,27.7180406212664,25.1294305057746,25.8241758241758,28.5714285714286,21.0622710622711,16.1920714684534,28.8782816229117,22.5646990404187,50.5311077389985
37,109,"37109071102","Census Tract 711.02, Lincoln County, North Carolina",3584,364,528,457,689,682,458,72,8,0,7,10,0,24,1355,107,1202,65,7,0,24,10,68350,NA,5040,117,72,31,5040,72,"Census Tract 711.02, Lincoln County, North Carolina","37109071102","CHARLOTTE-GASTONIA-ROCK HILL, NC-SC",24.8883928571429,31.9754464285714,31.8080357142857,11.1111111111111,23.6111111111111,33.3333333333333,6.7266327727806,32.258064516129,2.32142857142857,43.0555555555556
37,109,"37109070901","Census Tract 709.01, Lincoln County, North Carolina",2078,594,384,276,380,124,192,12,0,12,0,0,0,0,774,88,613,60,0,0,0,0,47906,NA,3042,450,12,12,3048,12,"Census Tract 709.01, Lincoln County, North Carolina","37109070901","CHARLOTTE-GASTONIA-ROCK HILL, NC-SC",47.0644850818094,31.5688161693936,15.2069297401347,100,0,0,10.6705118961788,NA,14.792899408284,100
37,109,"37109071201","Census Tract 712.01, Lincoln County, North Carolina",1327,178,198,186,278,205,232,22,11,0,0,11,0,0,456,0,468,20,11,0,11,0,66818,NA,1816,69,22,0,1816,22,"Census Tract 712.01, Lincoln County, North Carolina","37109071201","CHARLOTTE-GASTONIA-ROCK HILL, NC-SC",28.3345892991711,34.9660889223813,32.93142426526,50,50,0,2.16450216450216,0,3.79955947136564,0
37,109,"37109070902","Census Tract 709.02, Lincoln County, North Carolina",4158,750,609,601,721,425,477,196,68,12,0,76,20,20,1305,29,1315,30,58,0,130,52,60877,48625,5655,619,273,40,5655,273,"Census Tract 709.02, Lincoln County, North Carolina","37109070902","CHARLOTTE-GASTONIA-ROCK HILL, NC-SC",32.6839826839827,31.7941317941318,21.6931216931217,40.8163265306122,38.7755102040816,20.4081632653061,2.25190839694656,27.6595744680851,10.946065428824,14.6520146520147
37,109,"37109070800","Census Tract 708, Lincoln County, North Carolina",3591,731,558,499,620,165,192,580,60,92,129,162,0,0,1415,172,1126,183,268,196,153,20,42024,30040,4493,811,849,299,4508,849,"Census Tract 708, Lincoln County, North Carolina","37109070800","CHARLOTTE-GASTONIA-ROCK HILL, NC-SC",35.8952937900306,31.1612364243943,9.94152046783626,26.2068965517241,50.1724137931034,0,13.9708776072412,51.3064133016627,18.0503004673937,35.2179034157833
37,109,"37109071101","Census Tract 711.01, Lincoln County, North Carolina",3759,488,670,598,716,451,615,50,0,18,17,15,0,0,1520,164,1474,105,17,0,15,0,49794,NA,5403,431,97,18,5410,97,"Census Tract 711.01, Lincoln County, North Carolina","37109071101","CHARLOTTE-GASTONIA-ROCK HILL, NC-SC",30.806065442937,34.9561053471668,28.3586060122373,36,64,0,8.98463593854375,0,7.97704978715528,18.5567010309278
37,119,"37119004304","Census Tract 43.04, Mecklenburg County, North Carolina",477,97,89,157,37,38,30,1441,314,190,139,406,58,140,253,14,76,18,543,8,849,139,50574,33659,560,51,2631,355,590,2654,"Census Tract 43.04, Mecklenburg County, North Carolina","37119004304","CHARLOTTE-GASTONIA-ROCK HILL, NC-SC",38.9937106918239,40.6708595387841,14.2557651991614,34.9757113115892,37.8209576682859,13.7404580152672,9.72644376899696,10.5603448275862,9.10714285714286,13.4929684530597
37,119,"37119005612","Census Tract 56.12, Mecklenburg County, North Carolina",982,46,89,160,211,227,199,1405,49,59,259,316,306,375,442,47,506,60,657,38,622,43,60288,67125,1335,216,2203,42,1335,2203,"Census Tract 56.12, Mecklenburg County, North Carolina","37119005612","CHARLOTTE-GASTONIA-ROCK HILL, NC-SC",13.7474541751527,37.7800407331976,43.3808553971487,7.68683274021352,40.9252669039146,48.4697508896797,11.2869198312236,6.33307271305708,16.1797752808989,1.90649114843395
37,119,"37119006215","Census Tract 62.15, Mecklenburg County, North Carolina",2433,366,203,213,415,424,468,502,38,9,56,139,117,143,1067,131,914,56,245,89,250,0,56932,96250,3332,411,785,17,3358,785,"Census Tract 62.15, Mecklenburg County, North Carolina","37119006215","CHARLOTTE-GASTONIA-ROCK HILL, NC-SC",23.3867653103165,25.8117550349363,36.662556514591,9.36254980079681,38.8446215139442,51.792828685259,9.43967693084301,17.979797979798,12.3349339735894,2.1656050955414
37,119,"37119006302","Census Tract 63.02, Mecklenburg County, North Carolina",4021,193,467,515,594,1064,931,836,106,142,66,70,209,195,1664,39,1355,42,347,1,282,23,85428,53551,5385,178,1431,23,5554,1483,"Census Tract 63.02, Mecklenburg County, North Carolina","37119006302","CHARLOTTE-GASTONIA-ROCK HILL, NC-SC",16.4138274061179,27.5802039293708,49.6145237503109,29.6650717703349,16.2679425837321,48.3253588516746,2.68300761841669,3.81558028616852,3.30547818012999,1.60726764500349
