"st","cty","GEOID","NAME","whtEdU","whtEdhsMal","whtEdhsFem","whtEdSmclMal","whtEdSmclFem","whtEdBachMal","whtEdBachFem","blkEdU","blkEdhsMal","blkEdhsFem","blkEdSmclMal","blkEdSmclFem","blkEdBachMal","blkEdBachFem","whtLabForceMal","whtUnempMal","whtLabForceFem","whtUnempFem","blkLabForceMal","blkUnempMal","blkLabForceFem","blkUnempFem","whtInc","blkInc","whtPovU","whtBlPov","blkPovU","blkBlPov","racWht","racBlk","NAME1","GEOID1","city","whtHS","whtSmcl","whtBach","blkHS","blkSmcl","blkBach","whtUnemp","blkUnemp","whtPctBlPov","blkPctBlPov"
18,115,"18115965700","Census Tract 9657, Ohio County, Indiana",1777,429,435,187,208,152,141,45,13,0,28,0,0,0,579,36,486,24,41,0,0,0,43629,NA,2318,218,132,0,2390,132,"Census Tract 9657, Ohio County, Indiana","18115965700","CINCINNATI, OH-KY-IN",48.6212718064153,22.228474957794,16.48846370287,28.8888888888889,62.2222222222222,0,5.63380281690141,0,9.404659188956,0
18,115,"18115965800","Census Tract 9658, Ohio County, Indiana",2524,545,610,416,376,173,133,7,0,0,0,7,0,0,940,29,873,85,0,0,0,0,66938,NA,3411,172,7,0,3421,7,"Census Tract 9658, Ohio County, Indiana","18115965800","CINCINNATI, OH-KY-IN",45.7606973058637,31.378763866878,12.1236133122029,0,100,0,6.28792057363486,NA,5.04250952799765,0
18,29,"18029080104","Census Tract 801.04, Dearborn County, Indiana",2462,380,513,432,307,291,382,0,0,0,0,0,0,0,1027,80,1021,59,0,0,0,0,77361,NA,3936,152,0,0,3945,0,"Census Tract 801.04, Dearborn County, Indiana","18029080104","CINCINNATI, OH-KY-IN",36.2713241267262,30.0162469536962,27.3354995938262,NA,NA,NA,6.787109375,NA,3.86178861788618,NA
18,29,"18029080202","Census Tract 802.02, Dearborn County, Indiana",4651,958,973,606,546,576,685,0,0,0,0,0,0,0,1838,67,1621,65,0,0,0,0,67372,NA,6590,334,0,0,6622,0,"Census Tract 802.02, Dearborn County, Indiana","18029080202","CINCINNATI, OH-KY-IN",41.5179531283595,24.7688669103419,27.1124489357128,NA,NA,NA,3.81613183000867,NA,5.06828528072838,NA
18,29,"18029080103","Census Tract 801.03, Dearborn County, Indiana",3604,735,540,586,537,399,597,0,0,0,0,0,0,0,1511,138,1217,41,0,0,0,0,87757,NA,5490,203,0,0,5490,0,"Census Tract 801.03, Dearborn County, Indiana","18029080103","CINCINNATI, OH-KY-IN",35.377358490566,31.1598224195338,27.6359600443951,NA,NA,NA,6.56158357771261,NA,3.6976320582878,NA
18,29,"18029080500","Census Tract 805, Dearborn County, Indiana",2670,567,538,392,546,112,180,0,0,0,0,0,0,0,896,171,1028,108,0,0,0,0,39185,NA,4039,807,0,0,4100,0,"Census Tract 805, Dearborn County, Indiana","18029080500","CINCINNATI, OH-KY-IN",41.3857677902622,35.1310861423221,10.936329588015,NA,NA,NA,14.5010395010395,NA,19.9801931171082,NA
18,29,"18029080201","Census Tract 802.01, Dearborn County, Indiana",1612,358,276,226,208,156,227,0,0,0,0,0,0,0,621,8,544,15,0,0,0,0,67361,NA,2138,61,0,0,2138,0,"Census Tract 802.01, Dearborn County, Indiana","18029080201","CINCINNATI, OH-KY-IN",39.3300248138958,26.9230769230769,23.7593052109181,NA,NA,NA,1.97424892703863,NA,2.85313376987839,NA
18,29,"18029080600","Census Tract 806, Dearborn County, Indiana",4765,806,901,694,1061,404,283,24,3,10,0,11,0,0,1740,300,1665,101,3,0,0,0,57355,NA,6476,844,3,0,6591,28,"Census Tract 806, Dearborn County, Indiana","18029080600","CINCINNATI, OH-KY-IN",35.8237145855194,36.8310598111228,14.4176285414481,54.1666666666667,45.8333333333333,0,11.776798825257,0,13.0327362569487,0
18,29,"18029080101","Census Tract 801.01, Dearborn County, Indiana",1835,427,417,209,285,160,172,24,0,0,0,0,12,0,656,32,638,1,12,0,12,0,62344,NA,2950,275,46,0,2951,46,"Census Tract 801.01, Dearborn County, Indiana","18029080101","CINCINNATI, OH-KY-IN",45.9945504087193,26.9209809264305,18.0926430517711,0,0,50,2.55023183925811,0,9.32203389830508,0
18,29,"18029080300","Census Tract 803, Dearborn County, Indiana",3497,739,767,628,398,94,262,68,29,0,16,0,0,0,1343,114,1084,126,34,0,0,0,40988,NA,4422,682,65,15,4831,93,"Census Tract 803, Dearborn County, Indiana","18029080300","CINCINNATI, OH-KY-IN",43.0654847011724,29.3394338004003,10.1801544180726,42.6470588235294,23.5294117647059,0,9.88875154511743,0,15.4228855721393,23.0769230769231
