"st","cty","GEOID","NAME","whtEdU","whtEdhsMal","whtEdhsFem","whtEdSmclMal","whtEdSmclFem","whtEdBachMal","whtEdBachFem","blkEdU","blkEdhsMal","blkEdhsFem","blkEdSmclMal","blkEdSmclFem","blkEdBachMal","blkEdBachFem","whtLabForceMal","whtUnempMal","whtLabForceFem","whtUnempFem","blkLabForceMal","blkUnempMal","blkLabForceFem","blkUnempFem","whtInc","blkInc","whtPovU","whtBlPov","blkPovU","blkBlPov","racWht","racBlk","NAME1","GEOID1","city","whtHS","whtSmcl","whtBach","blkHS","blkSmcl","blkBach","whtUnemp","blkUnemp","whtPctBlPov","blkPctBlPov"
39,103,"39103408301","Census Tract 4083.01, Medina County, Ohio",2157,194,224,239,267,610,537,51,13,0,0,10,28,0,919,0,741,45,41,0,10,0,92955,NA,3075,160,84,0,3124,84,"Census Tract 4083.01, Medina County, Ohio","39103408301","CLEVELAND-LORAIN-ELYRIA, OH",19.3787668057487,23.4585071859064,53.1757070004636,25.4901960784314,19.6078431372549,54.9019607843137,2.71084337349398,0,5.20325203252033,0
39,103,"39103403002","Census Tract 4030.02, Medina County, Ohio",2165,383,329,275,348,370,366,5,0,0,0,0,3,2,889,66,726,0,0,0,3,0,87083,NA,3131,62,12,0,3131,12,"Census Tract 4030.02, Medina County, Ohio","39103403002","CLEVELAND-LORAIN-ELYRIA, OH",32.8868360277136,28.7759815242494,33.9953810623557,0,0,100,4.08668730650155,0,1.98019801980198,0
39,103,"39103405000","Census Tract 4050, Medina County, Ohio",3074,359,352,300,453,773,690,0,0,0,0,0,0,0,1106,39,942,24,0,0,0,0,100434,NA,4376,360,0,0,4376,0,"Census Tract 4050, Medina County, Ohio","39103405000","CLEVELAND-LORAIN-ELYRIA, OH",23.1294729993494,24.4957709824333,47.5927130774236,NA,NA,NA,3.076171875,NA,8.22669104204753,NA
39,103,"39103415100","Census Tract 4151, Medina County, Ohio",2705,517,385,306,496,412,488,30,0,12,18,0,0,0,1129,74,1111,44,18,2,12,0,77545,NA,4244,216,50,2,4244,50,"Census Tract 4151, Medina County, Ohio","39103415100","CLEVELAND-LORAIN-ELYRIA, OH",33.3456561922366,29.6487985212569,33.271719038817,40,60,0,5.26785714285714,6.66666666666667,5.08953817153629,4
39,103,"39103404000","Census Tract 4040, Medina County, Ohio",2946,353,316,460,541,600,534,0,0,0,0,0,0,0,1171,33,820,8,0,0,0,0,85897,NA,3973,60,0,0,3982,0,"Census Tract 4040, Medina County, Ohio","39103404000","CLEVELAND-LORAIN-ELYRIA, OH",22.7087576374745,33.9782756279701,38.4928716904277,NA,NA,NA,2.05926670015068,NA,1.51019380820539,NA
39,103,"39103407000","Census Tract 4070, Medina County, Ohio",3959,390,574,414,699,1077,719,111,0,17,16,0,46,32,1618,157,1338,25,47,0,67,0,91761,NA,6186,146,129,18,6186,129,"Census Tract 4070, Medina County, Ohio","39103407000","CLEVELAND-LORAIN-ELYRIA, OH",24.3495832280879,28.1131598888608,45.3649911593837,15.3153153153153,14.4144144144144,70.2702702702703,6.15696887686062,0,2.36016812156482,13.953488372093
39,103,"39103408202","Census Tract 4082.02, Medina County, Ohio",3388,453,503,531,517,608,640,37,0,0,0,14,13,10,1459,14,1305,53,13,0,24,0,75991,NA,5174,265,66,0,5187,66,"Census Tract 4082.02, Medina County, Ohio","39103408202","CLEVELAND-LORAIN-ELYRIA, OH",28.2172373081464,30.9327036599764,36.8358913813459,0,37.8378378378378,62.1621621621622,2.42402315484805,0,5.1217626594511,0
39,103,"39103408302","Census Tract 4083.02, Medina County, Ohio",6273,481,579,801,1109,1638,1339,137,42,0,35,47,0,0,2632,65,2333,124,42,0,31,0,85759,34559,9644,444,233,13,9754,233,"Census Tract 4083.02, Medina County, Ohio","39103408302","CLEVELAND-LORAIN-ELYRIA, OH",16.8978160369839,30.4479515383389,47.4573569265104,30.6569343065693,59.8540145985402,0,3.80664652567976,0,4.60389879717959,5.5793991416309
39,103,"39103409001","Census Tract 4090.01, Medina County, Ohio",1585,370,340,150,225,159,165,0,0,0,0,0,0,0,523,43,541,20,0,0,0,0,74115,NA,2082,75,0,0,2082,0,"Census Tract 4090.01, Medina County, Ohio","39103409001","CLEVELAND-LORAIN-ELYRIA, OH",44.794952681388,23.6593059936909,20.4416403785489,NA,NA,NA,5.92105263157895,NA,3.60230547550432,NA
39,103,"39103417100","Census Tract 4171, Medina County, Ohio",4194,615,485,545,763,755,866,15,15,0,0,0,0,0,1591,92,1475,41,0,0,0,0,66654,NA,5978,204,15,0,6019,15,"Census Tract 4171, Medina County, Ohio","39103417100","CLEVELAND-LORAIN-ELYRIA, OH",26.2279446828803,31.1874105865522,38.6504530281354,100,0,0,4.337899543379,NA,3.41251254600201,0
39,103,"39103415800","Census Tract 4158, Medina County, Ohio",4524,663,574,824,726,736,764,96,0,0,32,0,0,49,1915,17,1545,12,47,0,29,0,74691,NA,6511,256,131,0,6511,131,"Census Tract 4158, Medina County, Ohio","39103415800","CLEVELAND-LORAIN-ELYRIA, OH",27.343059239611,34.2617152961981,33.1564986737401,0,33.3333333333333,51.0416666666667,0.838150289017341,0,3.93180771002918,0
39,103,"39103402000","Census Tract 4020, Medina County, Ohio",3824,760,671,509,637,444,492,9,5,0,4,0,0,0,1348,81,1252,9,0,0,0,0,75625,NA,5064,208,0,0,5187,9,"Census Tract 4020, Medina County, Ohio","39103402000","CLEVELAND-LORAIN-ELYRIA, OH",37.4215481171548,29.9686192468619,24.4769874476987,55.5555555555556,44.4444444444444,0,3.46153846153846,NA,4.10742496050553,NA
39,103,"39103417300","Census Tract 4173, Medina County, Ohio",2807,552,542,326,411,307,438,22,0,0,0,22,0,0,1101,62,1069,89,0,0,22,0,55600,NA,4295,420,66,66,4419,66,"Census Tract 4173, Medina County, Ohio","39103417300","CLEVELAND-LORAIN-ELYRIA, OH",38.9739935874599,26.2557890986819,26.540790879943,0,100,0,6.95852534562212,0,9.77881257275902,100
39,103,"39103403001","Census Tract 4030.01, Medina County, Ohio",2496,551,572,357,273,190,291,1,0,0,0,0,1,0,962,14,859,26,0,0,0,0,78125,NA,3282,190,1,1,3282,1,"Census Tract 4030.01, Medina County, Ohio","39103403001","CLEVELAND-LORAIN-ELYRIA, OH",44.9919871794872,25.2403846153846,19.2708333333333,0,0,100,2.19659527732015,NA,5.78915295551493,100
39,103,"39103406000","Census Tract 4060, Medina County, Ohio",3397,394,435,527,394,661,876,37,0,0,14,9,8,6,1400,1,1137,52,14,1,15,0,88879,NA,5155,530,37,2,5155,37,"Census Tract 4060, Medina County, Ohio","39103406000","CLEVELAND-LORAIN-ELYRIA, OH",24.403885781572,27.112157786282,45.2458051221666,0,62.1621621621622,37.8378378378378,2.08908159243201,3.44827586206897,10.2812803103783,5.40540540540541
39,103,"39103415300","Census Tract 4153, Medina County, Ohio",2948,493,589,422,563,333,274,13,9,0,4,0,0,0,1128,72,1088,43,13,0,0,0,54975,NA,3785,235,13,0,3889,13,"Census Tract 4153, Medina County, Ohio","39103415300","CLEVELAND-LORAIN-ELYRIA, OH",36.7028493894166,33.4124830393487,20.5902306648575,69.2307692307692,30.7692307692308,0,5.18953068592058,0,6.20871862615588,0
