"st","cty","GEOID","NAME","whtEdU","whtEdhsMal","whtEdhsFem","whtEdSmclMal","whtEdSmclFem","whtEdBachMal","whtEdBachFem","blkEdU","blkEdhsMal","blkEdhsFem","blkEdSmclMal","blkEdSmclFem","blkEdBachMal","blkEdBachFem","whtLabForceMal","whtUnempMal","whtLabForceFem","whtUnempFem","blkLabForceMal","blkUnempMal","blkLabForceFem","blkUnempFem","whtInc","blkInc","whtPovU","whtBlPov","blkPovU","blkBlPov","racWht","racBlk","NAME1","GEOID1","city","whtHS","whtSmcl","whtBach","blkHS","blkSmcl","blkBach","whtUnemp","blkUnemp","whtPctBlPov","blkPctBlPov"
8,1,"08001008551","Census Tract 85.51, Adams County, Colorado",726,97,91,36,68,184,140,4,0,0,0,0,4,0,292,1,255,0,4,0,0,0,124444,NA,1129,36,12,0,1129,12,"Census Tract 85.51, Adams County, Colorado","08001008551","DENVER, CO",25.8953168044077,14.3250688705234,44.6280991735537,0,0,100,0.182815356489945,0,3.18866253321523,0
8,1,"08001008548","Census Tract 85.48, Adams County, Colorado",1000,83,136,184,247,116,207,28,0,0,3,0,8,3,362,15,456,0,11,0,17,0,81750,NA,1398,31,31,0,1420,40,"Census Tract 85.48, Adams County, Colorado","08001008548","DENVER, CO",21.9,43.1,32.3,0,10.7142857142857,39.2857142857143,1.83374083129584,0,2.21745350500715,0
8,1,"08001008709","Census Tract 87.09, Adams County, Colorado",3595,675,684,275,517,54,146,152,14,41,20,0,0,0,1375,36,1193,354,20,0,105,47,36789,NA,6342,2258,412,138,6389,412,"Census Tract 87.09, Adams County, Colorado","08001008709","DENVER, CO",37.8025034770515,22.0305980528512,5.56328233657858,36.1842105263158,13.1578947368421,0,15.1869158878505,37.6,35.6039104383475,33.495145631068
8,1,"08001008706","Census Tract 87.06, Adams County, Colorado",2712,697,324,229,238,97,113,35,6,0,0,25,0,0,1173,60,889,107,1,0,25,0,47234,NA,4454,1254,133,1,4521,141,"Census Tract 87.06, Adams County, Colorado","08001008706","DENVER, CO",37.6474926253687,17.2197640117994,7.74336283185841,17.1428571428571,71.4285714285714,0,8.09893307468477,0,28.1544678940278,0.75187969924812
8,1,"08001009502","Census Tract 95.02, Adams County, Colorado",2337,438,405,300,441,75,155,17,17,0,0,0,0,0,969,21,781,56,17,0,0,0,56949,NA,3478,472,17,0,3478,17,"Census Tract 95.02, Adams County, Colorado","08001009502","DENVER, CO",36.0718870346598,31.7073170731707,9.84167736414206,100,0,0,4.4,0,13.571017826337,0
8,1,"08001009407","Census Tract 94.07, Adams County, Colorado",2786,413,404,466,361,258,248,31,0,0,22,0,9,0,1187,129,1035,61,73,0,0,0,61769,NA,4059,498,73,30,4063,73,"Census Tract 94.07, Adams County, Colorado","08001009407","DENVER, CO",29.3251974156497,29.6841349605169,18.16223977028,0,70.9677419354839,29.0322580645161,8.55085508550855,0,12.2690317812269,41.0958904109589
8,1,"08001008901","Census Tract 89.01, Adams County, Colorado",1157,211,158,123,199,38,39,95,24,15,11,25,0,0,393,52,414,34,40,0,40,0,43519,NA,1974,524,154,6,1974,154,"Census Tract 89.01, Adams County, Colorado","08001008901","DENVER, CO",31.8928262748487,27.8305963699222,6.65514261019879,41.0526315789474,37.8947368421053,0,10.6567534076828,0,26.5450861195542,3.8961038961039
8,1,"08001008606","Census Tract 86.06, Adams County, Colorado",3356,739,548,262,481,204,285,1,0,1,0,0,0,0,1214,127,1388,43,0,0,0,0,42717,NA,5156,957,1,1,5156,1,"Census Tract 86.06, Adams County, Colorado","08001008606","DENVER, CO",38.3492252681764,22.1394517282479,14.5709177592372,100,0,0,6.53343581860108,NA,18.5608999224205,100
8,1,"08001009606","Census Tract 96.06, Adams County, Colorado",1442,196,308,106,165,120,61,27,0,0,0,0,27,0,677,9,605,17,27,0,0,0,42813,NA,2397,577,27,0,2397,27,"Census Tract 96.06, Adams County, Colorado","08001009606","DENVER, CO",34.9514563106796,18.7933425797503,12.5520110957004,0,0,100,2.02808112324493,0,24.0717563621193,0
8,1,"08001009408","Census Tract 94.08, Adams County, Colorado",2664,133,129,400,414,781,750,71,0,37,0,12,11,11,1198,33,1085,17,0,0,23,0,108906,NA,3856,56,71,22,3868,71,"Census Tract 94.08, Adams County, Colorado","08001009408","DENVER, CO",9.83483483483483,30.5555555555556,57.46996996997,52.112676056338,16.9014084507042,30.9859154929577,2.19010074463425,0,1.45228215767635,30.9859154929577
8,1,"08001009406","Census Tract 94.06, Adams County, Colorado",2702,316,345,556,517,226,456,49,0,7,0,5,12,10,1147,134,881,23,23,0,20,0,66181,NA,3940,415,72,0,3957,72,"Census Tract 94.06, Adams County, Colorado","08001009406","DENVER, CO",24.4633604737232,39.7113249444856,25.240562546262,14.2857142857143,10.2040816326531,44.8979591836735,7.74161735700197,0,10.5329949238579,0
8,1,"08001009607","Census Tract 96.07, Adams County, Colorado",2654,397,380,463,448,279,244,54,22,3,0,29,0,0,1252,139,940,103,57,0,29,0,49122,NA,4071,422,106,64,4249,109,"Census Tract 96.07, Adams County, Colorado","08001009607","DENVER, CO",29.276563677468,34.3255463451394,19.7061039939714,46.2962962962963,53.7037037037037,0,11.0401459854015,0,10.3660034389585,60.377358490566
8,1,"08001008550","Census Tract 85.50, Adams County, Colorado",4759,765,753,638,742,682,816,65,13,0,0,27,11,0,1910,80,1780,42,0,0,14,0,82095,52083,7080,273,65,0,7091,65,"Census Tract 85.50, Adams County, Colorado","08001008550","DENVER, CO",31.8974574490439,28.9976885900399,31.4772010926665,20,41.5384615384615,16.9230769230769,3.30623306233062,0,3.85593220338983,0
8,1,"08001009553","Census Tract 95.53, Adams County, Colorado",1671,278,175,237,287,60,117,55,0,0,0,0,34,21,639,35,443,27,0,0,21,0,41394,NA,2397,634,55,0,2397,55,"Census Tract 95.53, Adams County, Colorado","08001009553","DENVER, CO",27.1095152603232,31.3584679832436,10.5924596050269,0,0,100,5.73012939001848,0,26.4497288277013,0
8,1,"08001009604","Census Tract 96.04, Adams County, Colorado",2686,425,467,385,467,159,296,84,36,0,37,9,0,0,1010,94,884,93,73,0,0,0,41063,NA,3720,820,77,15,3844,86,"Census Tract 96.04, Adams County, Colorado","08001009604","DENVER, CO",33.2092330603127,31.7200297840655,16.939687267312,42.8571428571429,54.7619047619048,0,9.87328405491024,0,22.0430107526882,19.4805194805195
8,1,"08001008705","Census Tract 87.05, Adams County, Colorado",2841,454,603,264,239,92,124,51,11,4,0,25,0,6,966,51,944,19,11,0,60,29,41789,38024,4467,911,187,67,4559,196,"Census Tract 87.05, Adams County, Colorado","08001008705","DENVER, CO",37.2052094332981,17.70503343893,7.60295670538543,29.4117647058824,49.0196078431373,11.7647058823529,3.66492146596859,40.8450704225352,20.3940004477278,35.8288770053476
8,1,"08001009410","Census Tract 94.10, Adams County, Colorado",2199,69,169,257,283,768,612,58,0,0,17,13,11,17,724,29,602,10,17,0,22,0,115144,NA,2795,44,58,0,2795,58,"Census Tract 94.10, Adams County, Colorado","08001009410","DENVER, CO",10.8231014097317,24.5566166439291,62.7557980900409,0,51.7241379310345,48.2758620689655,2.94117647058824,0,1.5742397137746,0
8,1,"08001008546","Census Tract 85.46, Adams County, Colorado",1887,272,199,349,474,270,285,0,0,0,0,0,0,0,838,75,839,60,0,0,0,0,75260,NA,2664,96,0,0,2692,0,"Census Tract 85.46, Adams County, Colorado","08001008546","DENVER, CO",24.9602543720191,43.6142024377318,29.4117647058824,NA,NA,NA,8.05008944543828,NA,3.6036036036036,NA
8,1,"08001008534","Census Tract 85.34, Adams County, Colorado",2728,418,380,518,588,227,242,8,0,0,8,0,0,0,1310,19,1098,51,8,0,0,0,88611,NA,4308,90,8,0,4308,8,"Census Tract 85.34, Adams County, Colorado","08001008534","DENVER, CO",29.2521994134897,40.5425219941349,17.192082111437,0,100,0,2.90697674418605,0,2.0891364902507,0
8,1,"08001015000","Census Tract 150, Adams County, Colorado",1802,346,376,316,325,24,64,0,0,0,0,0,0,0,707,72,439,98,0,0,0,0,37609,NA,2623,348,0,0,2650,0,"Census Tract 150, Adams County, Colorado","08001015000","DENVER, CO",40.0665926748058,35.5715871254162,4.8834628190899,NA,NA,NA,14.8342059336824,NA,13.2672512390393,NA
8,1,"08001008505","Census Tract 85.05, Adams County, Colorado",4687,798,687,756,887,444,436,23,0,0,23,0,0,0,1967,81,1536,81,36,13,0,0,65334,NA,6421,455,105,0,6421,105,"Census Tract 85.05, Adams County, Colorado","08001008505","DENVER, CO",31.6833795604865,35.0544058032857,18.7753360358438,0,100,0,4.62460747930345,36.1111111111111,7.08612365675129,0
8,1,"08001009411","Census Tract 94.11, Adams County, Colorado",2092,194,197,437,288,407,465,39,0,0,0,8,31,0,905,34,736,41,21,0,8,8,75579,NA,2885,235,39,0,2885,39,"Census Tract 94.11, Adams County, Colorado","08001009411","DENVER, CO",18.6902485659656,34.6558317399618,41.6826003824092,0,20.5128205128205,79.4871794871795,4.57038391224863,27.5862068965517,8.14558058925477,0
8,1,"08001009603","Census Tract 96.03, Adams County, Colorado",3148,516,545,586,557,211,242,160,0,0,105,14,0,41,1395,65,1086,173,156,0,16,0,44618,NA,4858,504,224,98,4955,230,"Census Tract 96.03, Adams County, Colorado","08001009603","DENVER, CO",33.7039390088945,36.3087674714104,14.3900889453621,0,74.375,25.625,9.59290608625554,0,10.3746397694525,43.75
8,1,"08001009325","Census Tract 93.25, Adams County, Colorado",3552,246,266,367,657,832,935,68,0,0,0,54,14,0,1231,46,1344,87,45,45,54,0,72889,NA,4503,348,125,45,4503,125,"Census Tract 93.25, Adams County, Colorado","08001009325","DENVER, CO",14.4144144144144,28.8288288288288,49.7466216216216,0,79.4117647058823,20.5882352941176,5.16504854368932,45.4545454545455,7.72818121252498,36
8,1,"08001009501","Census Tract 95.01, Adams County, Colorado",1610,301,249,218,272,164,140,0,0,0,0,0,0,0,847,40,592,61,0,0,0,0,41706,NA,2561,428,0,0,2580,0,"Census Tract 95.01, Adams County, Colorado","08001009501","DENVER, CO",34.1614906832298,30.4347826086957,18.8819875776398,NA,NA,NA,7.01876302988186,NA,16.7122217883639,NA
8,1,"08001008801","Census Tract 88.01, Adams County, Colorado",2664,445,486,258,303,32,117,91,6,30,9,39,0,0,1225,100,787,85,0,0,61,6,40477,21856,5028,1511,282,217,5055,283,"Census Tract 88.01, Adams County, Colorado","08001008801","DENVER, CO",34.9474474474475,21.0585585585586,5.59309309309309,39.5604395604396,52.7472527472528,0,9.1948310139165,9.83606557377049,30.0517104216388,76.9503546099291
8,1,"08001008547","Census Tract 85.47, Adams County, Colorado",2401,366,434,467,371,231,240,0,0,0,0,0,0,0,1181,88,839,40,0,0,0,0,74141,NA,3723,105,0,0,3895,0,"Census Tract 85.47, Adams County, Colorado","08001008547","DENVER, CO",33.3194502290712,34.9021241149521,19.6168263223657,NA,NA,NA,6.33663366336634,NA,2.82030620467365,NA
8,1,"08001008549","Census Tract 85.49, Adams County, Colorado",2399,262,406,402,470,357,335,29,0,0,15,14,0,0,1166,87,1053,69,15,0,14,0,78393,NA,3852,381,29,0,3862,29,"Census Tract 85.49, Adams County, Colorado","08001008549","DENVER, CO",27.8449353897457,36.348478532722,28.8453522300959,0,100,0,7.03019378098242,0,9.89096573208723,0
8,1,"08001008309","Census Tract 83.09, Adams County, Colorado",1070,232,234,129,209,28,33,203,69,24,38,4,5,37,590,46,354,5,121,35,84,18,41835,68164,1858,336,390,116,1858,390,"Census Tract 83.09, Adams County, Colorado","08001008309","DENVER, CO",43.5514018691589,31.588785046729,5.70093457943925,45.8128078817734,20.6896551724138,20.6896551724138,5.40254237288136,25.8536585365854,18.0839612486545,29.7435897435897
8,1,"08001008401","Census Tract 84.01, Adams County, Colorado",2810,549,484,505,486,267,279,14,0,0,0,0,10,0,1156,83,944,51,21,0,0,0,63977,NA,4059,400,24,0,4093,24,"Census Tract 84.01, Adams County, Colorado","08001008401","DENVER, CO",36.7615658362989,35.2669039145907,19.4306049822064,0,0,71.4285714285714,6.38095238095238,0,9.85464400098546,0
8,1,"08001008802","Census Tract 88.02, Adams County, Colorado",2426,475,304,172,260,8,81,102,38,0,39,7,0,0,1198,72,635,105,65,10,8,0,43036,NA,4003,963,90,17,4073,110,"Census Tract 88.02, Adams County, Colorado","08001008802","DENVER, CO",32.1104699093157,17.8070898598516,3.66859027205276,37.2549019607843,45.0980392156863,0,9.65630114566285,13.6986301369863,24.0569572820385,18.8888888888889
8,1,"08001009320","Census Tract 93.20, Adams County, Colorado",1455,251,333,125,197,33,100,52,0,35,10,0,7,0,629,63,616,36,17,0,35,0,40091,NA,2357,593,52,0,2409,52,"Census Tract 93.20, Adams County, Colorado","08001009320","DENVER, CO",40.1374570446735,22.1305841924399,9.14089347079038,67.3076923076923,19.2307692307692,13.4615384615385,7.95180722891566,0,25.1591005515486,0
8,1,"08001009752","Census Tract 97.52, Adams County, Colorado",1571,268,238,272,162,100,172,47,0,10,7,9,21,0,750,62,524,23,28,21,15,0,56250,NA,2437,208,80,0,2473,80,"Census Tract 97.52, Adams County, Colorado","08001009752","DENVER, CO",32.2087842138765,27.6257161043921,17.3138128580522,21.2765957446809,34.0425531914894,44.6808510638298,6.67189952904239,48.8372093023256,8.53508411981945,0
8,1,"08001009608","Census Tract 96.08, Adams County, Colorado",1930,315,238,262,345,292,310,0,0,0,0,0,0,0,841,97,717,26,0,0,0,0,66324,NA,2366,137,0,0,2372,4,"Census Tract 96.08, Adams County, Colorado","08001009608","DENVER, CO",28.6528497409326,31.4507772020725,31.1917098445596,NA,NA,NA,7.89473684210526,NA,5.79036348267118,NA
8,1,"08001009751","Census Tract 97.51, Adams County, Colorado",2073,257,116,294,221,188,328,13,11,0,2,0,0,0,980,118,1005,15,2,1,36,0,45055,NA,3477,1039,50,2,3477,50,"Census Tract 97.51, Adams County, Colorado","08001009751","DENVER, CO",17.9932465026532,24.8432223830198,24.8914616497829,84.6153846153846,15.3846153846154,0,6.70025188916877,2.63157894736842,29.8820822548174,4
8,1,"08001009401","Census Tract 94.01, Adams County, Colorado",2901,476,484,339,576,239,266,45,0,8,10,0,20,7,1217,138,936,136,20,0,0,0,55680,NA,4191,304,52,0,4197,52,"Census Tract 94.01, Adams County, Colorado","08001009401","DENVER, CO",33.0920372285419,31.540847983454,17.4077904170976,17.7777777777778,22.2222222222222,60,12.7264282396656,0,7.25363874970174,0
8,1,"08001008000","Census Tract 80, Adams County, Colorado",1878,312,287,325,239,203,88,737,107,111,80,179,43,51,864,50,511,30,189,27,337,59,51659,38542,3106,506,1304,432,3129,1319,"Census Tract 80, Adams County, Colorado","08001008000","DENVER, CO",31.8956336528222,30.0319488817891,15.4952076677316,29.5793758480326,35.1424694708277,12.7544097693351,5.81818181818182,16.3498098859316,16.2910495814552,33.1288343558282
8,1,"08001008402","Census Tract 84.02, Adams County, Colorado",2864,495,351,509,612,345,432,0,0,0,0,0,0,0,1174,73,1123,64,0,0,0,0,73446,NA,4356,184,0,0,4368,0,"Census Tract 84.02, Adams County, Colorado","08001008402","DENVER, CO",29.5391061452514,39.141061452514,27.1298882681564,NA,NA,NA,5.96430126251633,NA,4.22405876951331,NA
8,1,"08001008353","Census Tract 83.53, Adams County, Colorado",3014,403,192,576,764,194,257,584,97,23,103,139,109,97,1411,83,1304,50,265,56,212,0,57481,71379,4457,383,991,65,4484,991,"Census Tract 83.53, Adams County, Colorado","08001008353","DENVER, CO",19.7412076974121,44.4591904445919,14.963503649635,20.5479452054795,41.4383561643836,35.2739726027397,4.89871086556169,11.7400419287212,8.59322414179942,6.5590312815338
8,1,"08001008605","Census Tract 86.05, Adams County, Colorado",2257,419,504,247,447,219,200,0,0,0,0,0,0,0,839,32,827,16,0,0,0,0,57554,NA,3296,244,0,0,3324,0,"Census Tract 86.05, Adams County, Colorado","08001008605","DENVER, CO",40.8949933540097,30.7487815684537,18.5644661054497,NA,NA,NA,2.88115246098439,NA,7.40291262135922,NA
8,1,"08001009318","Census Tract 93.18, Adams County, Colorado",3190,472,448,246,447,150,154,93,19,56,18,0,0,0,1590,121,1118,86,18,0,41,0,42652,NA,5817,1376,126,41,5896,126,"Census Tract 93.18, Adams County, Colorado","08001009318","DENVER, CO",28.8401253918495,21.7241379310345,9.52978056426332,80.6451612903226,19.3548387096774,0,7.64401772525849,0,23.6548048822417,32.5396825396825
8,1,"08001008603","Census Tract 86.03, Adams County, Colorado",1181,197,248,160,202,31,65,18,0,0,10,0,0,0,504,56,388,16,10,0,0,0,37226,NA,1913,488,28,0,1913,28,"Census Tract 86.03, Adams County, Colorado","08001008603","DENVER, CO",37.6799322607959,30.6519898391194,8.12870448772227,0,55.5555555555556,0,8.07174887892377,0,25.5096706743335,0
8,1,"08001009409","Census Tract 94.09, Adams County, Colorado",3740,201,386,609,590,949,866,99,0,0,48,0,51,0,1435,42,1190,0,115,0,0,0,92356,NA,5237,126,115,16,5237,115,"Census Tract 94.09, Adams County, Colorado","08001009409","DENVER, CO",15.6951871657754,32.0588235294118,48.5294117647059,0,48.4848484848485,51.5151515151515,1.6,0,2.40595760931831,13.9130434782609
8,1,"08001008506","Census Tract 85.06, Adams County, Colorado",3941,559,786,827,692,254,265,113,39,44,13,17,0,0,1611,33,1412,188,70,0,44,0,34990,NA,5723,1143,264,22,5783,264,"Census Tract 85.06, Adams County, Colorado","08001008506","DENVER, CO",34.128393808678,38.5435168738899,13.1692463841665,73.4513274336283,26.5486725663717,0,7.31061859080384,0,19.9720426349817,8.33333333333333
8,1,"08001060100","Census Tract 601, Adams County, Colorado",4150,343,437,615,766,773,885,156,25,0,0,23,88,20,1817,159,1268,55,88,0,43,0,81019,NA,6534,994,205,0,6534,205,"Census Tract 601, Adams County, Colorado","08001060100","DENVER, CO",18.7951807228916,33.2771084337349,39.9518072289157,16.025641025641,14.7435897435897,69.2307692307692,6.93679092382496,0,15.2127333945516,0
8,1,"08001009204","Census Tract 92.04, Adams County, Colorado",3347,416,407,587,838,443,446,111,17,0,26,9,13,12,1564,15,1446,27,80,0,43,22,64554,NA,4969,187,264,170,4995,264,"Census Tract 92.04, Adams County, Colorado","08001009204","DENVER, CO",24.5891843441888,42.5754406931581,26.5610994920825,15.3153153153153,31.5315315315315,22.5225225225225,1.3953488372093,17.8861788617886,3.76333266250755,64.3939393939394
8,1,"08001009203","Census Tract 92.03, Adams County, Colorado",1675,195,216,422,296,52,131,62,30,5,27,0,0,0,969,117,839,51,46,0,15,0,38690,50156,3000,543,72,0,3077,77,"Census Tract 92.03, Adams County, Colorado","08001009203","DENVER, CO",24.5373134328358,42.865671641791,10.9253731343284,56.4516129032258,43.5483870967742,0,9.29203539823009,0,18.1,0
8,1,"08001009001","Census Tract 90.01, Adams County, Colorado",2128,421,334,455,323,77,65,107,40,4,0,11,0,31,829,48,574,65,35,0,54,0,46705,NA,3213,573,219,117,3237,251,"Census Tract 90.01, Adams County, Colorado","08001009001","DENVER, CO",35.4793233082707,36.5601503759398,6.67293233082707,41.1214953271028,10.2803738317757,28.9719626168224,8.05416963649323,0,17.8338001867414,53.4246575342466
