"st","cty","GEOID","NAME","whtEdU","whtEdhsMal","whtEdhsFem","whtEdSmclMal","whtEdSmclFem","whtEdBachMal","whtEdBachFem","blkEdU","blkEdhsMal","blkEdhsFem","blkEdSmclMal","blkEdSmclFem","blkEdBachMal","blkEdBachFem","whtLabForceMal","whtUnempMal","whtLabForceFem","whtUnempFem","blkLabForceMal","blkUnempMal","blkLabForceFem","blkUnempFem","whtInc","blkInc","whtPovU","whtBlPov","blkPovU","blkBlPov","racWht","racBlk","NAME1","GEOID1","city","whtHS","whtSmcl","whtBach","blkHS","blkSmcl","blkBach","whtUnemp","blkUnemp","whtPctBlPov","blkPctBlPov"
39,17,"39017001100","Census Tract 11, Butler County, Ohio",2620,581,654,237,370,133,172,134,34,18,0,74,0,0,984,95,885,38,44,0,32,0,31613,NA,3894,1101,263,131,3913,271,"Census Tract 11, Butler County, Ohio","39017001100","HAMILTON-MIDDLETOWN, OH",47.1374045801527,23.1679389312977,11.6412213740458,38.8059701492537,55.2238805970149,0,7.11610486891386,0,28.2742681047766,49.8098859315589
39,17,"39017011128","Census Tract 111.28, Butler County, Ohio",1659,62,171,108,215,598,480,155,12,8,37,27,38,33,653,27,652,56,80,0,51,0,107083,62813,2414,57,303,0,2423,303,"Census Tract 111.28, Butler County, Ohio","39017011128","HAMILTON-MIDDLETOWN, OH",14.0446051838457,19.4695599758891,64.9789029535865,12.9032258064516,41.2903225806452,45.8064516129032,6.36015325670498,0,2.36122618061309,0
39,17,"39017014900","Census Tract 149, Butler County, Ohio",3208,558,584,394,433,421,529,80,32,37,11,0,0,0,1411,48,1191,54,75,0,29,29,71554,21724,4968,268,112,32,4968,112,"Census Tract 149, Butler County, Ohio","39017014900","HAMILTON-MIDDLETOWN, OH",35.5985037406484,25.7793017456359,29.6134663341646,86.25,13.75,0,3.92006149116065,27.8846153846154,5.39452495974235,28.5714285714286
39,17,"39017015000","Census Tract 150, Butler County, Ohio",5333,1150,1160,692,858,499,401,82,0,14,24,26,18,0,1939,106,1585,5,18,0,14,0,71543,NA,7361,331,128,0,7465,128,"Census Tract 150, Butler County, Ohio","39017015000","HAMILTON-MIDDLETOWN, OH",43.31520720045,29.0643165197825,16.8760547534221,17.0731707317073,60.9756097560976,21.9512195121951,3.14982973893303,0,4.49667164787393,0
39,17,"39017011116","Census Tract 111.16, Butler County, Ohio",4045,147,225,370,625,1408,1175,364,15,0,107,70,70,81,1951,11,1446,30,191,22,160,0,137011,78750,6854,205,589,0,6854,589,"Census Tract 111.16, Butler County, Ohio","39017011116","HAMILTON-MIDDLETOWN, OH",9.19653893695921,24.5982694684796,63.8566131025958,4.12087912087912,48.6263736263736,41.4835164835165,1.20694730644686,6.26780626780627,2.99095418733586,0
39,17,"39017011127","Census Tract 111.27, Butler County, Ohio",2666,252,285,359,483,692,566,193,5,0,43,52,42,44,1068,9,1031,44,102,15,66,0,93031,102386,4097,84,255,8,4097,255,"Census Tract 111.27, Butler County, Ohio","39017011127","HAMILTON-MIDDLETOWN, OH",20.1425356339085,31.582895723931,47.1867966991748,2.59067357512953,49.2227979274611,44.559585492228,2.52501191043354,8.92857142857143,2.05028069319014,3.13725490196078
39,17,"39017000400","Census Tract 4, Butler County, Ohio",1891,599,232,162,158,46,62,507,108,143,127,62,0,0,575,66,469,139,182,64,281,0,28065,27908,2328,662,850,689,2915,1040,"Census Tract 4, Butler County, Ohio","39017000400","HAMILTON-MIDDLETOWN, OH",43.9450026441036,16.9222633527234,5.71126388154416,49.5069033530572,37.2781065088757,0,19.6360153256705,13.8228941684665,28.4364261168385,81.0588235294118
39,17,"39017011117","Census Tract 111.17, Butler County, Ohio",6195,973,705,581,816,1277,1369,412,53,42,23,96,165,33,2755,92,2369,30,277,0,180,0,103611,120602,9802,572,662,8,9819,662,"Census Tract 111.17, Butler County, Ohio","39017011117","HAMILTON-MIDDLETOWN, OH",27.0863599677159,22.5504439063761,42.7118644067797,23.0582524271845,28.8834951456311,48.0582524271845,2.38095238095238,0,5.83554376657825,1.20845921450151
39,17,"39017011130","Census Tract 111.30, Butler County, Ohio",3124,304,291,348,537,697,697,240,87,44,15,0,40,54,1116,15,1058,50,142,0,54,0,73750,NA,4203,38,378,0,4281,378,"Census Tract 111.30, Butler County, Ohio","39017011130","HAMILTON-MIDDLETOWN, OH",19.0460947503201,28.3290653008963,44.6222791293214,54.5833333333333,6.25,39.1666666666667,2.98988040478381,0,0.904116107542232,0
39,17,"39017011131","Census Tract 111.31, Butler County, Ohio",1853,122,158,157,222,630,523,102,0,37,15,12,13,25,750,13,621,18,13,0,62,37,109708,NA,2613,63,193,0,2619,193,"Census Tract 111.31, Butler County, Ohio","39017011131","HAMILTON-MIDDLETOWN, OH",15.1106314085267,20.4533189422558,62.2234214786832,36.2745098039216,26.4705882352941,37.2549019607843,2.26112326768782,49.3333333333333,2.41102181400689,0
