"st","cty","GEOID","NAME","whtEdU","whtEdhsMal","whtEdhsFem","whtEdSmclMal","whtEdSmclFem","whtEdBachMal","whtEdBachFem","blkEdU","blkEdhsMal","blkEdhsFem","blkEdSmclMal","blkEdSmclFem","blkEdBachMal","blkEdBachFem","whtLabForceMal","whtUnempMal","whtLabForceFem","whtUnempFem","blkLabForceMal","blkUnempMal","blkLabForceFem","blkUnempFem","whtInc","blkInc","whtPovU","whtBlPov","blkPovU","blkBlPov","racWht","racBlk","NAME1","GEOID1","city","whtHS","whtSmcl","whtBach","blkHS","blkSmcl","blkBach","whtUnemp","blkUnemp","whtPctBlPov","blkPctBlPov"
18,109,"18109510702","Census Tract 5107.02, Morgan County, Indiana",4053,593,513,639,765,633,568,47,7,0,27,0,0,0,1295,30,1249,46,0,0,0,0,73153,NA,5448,341,0,0,5703,54,"Census Tract 5107.02, Morgan County, Indiana","18109510702","INDIANAPOLIS, IN",27.2884283246978,34.641006661732,29.6323710831483,14.8936170212766,57.4468085106383,0,2.9874213836478,NA,6.25917767988253,NA
18,109,"18109510202","Census Tract 5102.02, Morgan County, Indiana",2400,482,570,310,415,150,111,0,0,0,0,0,0,0,1133,43,921,61,0,0,0,0,46667,NA,3885,545,0,0,3977,0,"Census Tract 5102.02, Morgan County, Indiana","18109510202","INDIANAPOLIS, IN",43.8333333333333,30.2083333333333,10.875,NA,NA,NA,5.06329113924051,NA,14.028314028314,NA
18,109,"18109511000","Census Tract 5110, Morgan County, Indiana",5167,1177,1086,896,655,335,355,0,0,0,0,0,0,0,2068,93,1712,123,0,0,0,0,59849,NA,7288,897,0,0,7402,0,"Census Tract 5110, Morgan County, Indiana","18109511000","INDIANAPOLIS, IN",43.7971743758467,30.0174182310819,13.3539771627637,NA,NA,NA,5.71428571428571,NA,12.307903402854,NA
18,109,"18109510401","Census Tract 5104.01, Morgan County, Indiana",2639,672,487,378,523,238,158,0,0,0,0,0,0,0,1171,49,878,36,0,0,0,0,66118,NA,3939,249,0,0,3947,0,"Census Tract 5104.01, Morgan County, Indiana","18109510401","INDIANAPOLIS, IN",43.9181508147025,34.1417203486169,15.0056839712012,NA,NA,NA,4.14836505612494,NA,6.32140137090632,NA
18,109,"18109510100","Census Tract 5101, Morgan County, Indiana",6330,1240,1443,1076,898,581,623,0,0,0,0,0,0,0,2662,61,2287,27,0,0,0,0,77028,NA,9536,246,0,0,9571,0,"Census Tract 5101, Morgan County, Indiana","18109510100","INDIANAPOLIS, IN",42.3854660347551,31.1848341232227,19.0205371248025,NA,NA,NA,1.77813699737321,NA,2.57969798657718,NA
18,109,"18109510300","Census Tract 5103, Morgan County, Indiana",3441,523,866,522,583,181,222,2,0,0,0,2,0,0,988,106,1156,92,0,0,0,0,40857,NA,4600,1013,0,0,4755,2,"Census Tract 5103, Morgan County, Indiana","18109510300","INDIANAPOLIS, IN",40.3661726242371,32.1127579192095,11.7117117117117,0,100,0,9.23507462686567,NA,22.0217391304348,NA
18,109,"18109510900","Census Tract 5109, Morgan County, Indiana",2632,624,788,261,313,50,47,40,40,0,0,0,0,0,952,120,839,197,95,0,23,0,34160,NA,4058,1334,122,122,4085,122,"Census Tract 5109, Morgan County, Indiana","18109510900","INDIANAPOLIS, IN",53.6474164133739,21.8085106382979,3.6854103343465,100,0,0,17.6996091568956,0,32.8733366190242,100
18,109,"18109510402","Census Tract 5104.02, Morgan County, Indiana",3635,922,747,413,612,300,349,10,4,0,0,0,0,6,1429,96,1087,27,4,0,6,0,67791,NA,5315,420,25,0,5356,25,"Census Tract 5104.02, Morgan County, Indiana","18109510402","INDIANAPOLIS, IN",45.9147180192572,28.1980742778542,17.8541953232462,40,0,60,4.88871224165342,0,7.90216368767639,0
18,109,"18109510201","Census Tract 5102.01, Morgan County, Indiana",2870,647,605,481,551,184,260,0,0,0,0,0,0,0,1241,48,1056,107,0,0,0,0,67047,NA,4205,381,0,0,4244,0,"Census Tract 5102.01, Morgan County, Indiana","18109510201","INDIANAPOLIS, IN",43.6236933797909,35.9581881533101,15.4703832752613,NA,NA,NA,6.74793208532869,NA,9.06064209274673,NA
18,109,"18109510800","Census Tract 5108, Morgan County, Indiana",2391,483,584,354,304,119,149,14,0,0,0,7,0,0,783,42,672,8,0,0,0,0,42672,NA,3368,672,0,0,3458,14,"Census Tract 5108, Morgan County, Indiana","18109510800","INDIANAPOLIS, IN",44.6256796319532,27.5198661647846,11.2086992890004,0,50,0,3.43642611683849,NA,19.9524940617577,NA
