"st","cty","GEOID","NAME","whtEdU","whtEdhsMal","whtEdhsFem","whtEdSmclMal","whtEdSmclFem","whtEdBachMal","whtEdBachFem","blkEdU","blkEdhsMal","blkEdhsFem","blkEdSmclMal","blkEdSmclFem","blkEdBachMal","blkEdBachFem","whtLabForceMal","whtUnempMal","whtLabForceFem","whtUnempFem","blkLabForceMal","blkUnempMal","blkLabForceFem","blkUnempFem","whtInc","blkInc","whtPovU","whtBlPov","blkPovU","blkBlPov","racWht","racBlk","NAME1","GEOID1","city","whtHS","whtSmcl","whtBach","blkHS","blkSmcl","blkBach","whtUnemp","blkUnemp","whtPctBlPov","blkPctBlPov"
18,143,"18143966700","Census Tract 9667, Scott County, Indiana",3032,663,547,464,459,184,229,0,0,0,0,0,0,0,1288,162,918,99,0,0,0,0,54004,NA,4233,385,0,0,4260,0,"Census Tract 9667, Scott County, Indiana","18143966700","LOUISVILLE, KY-IN",39.9076517150396,30.4419525065963,13.6213720316623,NA,NA,NA,11.8313689936537,NA,9.09520434679896,NA
18,143,"18143967000","Census Tract 9670, Scott County, Indiana",4111,756,871,603,752,354,413,8,0,3,0,0,0,0,1455,94,1139,13,1,0,0,0,45568,NA,5419,758,4,3,5659,9,"Census Tract 9670, Scott County, Indiana","18143967000","LOUISVILLE, KY-IN",39.576745317441,32.9603502797373,18.6572610070542,37.5,0,0,4.12490362374711,0,13.9878206311128,75
18,143,"18143966900","Census Tract 9669, Scott County, Indiana",2915,724,663,351,431,160,258,0,0,0,0,0,0,0,961,73,943,22,0,0,0,0,51173,NA,4236,597,0,0,4247,0,"Census Tract 9669, Scott County, Indiana","18143966900","LOUISVILLE, KY-IN",47.5814751286449,26.8267581475129,14.3396226415094,NA,NA,NA,4.98949579831933,NA,14.0934844192635,NA
18,143,"18143966800","Census Tract 9668, Scott County, Indiana",2429,527,421,208,312,56,109,0,0,0,0,0,0,0,737,32,675,87,0,0,0,0,32917,NA,3717,979,0,0,3717,0,"Census Tract 9668, Scott County, Indiana","18143966800","LOUISVILLE, KY-IN",39.0284067517497,21.4079868258543,6.79291889666529,NA,NA,NA,8.42776203966006,NA,26.3384449825128,NA
18,143,"18143967100","Census Tract 9671, Scott County, Indiana",3529,883,783,430,636,151,194,23,23,0,0,0,0,0,1323,92,1046,69,23,0,0,0,55521,NA,5101,396,43,20,5244,50,"Census Tract 9671, Scott County, Indiana","18143967100","LOUISVILLE, KY-IN",47.2088410314537,30.2068574667045,9.7761405497308,100,0,0,6.79611650485437,0,7.76318368947265,46.5116279069767
18,19,"18019050704","Census Tract 507.04, Clark County, Indiana",3786,509,605,539,633,639,551,1,1,0,0,0,0,0,1459,29,1312,84,0,0,0,0,79647,NA,5524,157,1,0,5586,9,"Census Tract 507.04, Clark County, Indiana","18019050704","LOUISVILLE, KY-IN",29.4241944004226,30.9561542525092,31.4315900686741,100,0,0,4.0779501984843,NA,2.8421433743664,0
18,19,"18019050305","Census Tract 503.05, Clark County, Indiana",1805,227,273,299,364,209,264,255,57,5,51,83,18,0,620,39,607,62,91,0,82,0,54417,NA,2274,99,388,0,2274,388,"Census Tract 503.05, Clark County, Indiana","18019050305","LOUISVILLE, KY-IN",27.7008310249307,36.7313019390582,26.2049861495845,24.3137254901961,52.5490196078431,7.05882352941176,8.23145884270579,0,4.35356200527704,0
18,19,"18019051000","Census Tract 510, Clark County, Indiana",3300,579,641,531,450,262,286,8,0,0,8,0,0,0,1025,74,1113,117,0,0,0,0,51000,NA,5033,406,8,0,5033,8,"Census Tract 510, Clark County, Indiana","18019051000","LOUISVILLE, KY-IN",36.969696969697,29.7272727272727,16.6060606060606,0,100,0,8.93358278765201,NA,8.06675938803894,0
18,19,"18019050503","Census Tract 505.03, Clark County, Indiana",3315,582,610,391,627,183,254,72,2,0,14,56,0,0,1228,61,972,55,13,0,32,0,39437,25476,4752,533,95,3,4752,95,"Census Tract 505.03, Clark County, Indiana","18019050503","LOUISVILLE, KY-IN",35.9577677224736,30.7088989441931,13.1825037707391,2.77777777777778,97.2222222222222,0,5.27272727272727,0,11.21632996633,3.15789473684211
18,19,"18019050303","Census Tract 503.03, Clark County, Indiana",1684,254,356,368,304,96,117,49,29,20,0,0,0,0,669,15,505,55,44,0,0,0,43233,NA,2284,348,65,12,2291,65,"Census Tract 503.03, Clark County, Indiana","18019050303","LOUISVILLE, KY-IN",36.2232779097387,39.9049881235154,12.6484560570071,100,0,0,5.96252129471891,0,15.2364273204904,18.4615384615385
18,19,"18019050306","Census Tract 503.06, Clark County, Indiana",1414,322,244,163,274,94,143,341,22,40,119,62,22,46,470,100,487,49,138,12,161,22,37083,53345,2003,625,485,107,2003,485,"Census Tract 503.06, Clark County, Indiana","18019050306","LOUISVILLE, KY-IN",40.02828854314,30.9052333804809,16.7609618104668,18.1818181818182,53.0791788856305,19.941348973607,15.5694879832811,11.371237458194,31.2031952071892,22.0618556701031
18,19,"18019050401","Census Tract 504.01, Clark County, Indiana",2074,578,416,166,387,94,173,46,0,0,16,0,0,0,845,115,750,28,16,0,0,0,45238,NA,2869,230,46,30,2879,46,"Census Tract 504.01, Clark County, Indiana","18019050401","LOUISVILLE, KY-IN",47.9267116682739,26.6634522661524,12.8736740597878,0,34.7826086956522,0,8.96551724137931,0,8.01673056814221,65.2173913043478
18,19,"18019050304","Census Tract 503.04, Clark County, Indiana",2359,302,435,445,440,194,326,644,124,105,102,98,28,59,799,29,917,23,267,69,247,29,41228,37311,3249,334,1105,124,3249,1116,"Census Tract 503.04, Clark County, Indiana","18019050304","LOUISVILLE, KY-IN",31.2420517168292,37.5158965663417,22.0432386604493,35.5590062111801,31.055900621118,13.5093167701863,3.03030303030303,19.0661478599222,10.2800861803632,11.2217194570136
18,19,"18019050701","Census Tract 507.01, Clark County, Indiana",3407,521,451,438,730,561,587,236,112,5,79,0,4,36,1191,72,1190,20,209,0,41,0,71065,76925,4739,186,417,0,4777,417,"Census Tract 507.01, Clark County, Indiana","18019050701","LOUISVILLE, KY-IN",28.5294980921632,34.2823598473731,33.6953331376578,49.5762711864407,33.4745762711864,16.9491525423729,3.86392272154557,0,3.92487866638531,0
