"st","cty","GEOID","NAME","whtEdU","whtEdhsMal","whtEdhsFem","whtEdSmclMal","whtEdSmclFem","whtEdBachMal","whtEdBachFem","blkEdU","blkEdhsMal","blkEdhsFem","blkEdSmclMal","blkEdSmclFem","blkEdBachMal","blkEdBachFem","whtLabForceMal","whtUnempMal","whtLabForceFem","whtUnempFem","blkLabForceMal","blkUnempMal","blkLabForceFem","blkUnempFem","whtInc","blkInc","whtPovU","whtBlPov","blkPovU","blkBlPov","racWht","racBlk","NAME1","GEOID1","city","whtHS","whtSmcl","whtBach","blkHS","blkSmcl","blkBach","whtUnemp","blkUnemp","whtPctBlPov","blkPctBlPov"
27,123,"27123034900","Census Tract 349, Ramsey County, Minnesota",1503,25,35,101,156,587,548,1,0,0,0,0,0,0,1024,68,1036,41,18,0,4,0,64417,NA,2692,614,19,1,3282,23,"Census Tract 349, Ramsey County, Minnesota","27123034900","MINNEAPOLIS-ST. PAUL, MN-WI",3.99201596806387,17.0991350632069,75.5156353958749,0,0,0,5.29126213592233,0,22.8083209509658,5.26315789473684
27,123,"27123030300","Census Tract 303, Ramsey County, Minnesota",3787,237,216,433,447,1050,1276,104,0,2,0,31,16,0,1433,13,1449,10,60,0,18,0,82500,31818,4896,312,138,13,4896,138,"Census Tract 303, Ramsey County, Minnesota","27123030300","MINNEAPOLIS-ST. PAUL, MN-WI",11.9619751782414,23.2373910747293,61.420649590705,1.92307692307692,29.8076923076923,15.3846153846154,0.798056904927134,0,6.37254901960784,9.42028985507246
27,123,"27123034701","Census Tract 347.01, Ramsey County, Minnesota",1430,260,271,224,228,133,175,449,10,21,107,157,48,43,546,97,625,66,168,14,220,52,50298,30078,2124,367,911,363,2124,911,"Census Tract 347.01, Ramsey County, Minnesota","27123034701","MINNEAPOLIS-ST. PAUL, MN-WI",37.1328671328671,31.6083916083916,21.5384615384615,6.90423162583519,58.7973273942094,20.2672605790646,13.9197267292912,17.0103092783505,17.2787193973635,39.8463227222832
27,123,"27123042504","Census Tract 425.04, Ramsey County, Minnesota",2284,269,295,463,360,413,433,247,42,28,25,39,38,33,831,36,708,32,0,0,57,0,73207,59050,2649,86,190,2,2761,356,"Census Tract 425.04, Ramsey County, Minnesota","27123042504","MINNEAPOLIS-ST. PAUL, MN-WI",24.6935201401051,36.0332749562172,37.0402802101576,28.3400809716599,25.9109311740891,28.7449392712551,4.41845354126056,0,3.24650811627029,1.05263157894737
27,123,"27123030400","Census Tract 304, Ramsey County, Minnesota",1874,281,326,256,324,240,239,1015,168,78,114,305,73,68,896,68,657,0,403,115,465,80,48498,28585,2872,840,1621,263,2905,1621,"Census Tract 304, Ramsey County, Minnesota","27123030400","MINNEAPOLIS-ST. PAUL, MN-WI",32.3906083244397,30.9498399146211,25.5602988260406,24.2364532019704,41.2807881773399,13.8916256157635,4.37862202189311,22.4654377880184,29.2479108635098,16.224552745219
27,123,"27123034702","Census Tract 347.02, Ramsey County, Minnesota",1442,293,306,132,149,159,189,360,39,48,53,104,44,17,476,69,537,14,116,15,179,15,45637,32799,1866,141,695,224,1866,695,"Census Tract 347.02, Ramsey County, Minnesota","27123034702","MINNEAPOLIS-ST. PAUL, MN-WI",41.5395284327323,19.4868238557559,24.1331484049931,24.1666666666667,43.6111111111111,16.9444444444444,8.19348469891412,10.1694915254237,7.55627009646302,32.2302158273381
27,123,"27123035900","Census Tract 359, Ramsey County, Minnesota",377,44,46,44,51,91,77,61,17,16,15,9,3,1,136,0,128,0,41,0,22,0,33313,NA,480,108,106,9,484,106,"Census Tract 359, Ramsey County, Minnesota","27123035900","MINNEAPOLIS-ST. PAUL, MN-WI",23.8726790450928,25.1989389920424,44.5623342175066,54.0983606557377,39.344262295082,6.55737704918033,0,0,22.5,8.49056603773585
27,123,"27123035000","Census Tract 350, Ramsey County, Minnesota",1706,109,79,121,122,555,688,50,0,0,0,18,24,8,683,52,847,84,25,0,8,0,68636,NA,2570,278,98,15,2570,98,"Census Tract 350, Ramsey County, Minnesota","27123035000","MINNEAPOLIS-ST. PAUL, MN-WI",11.0199296600234,14.2438452520516,72.8604923798359,0,36,64,8.88888888888889,0,10.8171206225681,15.3061224489796
27,123,"27123036300","Census Tract 363, Ramsey County, Minnesota",2068,43,118,259,94,580,974,32,0,0,0,0,23,9,780,16,1169,41,0,0,27,0,78704,NA,3061,186,41,0,3449,68,"Census Tract 363, Ramsey County, Minnesota","27123036300","MINNEAPOLIS-ST. PAUL, MN-WI",7.7852998065764,17.0696324951644,75.1450676982592,0,0,100,2.92457670600308,0,6.07644560601111,0
27,123,"27123030500","Census Tract 305, Ramsey County, Minnesota",781,115,168,141,97,90,92,775,137,153,89,131,84,70,377,12,289,35,385,89,422,26,39464,32614,988,202,1762,717,1051,1771,"Census Tract 305, Ramsey County, Minnesota","27123030500","MINNEAPOLIS-ST. PAUL, MN-WI",36.235595390525,30.4737516005122,23.303457106274,37.4193548387097,28.3870967741935,19.8709677419355,7.05705705705706,14.2503097893432,20.4453441295547,40.6923950056754
