"st","cty","GEOID","NAME","whtEdU","whtEdhsMal","whtEdhsFem","whtEdSmclMal","whtEdSmclFem","whtEdBachMal","whtEdBachFem","blkEdU","blkEdhsMal","blkEdhsFem","blkEdSmclMal","blkEdSmclFem","blkEdBachMal","blkEdBachFem","whtLabForceMal","whtUnempMal","whtLabForceFem","whtUnempFem","blkLabForceMal","blkUnempMal","blkLabForceFem","blkUnempFem","whtInc","blkInc","whtPovU","whtBlPov","blkPovU","blkBlPov","racWht","racBlk","NAME1","GEOID1","city","whtHS","whtSmcl","whtBach","blkHS","blkSmcl","blkBach","whtUnemp","blkUnemp","whtPctBlPov","blkPctBlPov"
37,53,"37053110302","Census Tract 1103.02, Currituck County, North Carolina",1959,340,389,356,272,99,186,165,12,20,26,62,0,26,826,38,725,27,24,0,76,17,52161,NA,2744,377,285,37,2845,315,"Census Tract 1103.02, Currituck County, North Carolina","37053110302","NORFOLK-VIRGINIA BEACH-NEWPORT NEWS, VA-NC",37.2128637059724,32.0571720265442,14.5482388973966,19.3939393939394,53.3333333333333,15.7575757575758,4.19084461637653,17,13.7390670553936,12.9824561403509
37,53,"37053110401","Census Tract 1104.01, Currituck County, North Carolina",2272,542,397,286,412,102,259,72,19,1,30,20,0,0,862,8,598,56,17,0,20,7,43852,NA,3218,335,82,4,3243,82,"Census Tract 1104.01, Currituck County, North Carolina","37053110401","NORFOLK-VIRGINIA BEACH-NEWPORT NEWS, VA-NC",41.3292253521127,30.7218309859155,15.8890845070423,27.7777777777778,69.4444444444444,0,4.38356164383562,18.9189189189189,10.4101926662523,4.8780487804878
37,53,"37053110102","Census Tract 1101.02, Currituck County, North Carolina",1127,249,181,160,178,108,88,0,0,0,0,0,0,0,477,6,263,9,0,0,0,0,49000,NA,1504,119,0,0,1504,0,"Census Tract 1101.02, Currituck County, North Carolina","37053110102","NORFOLK-VIRGINIA BEACH-NEWPORT NEWS, VA-NC",38.1543921916593,29.9911268855368,17.3913043478261,NA,NA,NA,2.02702702702703,NA,7.91223404255319,NA
37,53,"37053110101","Census Tract 1101.01, Currituck County, North Carolina",596,81,54,58,94,175,134,16,0,8,0,0,4,4,154,13,89,5,28,0,15,0,65469,NA,647,68,57,0,647,57,"Census Tract 1101.01, Currituck County, North Carolina","37053110101","NORFOLK-VIRGINIA BEACH-NEWPORT NEWS, VA-NC",22.6510067114094,25.503355704698,51.8456375838926,50,0,50,7.40740740740741,0,10.5100463678516,0
37,53,"37053990100","Census Tract 9901, Currituck County, North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,"Census Tract 9901, Currituck County, North Carolina","37053990100","NORFOLK-VIRGINIA BEACH-NEWPORT NEWS, VA-NC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,53,"37053110301","Census Tract 1103.01, Currituck County, North Carolina",2759,418,410,453,544,294,360,70,17,10,18,0,0,0,844,30,870,82,35,0,10,0,65192,NA,3935,419,70,0,3935,70,"Census Tract 1103.01, Currituck County, North Carolina","37053110301","NORFOLK-VIRGINIA BEACH-NEWPORT NEWS, VA-NC",30.0108735048931,36.1362812613266,23.7042406669083,38.5714285714286,25.7142857142857,0,6.53442240373396,0,10.6480304955527,0
37,53,"37053110200","Census Tract 1102, Currituck County, North Carolina",4260,433,533,787,979,490,509,504,0,69,189,23,34,152,1554,27,1474,46,228,157,175,0,81615,NA,6156,420,754,268,6156,754,"Census Tract 1102, Currituck County, North Carolina","37053110200","NORFOLK-VIRGINIA BEACH-NEWPORT NEWS, VA-NC",22.6760563380282,41.4553990610329,23.4507042253521,13.6904761904762,42.0634920634921,36.9047619047619,2.4108322324967,38.9578163771712,6.82261208576998,35.5437665782493
37,53,"37053110402","Census Tract 1104.02, Currituck County, North Carolina",3042,360,392,500,681,283,347,223,36,12,0,46,49,17,1207,62,974,51,70,49,54,0,56560,55536,4160,258,272,74,4160,272,"Census Tract 1104.02, Currituck County, North Carolina","37053110402","NORFOLK-VIRGINIA BEACH-NEWPORT NEWS, VA-NC",24.7205785667324,38.8231426692965,20.7100591715976,21.52466367713,20.627802690583,29.5964125560538,5.1811095827602,39.5161290322581,6.20192307692308,27.2058823529412
51,115,"51115990100","Census Tract 9901, Mathews County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,"Census Tract 9901, Mathews County, Virginia","51115990100","NORFOLK-VIRGINIA BEACH-NEWPORT NEWS, VA-NC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,115,"51115951400","Census Tract 9514, Mathews County, Virginia",2550,459,583,303,410,364,303,284,29,67,53,0,0,34,732,0,821,28,63,0,69,0,74943,44194,3356,354,365,10,3412,371,"Census Tract 9514, Mathews County, Virginia","51115951400","NORFOLK-VIRGINIA BEACH-NEWPORT NEWS, VA-NC",40.8627450980392,27.9607843137255,26.156862745098,33.8028169014084,18.6619718309859,11.9718309859155,1.80296200901481,0,10.5482717520858,2.73972602739726
51,115,"51115951300","Census Tract 9513, Mathews County, Virginia",3349,480,478,474,599,467,571,416,119,52,17,147,4,7,908,29,825,12,139,14,139,0,61023,57895,4198,352,498,114,4207,498,"Census Tract 9513, Mathews County, Virginia","51115951300","NORFOLK-VIRGINIA BEACH-NEWPORT NEWS, VA-NC",28.6055538966856,32.0394147506718,30.994326664676,41.1057692307692,39.4230769230769,2.64423076923077,2.36583958453549,5.03597122302158,8.38494521200572,22.8915662650602
51,199,"51199990100","Census Tract 9901, York County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,"Census Tract 9901, York County, Virginia","51199990100","NORFOLK-VIRGINIA BEACH-NEWPORT NEWS, VA-NC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,199,"51199050204","Census Tract 502.04, York County, Virginia",2081,244,376,502,374,204,363,390,17,24,98,106,109,36,1093,36,872,136,316,0,228,17,54828,51481,4402,302,950,20,4409,950,"Census Tract 502.04, York County, Virginia","51199050204","NORFOLK-VIRGINIA BEACH-NEWPORT NEWS, VA-NC",29.7933685728015,42.0951465641518,27.2465160980298,10.5128205128205,52.3076923076923,37.1794871794872,8.75318066157761,3.125,6.86051794638801,2.10526315789474
51,199,"51199050401","Census Tract 504.01, York County, Virginia",2016,123,212,202,385,590,410,204,22,21,0,41,26,15,664,46,574,9,72,15,86,0,104144,44231,2790,92,284,0,2850,293,"Census Tract 504.01, York County, Virginia","51199050401","NORFOLK-VIRGINIA BEACH-NEWPORT NEWS, VA-NC",16.6170634920635,29.1170634920635,49.6031746031746,21.078431372549,20.0980392156863,20.0980392156863,4.44264943457189,9.49367088607595,3.29749103942652,0
51,199,"51199050205","Census Tract 502.05, York County, Virginia",2832,265,268,382,387,787,662,200,6,15,21,24,62,72,1088,46,904,65,44,0,83,13,109848,129760,3906,65,233,0,3915,233,"Census Tract 502.05, York County, Virginia","51199050205","NORFOLK-VIRGINIA BEACH-NEWPORT NEWS, VA-NC",18.8206214689266,27.1539548022599,51.1652542372881,10.5,22.5,67,5.57228915662651,10.2362204724409,1.66410650281618,0
51,199,"51199051100","Census Tract 511, York County, Virginia",3775,131,456,569,478,860,817,1050,148,213,221,159,59,176,1632,108,1320,71,470,61,444,33,91064,72656,5190,415,1510,241,5190,1527,"Census Tract 511, York County, Virginia","51199051100","NORFOLK-VIRGINIA BEACH-NEWPORT NEWS, VA-NC",15.5496688741722,27.7350993377483,44.4238410596027,34.3809523809524,36.1904761904762,22.3809523809524,6.06368563685637,10.2844638949672,7.99614643545279,15.9602649006623
51,199,"51199050402","Census Tract 504.02, York County, Virginia",2383,262,330,359,414,481,414,72,0,0,27,0,0,45,848,57,809,35,0,0,12,0,81694,NA,3248,136,94,0,3274,94,"Census Tract 504.02, York County, Virginia","51199050402","NORFOLK-VIRGINIA BEACH-NEWPORT NEWS, VA-NC",24.8426353336131,32.4381032312211,37.5577003776752,0,37.5,62.5,5.55220277610139,0,4.1871921182266,0
51,199,"51199050306","Census Tract 503.06, York County, Virginia",3116,382,494,402,670,549,568,242,12,63,72,57,10,28,912,46,748,50,142,45,219,8,71612,53646,3925,201,520,72,3925,520,"Census Tract 503.06, York County, Virginia","51199050306","NORFOLK-VIRGINIA BEACH-NEWPORT NEWS, VA-NC",28.1129653401797,34.403080872914,35.8472400513479,30.9917355371901,53.3057851239669,15.702479338843,5.78313253012048,14.6814404432133,5.12101910828025,13.8461538461538
