"st","cty","GEOID","NAME","whtEdU","whtEdhsMal","whtEdhsFem","whtEdSmclMal","whtEdSmclFem","whtEdBachMal","whtEdBachFem","blkEdU","blkEdhsMal","blkEdhsFem","blkEdSmclMal","blkEdSmclFem","blkEdBachMal","blkEdBachFem","whtLabForceMal","whtUnempMal","whtLabForceFem","whtUnempFem","blkLabForceMal","blkUnempMal","blkLabForceFem","blkUnempFem","whtInc","blkInc","whtPovU","whtBlPov","blkPovU","blkBlPov","racWht","racBlk","NAME1","GEOID1","city","whtHS","whtSmcl","whtBach","blkHS","blkSmcl","blkBach","whtUnemp","blkUnemp","whtPctBlPov","blkPctBlPov"
42,125,"42125721000","Census Tract 7210, Washington County, Pennsylvania",3047,735,654,359,467,286,279,10,1,3,5,0,0,0,1140,88,945,55,6,0,0,0,62241,NA,4172,374,15,4,4180,15,"Census Tract 7210, Washington County, Pennsylvania","42125721000","PITTSBURGH, PA",45.5858221201181,27.1086314407614,18.5428290121431,40,50,0,6.85851318944844,0,8.96452540747843,26.6666666666667
42,125,"42125731000","Census Tract 7310, Washington County, Pennsylvania",4145,1046,1062,449,489,336,436,34,2,4,13,0,0,0,1521,95,1185,45,15,0,0,0,59050,NA,5870,561,34,13,5893,42,"Census Tract 7310, Washington County, Pennsylvania","42125731000","PITTSBURGH, PA",50.8564535585042,22.6296743063932,18.6248492159228,17.6470588235294,38.2352941176471,0,5.17368810051737,0,9.55706984667802,38.2352941176471
42,125,"42125722700","Census Tract 7227, Washington County, Pennsylvania",2529,551,525,296,315,334,303,7,0,0,0,7,0,0,905,38,740,32,0,0,0,0,73875,NA,3506,151,7,0,3506,7,"Census Tract 7227, Washington County, Pennsylvania","42125722700","PITTSBURGH, PA",42.5464610517991,24.1597469355476,25.1878212732305,0,100,0,4.25531914893617,NA,4.30690245293782,0
42,125,"42125783200","Census Tract 7832, Washington County, Pennsylvania",1567,310,483,173,196,107,88,108,44,16,0,25,0,9,478,52,349,20,40,5,18,9,29079,NA,2234,621,174,122,2258,174,"Census Tract 7832, Washington County, Pennsylvania","42125783200","PITTSBURGH, PA",50.6062539885131,23.5481812380345,12.4441608168475,55.5555555555556,23.1481481481481,8.33333333333333,8.70616686819831,24.1379310344828,27.7976723366159,70.1149425287356
42,125,"42125714000","Census Tract 7140, Washington County, Pennsylvania",1923,465,483,228,293,128,157,35,23,0,12,0,0,0,637,52,695,66,14,0,0,0,49583,48750,2688,301,35,0,2720,35,"Census Tract 7140, Washington County, Pennsylvania","42125714000","PITTSBURGH, PA",49.2979719188768,27.0930837233489,14.8205928237129,65.7142857142857,34.2857142857143,0,8.85885885885886,0,11.1979166666667,0
42,125,"42125782700","Census Tract 7827, Washington County, Pennsylvania",955,179,270,135,107,85,89,66,26,7,0,11,0,0,312,51,280,14,26,6,11,0,41210,NA,1271,174,66,25,1271,66,"Census Tract 7827, Washington County, Pennsylvania","42125782700","PITTSBURGH, PA",47.0157068062827,25.3403141361257,18.2198952879581,50,16.6666666666667,0,10.9797297297297,16.2162162162162,13.6900078678206,37.8787878787879
42,125,"42125754200","Census Tract 7542, Washington County, Pennsylvania",1586,357,258,127,248,249,265,101,18,9,22,19,9,0,651,66,730,37,44,0,66,13,45194,70750,2072,406,131,7,2588,214,"Census Tract 7542, Washington County, Pennsylvania","42125754200","PITTSBURGH, PA",38.7767969735183,23.6443883984868,32.4085750315258,26.7326732673267,40.5940594059406,8.91089108910891,7.45836350470673,11.8181818181818,19.5945945945946,5.34351145038168
42,125,"42125715700","Census Tract 7157, Washington County, Pennsylvania",1196,250,261,124,144,130,145,23,0,7,16,0,0,0,345,46,352,11,20,0,0,0,43710,NA,1591,184,28,1,1591,28,"Census Tract 7157, Washington County, Pennsylvania","42125715700","PITTSBURGH, PA",42.7257525083612,22.4080267558528,22.9933110367893,30.4347826086957,69.5652173913043,0,8.17790530846485,0,11.5650534255185,3.57142857142857
42,125,"42125732000","Census Tract 7320, Washington County, Pennsylvania",2517,578,457,342,291,302,385,0,0,0,0,0,0,0,981,51,776,24,0,0,0,0,69375,NA,3264,179,0,0,3264,0,"Census Tract 7320, Washington County, Pennsylvania","42125732000","PITTSBURGH, PA",41.1203814064362,25.1489868891538,27.2943980929678,NA,NA,NA,4.26863972680706,NA,5.48406862745098,NA
42,125,"42125742200","Census Tract 7422, Washington County, Pennsylvania",1202,403,255,130,129,57,133,0,0,0,0,0,0,0,511,38,453,14,0,0,0,0,68500,NA,1695,62,0,0,1706,0,"Census Tract 7422, Washington County, Pennsylvania","42125742200","PITTSBURGH, PA",54.7420965058236,21.5474209650582,15.8069883527454,NA,NA,NA,5.39419087136929,NA,3.65781710914454,NA
42,125,"42125781700","Census Tract 7817, Washington County, Pennsylvania",2943,664,623,468,446,215,365,117,29,8,23,26,0,31,1054,59,930,60,39,0,31,0,59113,NA,4022,300,117,0,4027,117,"Census Tract 7817, Washington County, Pennsylvania","42125781700","PITTSBURGH, PA",43.7308868501529,31.0567448182127,19.7077811756711,31.6239316239316,41.8803418803419,26.4957264957265,5.99798387096774,0,7.45897563401293,0
42,125,"42125755200","Census Tract 7552, Washington County, Pennsylvania",3919,349,791,514,482,769,864,91,33,30,0,0,0,12,1270,23,1411,39,30,0,12,0,85827,75066,5368,176,91,0,5400,91,"Census Tract 7552, Washington County, Pennsylvania","42125755200","PITTSBURGH, PA",29.0890533299311,25.4146465935188,41.6687930594539,69.2307692307692,0,13.1868131868132,2.31256993659082,0,3.27868852459016,0
42,125,"42125745200","Census Tract 7452, Washington County, Pennsylvania",3660,389,489,469,521,848,763,99,11,7,24,32,0,0,1191,49,1072,24,26,0,39,0,86320,41836,4659,135,160,11,4731,160,"Census Tract 7452, Washington County, Pennsylvania","42125745200","PITTSBURGH, PA",23.9890710382514,27.0491803278689,44.016393442623,18.1818181818182,56.5656565656566,0,3.2258064516129,0,2.89761751448809,6.875
42,125,"42125754500","Census Tract 7545, Washington County, Pennsylvania",1760,345,303,237,283,228,219,124,0,29,11,56,0,11,716,36,564,83,11,0,96,0,51429,NA,2197,233,145,25,2197,145,"Census Tract 7545, Washington County, Pennsylvania","42125754500","PITTSBURGH, PA",36.8181818181818,29.5454545454545,25.3977272727273,23.3870967741935,54.0322580645161,8.87096774193548,9.296875,0,10.6053709604005,17.2413793103448
42,125,"42125741100","Census Tract 7411, Washington County, Pennsylvania",3014,491,550,506,354,422,506,20,11,0,0,0,0,8,1294,73,1126,26,11,0,8,0,76591,NA,4219,106,34,12,4219,34,"Census Tract 7411, Washington County, Pennsylvania","42125741100","PITTSBURGH, PA",34.5388188453882,28.5335102853351,30.7896483078965,55,0,40,4.09090909090909,0,2.51244370703958,35.2941176470588
42,125,"42125795900","Census Tract 7959, Washington County, Pennsylvania",2885,676,711,291,315,259,392,23,0,0,19,0,0,0,950,70,1025,80,19,0,0,0,54115,NA,4076,489,23,4,4078,23,"Census Tract 7959, Washington County, Pennsylvania","42125795900","PITTSBURGH, PA",48.0762564991334,21.0051993067591,22.5649913344887,0,82.6086956521739,0,7.59493670886076,0,11.9970559371933,17.3913043478261
42,125,"42125784000","Census Tract 7840, Washington County, Pennsylvania",2003,420,416,284,240,242,259,19,8,4,2,0,3,2,676,42,507,18,8,0,2,0,49400,NA,2545,312,19,7,2549,19,"Census Tract 7840, Washington County, Pennsylvania","42125784000","PITTSBURGH, PA",41.7373939091363,26.1607588617074,25.0124812780829,63.1578947368421,10.5263157894737,26.3157894736842,5.07185122569738,0,12.2593320235756,36.8421052631579
42,125,"42125755700","Census Tract 7557, Washington County, Pennsylvania",2583,610,584,290,355,292,267,24,14,10,0,0,0,0,1073,62,786,19,0,0,0,0,62259,NA,3515,198,26,26,3524,26,"Census Tract 7557, Washington County, Pennsylvania","42125755700","PITTSBURGH, PA",46.2253193960511,24.9709639953542,21.641502129307,100,0,0,4.3571812802582,NA,5.63300142247511,100
42,125,"42125771100","Census Tract 7711, Washington County, Pennsylvania",4489,1063,936,572,756,537,456,0,0,0,0,0,0,0,1523,99,1090,14,0,0,0,0,66177,NA,5607,447,0,0,5641,0,"Census Tract 7711, Washington County, Pennsylvania","42125771100","PITTSBURGH, PA",44.5310759634663,29.583426152818,22.1207395856538,NA,NA,NA,4.32453119020283,NA,7.97217763509898,NA
42,125,"42125773100","Census Tract 7731, Washington County, Pennsylvania",1908,419,432,302,309,93,98,54,10,7,17,9,0,0,725,65,610,62,27,0,0,0,46602,NA,2810,442,53,16,2843,54,"Census Tract 7731, Washington County, Pennsylvania","42125773100","PITTSBURGH, PA",44.601677148847,32.0230607966457,10.0104821802935,31.4814814814815,48.1481481481481,0,9.51310861423221,0,15.729537366548,30.188679245283
42,125,"42125704100","Census Tract 7041, Washington County, Pennsylvania",703,166,111,106,104,36,33,229,55,43,33,21,0,0,266,62,174,12,78,36,24,0,15293,18750,625,299,197,120,1251,327,"Census Tract 7041, Washington County, Pennsylvania","42125704100","PITTSBURGH, PA",39.402560455192,29.8719772403983,9.81507823613087,42.7947598253275,23.5807860262009,0,16.8181818181818,35.2941176470588,47.84,60.9137055837564
