"st","cty","GEOID","NAME","whtEdU","whtEdhsMal","whtEdhsFem","whtEdSmclMal","whtEdSmclFem","whtEdBachMal","whtEdBachFem","blkEdU","blkEdhsMal","blkEdhsFem","blkEdSmclMal","blkEdSmclFem","blkEdBachMal","blkEdBachFem","whtLabForceMal","whtUnempMal","whtLabForceFem","whtUnempFem","blkLabForceMal","blkUnempMal","blkLabForceFem","blkUnempFem","whtInc","blkInc","whtPovU","whtBlPov","blkPovU","blkBlPov","racWht","racBlk","NAME1","GEOID1","city","whtHS","whtSmcl","whtBach","blkHS","blkSmcl","blkBach","whtUnemp","blkUnemp","whtPctBlPov","blkPctBlPov"
41,5,"41005020800","Census Tract 208, Clackamas County, Oregon",2772,99,324,592,592,483,572,33,0,0,17,16,0,0,920,35,1004,66,24,0,16,0,48060,NA,3630,446,73,17,3678,73,"Census Tract 208, Clackamas County, Oregon","41005020800","PORTLAND-VANCOUVER,OR-WA",15.2597402597403,42.7128427128427,38.0591630591631,0,100,0,5.24948024948025,0,12.2865013774105,23.2876712328767
41,5,"41005020700","Census Tract 207, Clackamas County, Oregon",2397,106,100,364,483,609,675,20,0,0,0,20,0,0,995,64,821,28,0,0,30,20,85139,NA,3598,216,65,55,3598,65,"Census Tract 207, Clackamas County, Oregon","41005020700","PORTLAND-VANCOUVER,OR-WA",8.59407592824364,35.3358364622445,53.566958698373,0,100,0,5.06607929515418,66.6666666666667,6.00333518621456,84.6153846153846
41,5,"41005020303","Census Tract 203.03, Clackamas County, Oregon",3802,63,363,352,553,1092,1306,0,0,0,0,0,0,0,1136,0,1317,56,0,0,0,0,65215,NA,4672,462,0,0,4726,0,"Census Tract 203.03, Clackamas County, Oregon","41005020303","PORTLAND-VANCOUVER,OR-WA",11.2046291425565,23.8032614413467,63.0720673329826,NA,NA,NA,2.28291887484713,NA,9.88869863013699,NA
41,5,"41005020304","Census Tract 203.04, Clackamas County, Oregon",3229,122,79,204,311,1186,1293,77,40,20,17,0,0,0,1352,104,1125,129,57,0,0,0,96667,NA,4616,374,91,0,4616,91,"Census Tract 203.04, Clackamas County, Oregon","41005020304","PORTLAND-VANCOUVER,OR-WA",6.22483741096315,15.949210281821,76.7729947352121,77.9220779220779,22.0779220779221,0,9.40654016955995,0,8.10225303292894,0
41,5,"41005021000","Census Tract 210, Clackamas County, Oregon",3088,368,538,546,581,386,480,84,0,0,61,0,0,23,1164,101,1144,125,41,0,7,0,56875,NA,4065,656,96,54,4091,96,"Census Tract 210, Clackamas County, Oregon","41005021000","PORTLAND-VANCOUVER,OR-WA",29.339378238342,36.4961139896373,28.0440414507772,0,72.6190476190476,27.3809523809524,9.79202772963605,0,16.1377613776138,56.25
41,5,"41005020401","Census Tract 204.01, Clackamas County, Oregon",3425,242,160,355,686,1015,886,0,0,0,0,0,0,0,1300,154,1064,83,0,0,0,0,71840,NA,4816,181,0,0,4873,0,"Census Tract 204.01, Clackamas County, Oregon","41005020401","PORTLAND-VANCOUVER,OR-WA",11.7372262773723,30.3941605839416,55.5036496350365,NA,NA,NA,10.0253807106599,NA,3.75830564784053,NA
41,5,"41005020600","Census Tract 206, Clackamas County, Oregon",5171,388,465,753,782,1337,1319,75,2,0,0,0,0,0,2115,108,1749,99,2,0,73,0,96250,NA,7589,408,120,2,7589,120,"Census Tract 206, Clackamas County, Oregon","41005020600","PORTLAND-VANCOUVER,OR-WA",16.4958421968671,29.6847805066718,51.3633726551924,2.66666666666667,0,0,5.35714285714286,0,5.37620239820793,1.66666666666667
41,5,"41005022108","Census Tract 221.08, Clackamas County, Oregon",1798,369,285,359,315,87,109,114,31,0,22,61,0,0,662,63,601,90,53,0,0,0,35024,NA,2621,503,114,0,2627,114,"Census Tract 221.08, Clackamas County, Oregon","41005022108","PORTLAND-VANCOUVER,OR-WA",36.3737486095662,37.4860956618465,10.9010011123471,27.1929824561404,72.8070175438597,0,12.1140142517815,0,19.1911484166349,0
41,5,"41005022400","Census Tract 224, Clackamas County, Oregon",2657,390,181,561,644,277,463,30,0,0,30,0,0,0,1084,49,779,24,30,0,0,0,63750,NA,3627,292,56,7,3695,56,"Census Tract 224, Clackamas County, Oregon","41005022400","PORTLAND-VANCOUVER,OR-WA",21.4904027098231,45.3519006398193,27.8509597290177,0,100,0,3.91841116478798,0,8.05073063137579,12.5
41,5,"41005020100","Census Tract 201, Clackamas County, Oregon",2607,73,57,236,399,927,901,8,0,0,2,0,6,0,898,9,880,40,16,0,0,0,100804,NA,3562,238,22,0,3574,22,"Census Tract 201, Clackamas County, Oregon","41005020100","PORTLAND-VANCOUVER,OR-WA",4.98657460682777,24.3574990410433,70.1189106252397,0,25,75,2.75590551181102,0,6.68163952835486,0
