"st","cty","GEOID","NAME","whtEdU","whtEdhsMal","whtEdhsFem","whtEdSmclMal","whtEdSmclFem","whtEdBachMal","whtEdBachFem","blkEdU","blkEdhsMal","blkEdhsFem","blkEdSmclMal","blkEdSmclFem","blkEdBachMal","blkEdBachFem","whtLabForceMal","whtUnempMal","whtLabForceFem","whtUnempFem","blkLabForceMal","blkUnempMal","blkLabForceFem","blkUnempFem","whtInc","blkInc","whtPovU","whtBlPov","blkPovU","blkBlPov","racWht","racBlk","NAME1","GEOID1","city","whtHS","whtSmcl","whtBach","blkHS","blkSmcl","blkBach","whtUnemp","blkUnemp","whtPctBlPov","blkPctBlPov"
37,101,"37101040500","Census Tract 405, Johnston County, North Carolina",4015,813,724,493,853,241,231,411,136,48,24,79,6,8,1443,144,1170,157,45,0,94,37,44486,13750,5827,786,598,353,5827,598,"Census Tract 405, Johnston County, North Carolina","37101040500","RALEIGH-DURHAM-CHAPEL HILL, NC",38.2814445828144,33.5242839352428,11.7559153175592,44.7688564476886,25.0608272506083,3.40632603406326,11.5193264446996,26.6187050359712,13.4889308391968,59.0301003344482
37,101,"37101041502","Census Tract 415.02, Johnston County, North Carolina",4394,771,530,734,846,480,661,497,55,40,96,169,0,83,1909,39,1614,67,175,25,263,0,63775,51583,6786,516,661,0,6789,663,"Census Tract 415.02, Johnston County, North Carolina","37101041502","RALEIGH-DURHAM-CHAPEL HILL, NC",29.60855712335,35.9581247155212,25.967228038234,19.1146881287726,53.3199195171026,16.7002012072435,3.00879931876242,5.70776255707763,7.60389036251105,0
37,101,"37101041201","Census Tract 412.01, Johnston County, North Carolina",2069,397,257,176,317,212,273,317,47,24,30,101,0,20,760,0,497,36,112,17,83,0,46786,46328,3047,646,590,263,3085,612,"Census Tract 412.01, Johnston County, North Carolina","37101041201","RALEIGH-DURHAM-CHAPEL HILL, NC",31.6094731754471,23.8279362010633,23.4412759787337,22.397476340694,41.3249211356467,6.30914826498423,2.86396181384248,8.71794871794872,21.2011814899902,44.5762711864407
37,101,"37101040902","Census Tract 409.02, Johnston County, North Carolina",3601,644,697,563,635,211,372,887,28,121,173,137,62,41,1520,9,1662,12,479,132,318,18,56040,48789,5071,423,1429,63,5072,1432,"Census Tract 409.02, Johnston County, North Carolina","37101040902","RALEIGH-DURHAM-CHAPEL HILL, NC",37.239655651208,33.268536517634,16.1899472368786,16.7981961668546,34.9492671927847,11.6121758737317,0.659962287869265,18.8205771643664,8.34154999014001,4.40867739678097
37,101,"37101040400","Census Tract 404, Johnston County, North Carolina",2492,374,522,384,430,159,237,287,86,20,64,60,5,33,864,74,915,35,178,0,120,0,45792,35673,3721,559,491,147,3769,493,"Census Tract 404, Johnston County, North Carolina","37101040400","RALEIGH-DURHAM-CHAPEL HILL, NC",35.9550561797753,32.6645264847512,15.8908507223114,36.9337979094077,43.205574912892,13.2404181184669,6.12703766160764,0,15.0228433216877,29.938900203666
37,101,"37101041300","Census Tract 413, Johnston County, North Carolina",3755,483,737,532,522,282,417,384,13,30,68,22,0,0,1501,274,1234,126,97,0,22,0,39662,20259,5271,729,369,212,5310,384,"Census Tract 413, Johnston County, North Carolina","37101041300","RALEIGH-DURHAM-CHAPEL HILL, NC",32.4900133155792,28.069241011984,18.6151797603196,11.1979166666667,23.4375,0,14.6252285191956,0,13.8303927148549,57.4525745257453
37,101,"37101041103","Census Tract 411.03, Johnston County, North Carolina",7176,1265,1257,1526,1249,762,1039,1330,172,152,247,460,50,178,3150,315,2729,84,672,0,560,0,72196,95538,11153,1014,1866,138,11153,1866,"Census Tract 411.03, Johnston County, North Carolina","37101041103","RALEIGH-DURHAM-CHAPEL HILL, NC",35.1449275362319,38.6705685618729,25.0975473801561,24.3609022556391,53.1578947368421,17.1428571428571,6.78686851505358,0,9.09172419976688,7.39549839228296
37,101,"37101040600","Census Tract 406, Johnston County, North Carolina",1415,223,337,185,207,43,45,627,182,97,38,94,6,64,462,8,495,171,209,6,188,46,37361,26979,2254,768,1096,340,2294,1096,"Census Tract 406, Johnston County, North Carolina","37101040600","RALEIGH-DURHAM-CHAPEL HILL, NC",39.5759717314488,27.7031802120141,6.21908127208481,44.4976076555024,21.0526315789474,11.1642743221691,18.7042842215256,13.0982367758186,34.072759538598,31.021897810219
37,101,"37101041101","Census Tract 411.01, Johnston County, North Carolina",4259,520,692,786,1225,355,445,703,102,50,113,78,83,149,1527,55,1625,138,371,12,258,0,59668,NA,6249,572,1421,311,6253,1422,"Census Tract 411.01, Johnston County, North Carolina","37101041101","RALEIGH-DURHAM-CHAPEL HILL, NC",28.4573843625264,47.2176567269312,18.7837520544729,21.6216216216216,27.1692745376956,33.0014224751067,6.12309644670051,1.90779014308426,9.15346455432869,21.8859957776214
37,101,"37101041400","Census Tract 414, Johnston County, North Carolina",3997,607,563,488,643,390,475,612,0,9,167,196,0,40,1240,133,1175,19,75,0,138,12,47708,35114,5461,897,692,112,5545,709,"Census Tract 414, Johnston County, North Carolina","37101041400","RALEIGH-DURHAM-CHAPEL HILL, NC",29.2719539654741,28.296222166625,21.6412309231924,1.47058823529412,59.3137254901961,6.5359477124183,6.29399585921325,5.63380281690141,16.4255630836843,16.1849710982659
37,101,"37101041202","Census Tract 412.02, Johnston County, North Carolina",3063,520,409,359,435,84,247,266,75,7,0,84,0,0,1342,104,818,63,83,8,138,9,41343,29141,4824,1105,498,128,4854,498,"Census Tract 412.02, Johnston County, North Carolina","37101041202","RALEIGH-DURHAM-CHAPEL HILL, NC",30.3297420829252,25.9222984002612,10.8063989552726,30.8270676691729,31.5789473684211,0,7.73148148148148,7.69230769230769,22.9063018242123,25.7028112449799
37,101,"37101040302","Census Tract 403.02, Johnston County, North Carolina",1832,342,306,233,339,138,132,1200,76,210,165,178,107,209,594,24,596,34,309,17,581,56,35040,36736,3146,1078,1896,262,3191,1896,"Census Tract 403.02, Johnston County, North Carolina","37101040302","RALEIGH-DURHAM-CHAPEL HILL, NC",35.3711790393013,31.2227074235808,14.7379912663755,23.8333333333333,28.5833333333333,26.3333333333333,4.87394957983193,8.20224719101124,34.2657342657343,13.8185654008439
37,101,"37101041002","Census Tract 410.02, Johnston County, North Carolina",4389,620,584,838,870,476,706,1211,30,251,246,195,159,172,1729,158,1718,100,457,0,626,0,62439,54876,6310,290,2075,107,6318,2076,"Census Tract 410.02, Johnston County, North Carolina","37101041002","RALEIGH-DURHAM-CHAPEL HILL, NC",27.4322169059011,38.9154704944179,26.930963773069,23.2039636663914,36.4161849710983,27.3327828241123,7.48476936466493,0,4.5958795562599,5.1566265060241
