"st","cty","GEOID","NAME","whtEdU","whtEdhsMal","whtEdhsFem","whtEdSmclMal","whtEdSmclFem","whtEdBachMal","whtEdBachFem","blkEdU","blkEdhsMal","blkEdhsFem","blkEdSmclMal","blkEdSmclFem","blkEdBachMal","blkEdBachFem","whtLabForceMal","whtUnempMal","whtLabForceFem","whtUnempFem","blkLabForceMal","blkUnempMal","blkLabForceFem","blkUnempFem","whtInc","blkInc","whtPovU","whtBlPov","blkPovU","blkBlPov","racWht","racBlk","NAME1","GEOID1","city","whtHS","whtSmcl","whtBach","blkHS","blkSmcl","blkBach","whtUnemp","blkUnemp","whtPctBlPov","blkPctBlPov"
6,17,"06017031302","Census Tract 313.02, El Dorado County, California",3354,382,643,607,763,287,327,0,0,0,0,0,0,0,949,167,1083,38,0,0,0,0,39363,NA,4768,710,0,0,4768,0,"Census Tract 313.02, El Dorado County, California","06017031302","SACRAMENTO, CA",30.5605247465713,40.8467501490757,18.3064997018485,NA,NA,NA,10.0885826771654,NA,14.8909395973154,NA
6,17,"06017030505","Census Tract 305.05, El Dorado County, California",1663,108,146,425,360,297,260,0,0,0,0,0,0,0,701,29,644,118,0,0,33,18,64950,NA,2294,91,33,33,2308,33,"Census Tract 305.05, El Dorado County, California","06017030505","SACRAMENTO, CA",15.2736019242333,47.2038484666266,33.4936861094408,NA,NA,NA,10.9293680297398,54.5454545454545,3.96687009590235,100
6,17,"06017031404","Census Tract 314.04, El Dorado County, California",1646,236,146,328,404,178,205,3,0,0,3,0,0,0,514,80,454,70,0,0,0,0,70875,NA,2151,262,7,0,2153,10,"Census Tract 314.04, El Dorado County, California","06017031404","SACRAMENTO, CA",23.2077764277035,44.4714459295261,23.2685297691373,0,100,0,15.495867768595,NA,12.1803812180381,0
6,17,"06017031900","Census Tract 319, El Dorado County, California",77,10,12,15,13,10,14,0,0,0,0,0,0,0,21,8,14,5,0,0,0,0,72750,NA,97,29,0,0,97,0,"Census Tract 319, El Dorado County, California","06017031900","SACRAMENTO, CA",28.5714285714286,36.3636363636364,31.1688311688312,NA,NA,NA,37.1428571428571,NA,29.8969072164948,NA
6,17,"06017031503","Census Tract 315.03, El Dorado County, California",1916,333,174,429,441,233,252,0,0,0,0,0,0,0,674,107,578,27,0,0,0,0,69688,NA,2452,237,0,0,2466,0,"Census Tract 315.03, El Dorado County, California","06017031503","SACRAMENTO, CA",26.4613778705637,45.4070981210856,25.3131524008351,NA,NA,NA,10.702875399361,NA,9.66557911908646,NA
6,17,"06017030200","Census Tract 302, El Dorado County, California",2779,346,324,547,356,318,309,48,0,0,20,28,0,0,1087,90,879,105,0,0,0,0,56750,NA,3589,422,41,34,3760,57,"Census Tract 302, El Dorado County, California","06017030200","SACRAMENTO, CA",24.1093918675783,32.4937027707809,22.5620726880173,0,100,0,9.91861648016277,NA,11.7581499024798,82.9268292682927
6,17,"06017031600","Census Tract 316, El Dorado County, California",1219,128,51,372,222,139,106,50,0,0,0,50,0,0,680,76,396,22,0,0,51,0,44087,NA,1873,464,122,72,1876,125,"Census Tract 316, El Dorado County, California","06017031600","SACRAMENTO, CA",14.6841673502871,48.7284659557014,20.0984413453651,0,100,0,9.10780669144981,0,24.7730912973839,59.0163934426229
6,17,"06017030804","Census Tract 308.04, El Dorado County, California",4227,459,381,626,962,829,765,56,0,0,30,0,10,16,1297,126,1188,62,47,0,0,0,95234,NA,5880,502,73,17,5910,73,"Census Tract 308.04, El Dorado County, California","06017030804","SACRAMENTO, CA",19.8722498225692,37.5680151407618,37.7099597823515,0,53.5714285714286,46.4285714285714,7.56539235412475,0,8.53741496598639,23.2876712328767
6,17,"06017031406","Census Tract 314.06, El Dorado County, California",3906,589,505,586,804,606,575,1,0,0,0,0,0,0,1137,157,1024,14,0,0,0,0,76711,NA,5091,538,1,1,5105,1,"Census Tract 314.06, El Dorado County, California","06017031406","SACRAMENTO, CA",28.0081925243216,35.5862775217614,30.2355350742448,0,0,0,7.91300323924109,NA,10.5676684344922,100
6,17,"06017030302","Census Tract 303.02, El Dorado County, California",1746,157,210,472,397,250,187,19,0,9,0,0,0,10,672,63,614,104,21,21,0,0,39211,NA,2256,338,40,0,2256,40,"Census Tract 303.02, El Dorado County, California","06017030302","SACRAMENTO, CA",21.0194730813288,49.7709049255441,25.028636884307,47.3684210526316,0,52.6315789473684,12.9860031104199,100,14.9822695035461,0
