"st","cty","GEOID","NAME","whtEdU","whtEdhsMal","whtEdhsFem","whtEdSmclMal","whtEdSmclFem","whtEdBachMal","whtEdBachFem","blkEdU","blkEdhsMal","blkEdhsFem","blkEdSmclMal","blkEdSmclFem","blkEdBachMal","blkEdBachFem","whtLabForceMal","whtUnempMal","whtLabForceFem","whtUnempFem","blkLabForceMal","blkUnempMal","blkLabForceFem","blkUnempFem","whtInc","blkInc","whtPovU","whtBlPov","blkPovU","blkBlPov","racWht","racBlk","NAME1","GEOID1","city","whtHS","whtSmcl","whtBach","blkHS","blkSmcl","blkBach","whtUnemp","blkUnemp","whtPctBlPov","blkPctBlPov"
6,73,"06073008360","Census Tract 83.60, San Diego County, California",1553,138,168,243,316,408,225,375,99,73,41,102,12,14,653,0,518,21,190,0,187,0,66250,114952,2074,285,519,0,2076,519,"Census Tract 83.60, San Diego County, California","06073008360","SAN DIEGO, CA",19.703799098519,35.9948486799742,40.7598197037991,45.8666666666667,38.1333333333333,6.93333333333333,1.7933390264731,0,13.74156219865,0
6,73,"06073016901","Census Tract 169.01, San Diego County, California",3850,534,449,682,792,501,664,147,0,0,0,75,0,0,1237,22,1183,29,32,32,146,0,82154,56156,5284,254,463,0,5305,463,"Census Tract 169.01, San Diego County, California","06073016901","SAN DIEGO, CA",25.5324675324675,38.2857142857143,30.2597402597403,0,51.0204081632653,0,2.10743801652893,17.9775280898876,4.80696442089326,0
6,73,"06073019602","Census Tract 196.02, San Diego County, California",2969,224,331,514,511,532,373,200,62,42,14,6,25,15,1038,13,635,26,72,8,76,0,67788,39464,4107,1008,342,43,4107,342,"Census Tract 196.02, San Diego County, California","06073019602","SAN DIEGO, CA",18.6931626810374,34.523408555069,30.481643651061,52,10,20,2.33114166168559,5.40540540540541,24.5434623813002,12.5730994152047
6,73,"06073013000","Census Tract 130, San Diego County, California",3249,489,424,582,531,157,294,146,45,41,12,21,5,0,1131,236,1032,107,32,0,117,0,52332,46098,4683,478,286,0,4958,388,"Census Tract 130, San Diego County, California","06073013000","SAN DIEGO, CA",28.1009541397353,34.2566943674977,13.8811942136042,58.9041095890411,22.6027397260274,3.42465753424658,15.8576051779935,0,10.2071321802264,0
6,73,"06073008362","Census Tract 83.62, San Diego County, California",1816,71,46,166,242,675,593,71,0,0,26,0,34,11,775,22,664,23,60,0,34,0,74121,NA,2497,393,141,33,2497,141,"Census Tract 83.62, San Diego County, California","06073008362","SAN DIEGO, CA",6.44273127753304,22.4669603524229,69.8237885462555,0,36.6197183098592,63.3802816901408,3.12717164697707,0,15.7388866639968,23.4042553191489
6,73,"06073017054","Census Tract 170.54, San Diego County, California",3485,246,301,424,609,799,912,114,0,9,18,9,9,15,1008,54,1024,9,40,20,38,0,110946,145278,4430,344,179,54,4690,181,"Census Tract 170.54, San Diego County, California","06073017054","SAN DIEGO, CA",15.6958393113343,29.6413199426112,49.0961262553802,7.89473684210526,23.6842105263158,21.0526315789474,3.1003937007874,25.6410256410256,7.76523702031603,30.1675977653631
6,73,"06073013204","Census Tract 132.04, San Diego County, California",1942,228,185,147,215,133,95,24,0,0,10,11,0,0,673,118,879,182,10,0,11,0,31750,37813,3175,714,42,0,3197,42,"Census Tract 132.04, San Diego County, California","06073013204","SAN DIEGO, CA",21.2667353244078,18.6405767250257,11.740473738414,0,87.5,0,19.3298969072165,0,22.488188976378,0
6,73,"06073019601","Census Tract 196.01, San Diego County, California",3757,617,603,661,780,279,507,82,19,0,0,18,10,17,1353,32,1502,160,29,0,18,0,60933,NA,5831,947,116,35,5837,117,"Census Tract 196.01, San Diego County, California","06073019601","SAN DIEGO, CA",32.4727175938249,38.3550705350013,20.9209475645462,23.1707317073171,21.9512195121951,32.9268292682927,6.72504378283713,0,16.2407820270966,30.1724137931034
6,73,"06073013205","Census Tract 132.05, San Diego County, California",1092,103,197,118,138,52,43,12,0,10,1,0,0,1,442,54,403,0,0,0,0,0,30491,NA,2016,543,31,19,2016,31,"Census Tract 132.05, San Diego County, California","06073013205","SAN DIEGO, CA",27.4725274725275,23.4432234432234,8.6996336996337,83.3333333333333,8.33333333333333,8.33333333333333,6.3905325443787,NA,26.9345238095238,61.2903225806452
6,73,"06073016902","Census Tract 169.02, San Diego County, California",1401,233,261,219,286,160,177,11,0,0,0,4,0,0,512,30,460,25,0,0,0,0,81607,NA,1838,206,34,0,1840,34,"Census Tract 169.02, San Diego County, California","06073016902","SAN DIEGO, CA",35.260528194147,36.04568165596,24.0542469664525,0,36.3636363636364,0,5.65843621399177,NA,11.2078346028292,0
