"st","cty","GEOID","NAME","whtEdU","whtEdhsMal","whtEdhsFem","whtEdSmclMal","whtEdSmclFem","whtEdBachMal","whtEdBachFem","blkEdU","blkEdhsMal","blkEdhsFem","blkEdSmclMal","blkEdSmclFem","blkEdBachMal","blkEdBachFem","whtLabForceMal","whtUnempMal","whtLabForceFem","whtUnempFem","blkLabForceMal","blkUnempMal","blkLabForceFem","blkUnempFem","whtInc","blkInc","whtPovU","whtBlPov","blkPovU","blkBlPov","racWht","racBlk","NAME1","GEOID1","city","whtHS","whtSmcl","whtBach","blkHS","blkSmcl","blkBach","whtUnemp","blkUnemp","whtPctBlPov","blkPctBlPov"
6,85,"06085512005","Census Tract 5120.05, Santa Clara County, California",3359,421,244,629,500,626,812,67,0,0,13,25,28,1,1426,35,1000,94,39,2,43,0,112294,NA,4679,158,112,0,4707,112,"Census Tract 5120.05, Santa Clara County, California","06085512005","SAN JOSE, CA",19.7975587972611,33.6111938076809,42.8103602262578,0,56.7164179104478,43.2835820895522,5.31739488870569,2.4390243902439,3.37678991237444,0
6,85,"06085512603","Census Tract 5126.03, Santa Clara County, California",1780,114,162,190,257,80,37,47,0,0,15,14,0,18,765,50,640,107,37,0,32,0,42404,NA,3037,935,69,0,3147,69,"Census Tract 5126.03, Santa Clara County, California","06085512603","SAN JOSE, CA",15.5056179775281,25.1123595505618,6.57303370786517,0,61.7021276595745,38.2978723404255,11.1743772241993,0,30.7869608165953,0
6,85,"06085512017","Census Tract 5120.17, Santa Clara County, California",2396,277,428,421,182,239,231,277,67,34,68,0,38,31,1253,145,853,19,68,0,63,0,80357,NA,3770,672,398,189,3770,398,"Census Tract 5120.17, Santa Clara County, California","06085512017","SAN JOSE, CA",29.424040066778,25.1669449081803,19.6160267111853,36.4620938628159,24.5487364620939,24.9097472924188,7.78727445394112,0,17.8249336870027,47.4874371859297
6,85,"06085503331","Census Tract 5033.31, Santa Clara County, California",1626,104,133,304,366,343,279,121,0,0,20,20,66,15,433,19,227,15,71,17,26,0,72813,NA,1804,74,184,10,1804,184,"Census Tract 5033.31, Santa Clara County, California","06085503331","SAN JOSE, CA",14.5756457564576,41.2054120541205,38.2533825338253,0,33.0578512396694,66.9421487603306,5.15151515151515,17.5257731958763,4.1019955654102,5.43478260869565
6,85,"06085512001","Census Tract 5120.01, Santa Clara County, California",1769,91,107,319,215,595,358,75,0,0,21,40,13,0,960,44,462,45,24,0,48,19,146550,87750,2503,35,128,19,2522,130,"Census Tract 5120.01, Santa Clara County, California","06085512001","SAN JOSE, CA",11.1927642736009,30.1865460712267,53.872244205766,0,81.3333333333333,17.3333333333333,6.25879043600563,26.3888888888889,1.3983220135837,14.84375
6,85,"06085513500","Census Tract 5135, Santa Clara County, California",515,62,51,125,85,86,75,14,0,14,0,0,0,0,157,0,94,7,0,0,14,0,92841,NA,612,30,14,0,630,27,"Census Tract 5135, Santa Clara County, California","06085513500","SAN JOSE, CA",21.9417475728155,40.7766990291262,31.2621359223301,100,0,0,2.78884462151394,0,4.90196078431373,0
6,85,"06085513000","Census Tract 5130, Santa Clara County, California",1591,5,0,34,12,976,545,94,0,0,0,0,18,76,1131,110,686,12,102,34,162,0,36250,NA,2089,528,111,0,4069,393,"Census Tract 5130, Santa Clara County, California","06085513000","SAN JOSE, CA",0.314267756128221,2.89126335637964,95.6002514142049,0,0,100,6.71436433681893,12.8787878787879,25.2752513164193,0
6,85,"06085506203","Census Tract 5062.03, Santa Clara County, California",766,43,84,217,105,195,50,217,0,39,52,77,0,49,188,0,216,0,52,0,153,13,48640,51538,1013,83,234,39,1013,234,"Census Tract 5062.03, Santa Clara County, California","06085506203","SAN JOSE, CA",16.579634464752,42.0365535248042,31.9843342036554,17.9723502304147,59.4470046082949,22.5806451612903,0,6.34146341463415,8.19348469891412,16.6666666666667
6,85,"06085508202","Census Tract 5082.02, Santa Clara County, California",2676,148,109,403,362,961,625,128,26,0,7,58,16,20,1169,45,714,38,49,0,79,0,123531,NA,3527,77,204,8,3535,205,"Census Tract 5082.02, Santa Clara County, California","06085508202","SAN JOSE, CA",9.60388639760837,28.5874439461883,59.2675635276532,20.3125,50.78125,28.125,4.40785979819437,0,2.18315849163595,3.92156862745098
6,85,"06085509801","Census Tract 5098.01, Santa Clara County, California",2680,70,29,201,269,1016,894,48,0,0,48,0,0,0,1183,59,803,59,48,0,0,0,135811,NA,3626,54,48,0,3626,48,"Census Tract 5098.01, Santa Clara County, California","06085509801","SAN JOSE, CA",3.69402985074627,17.5373134328358,71.2686567164179,0,100,0,5.94159113796576,0,1.4892443463872,0
6,85,"06085503332","Census Tract 5033.32, Santa Clara County, California",3343,246,388,286,530,911,912,57,25,0,0,22,10,0,619,54,352,18,10,0,0,0,70980,NA,3613,112,57,0,3613,57,"Census Tract 5033.32, Santa Clara County, California","06085503332","SAN JOSE, CA",18.9650014956626,24.4092132814837,54.5318576129225,43.859649122807,38.5964912280702,17.5438596491228,7.41503604531411,0,3.09991696650983,0
6,85,"06085500400","Census Tract 5004, Santa Clara County, California",1168,74,74,167,113,306,301,54,7,6,0,14,0,27,548,30,397,8,7,0,27,0,71972,77976,1563,60,60,14,1563,60,"Census Tract 5004, Santa Clara County, California","06085500400","SAN JOSE, CA",12.6712328767123,23.972602739726,51.9691780821918,24.0740740740741,25.9259259259259,50,4.02116402116402,0,3.83877159309021,23.3333333333333
6,85,"06085509700","Census Tract 5097, Santa Clara County, California",1586,35,115,176,184,611,432,16,0,0,0,0,16,0,741,41,588,83,7,0,10,0,120380,NA,2095,166,26,0,2095,26,"Census Tract 5097, Santa Clara County, California","06085509700","SAN JOSE, CA",9.4577553593947,22.6986128625473,65.7629255989912,0,0,100,9.33032355154251,0,7.9236276849642,0
6,85,"06085503327","Census Tract 5033.27, Santa Clara County, California",1349,129,166,196,273,144,117,156,0,0,94,32,12,0,410,89,359,136,108,27,48,0,61927,100602,1716,188,183,7,1719,184,"Census Tract 5033.27, Santa Clara County, California","06085503327","SAN JOSE, CA",21.8680504077094,34.7664936990363,19.3476649369904,0,80.7692307692308,7.69230769230769,29.25877763329,17.3076923076923,10.955710955711,3.82513661202186
