"st","cty","GEOID","NAME","whtEdU","whtEdhsMal","whtEdhsFem","whtEdSmclMal","whtEdSmclFem","whtEdBachMal","whtEdBachFem","blkEdU","blkEdhsMal","blkEdhsFem","blkEdSmclMal","blkEdSmclFem","blkEdBachMal","blkEdBachFem","whtLabForceMal","whtUnempMal","whtLabForceFem","whtUnempFem","blkLabForceMal","blkUnempMal","blkLabForceFem","blkUnempFem","whtInc","blkInc","whtPovU","whtBlPov","blkPovU","blkBlPov","racWht","racBlk","NAME1","GEOID1","city","whtHS","whtSmcl","whtBach","blkHS","blkSmcl","blkBach","whtUnemp","blkUnemp","whtPctBlPov","blkPctBlPov"
17,119,"17119403531","Census Tract 4035.31, Madison County, Illinois",5219,570,935,1136,951,729,749,128,0,48,48,0,0,10,2030,77,2012,173,48,0,39,0,66446,NA,7293,335,197,29,7311,197,"Census Tract 4035.31, Madison County, Illinois","17119403531","ST. LOUIS, MO-IL",28.8369419429009,39.9885035447404,28.3196014562177,37.5,37.5,7.8125,6.1850569025235,0,4.59344576991636,14.7208121827411
17,119,"17119401100","Census Tract 4011, Madison County, Illinois",4369,810,846,652,999,291,236,14,0,0,1,13,0,0,1475,35,1498,133,0,0,0,0,37143,NA,5934,1109,1,1,6192,14,"Census Tract 4011, Madison County, Illinois","17119401100","ST. LOUIS, MO-IL",37.9034103913939,37.7889677271687,12.0622568093385,0,100,0,5.65085771947528,NA,18.6889113582744,100
17,119,"17119403402","Census Tract 4034.02, Madison County, Illinois",3507,434,565,694,424,637,581,555,105,208,30,154,0,58,1357,126,1156,114,203,33,365,143,50149,26964,4547,396,831,221,4559,831,"Census Tract 4034.02, Madison County, Illinois","17119403402","ST. LOUIS, MO-IL",28.4858853721129,31.8790989449672,34.7305389221557,56.3963963963964,33.1531531531532,10.4504504504505,9.55033824114604,30.9859154929577,8.7090389267649,26.5944645006017
17,119,"17119401300","Census Tract 4013, Madison County, Illinois",3363,643,502,562,607,212,321,12,0,12,0,0,0,0,1431,162,910,61,0,0,0,0,38376,NA,4826,941,12,12,4826,12,"Census Tract 4013, Madison County, Illinois","17119401300","ST. LOUIS, MO-IL",34.0469818614332,34.7606303895332,15.8489443948855,100,0,0,9.52584365655703,NA,19.4985495234148,100
17,119,"17119400904","Census Tract 4009.04, Madison County, Illinois",2675,460,634,534,417,142,219,6,6,0,0,0,0,0,950,153,882,107,6,0,0,0,50426,NA,3742,394,33,0,3756,33,"Census Tract 4009.04, Madison County, Illinois","17119400904","ST. LOUIS, MO-IL",40.8971962616822,35.5514018691589,13.4953271028037,100,0,0,14.1921397379913,0,10.529128808124,0
17,119,"17119400951","Census Tract 4009.51, Madison County, Illinois",3857,509,1014,575,560,441,478,49,6,5,4,15,14,0,1252,33,1017,9,14,0,29,0,59706,NA,5043,278,103,0,5123,114,"Census Tract 4009.51, Madison County, Illinois","17119400951","ST. LOUIS, MO-IL",39.4866476536168,29.4270158154006,23.8268084003111,22.4489795918367,38.7755102040816,28.5714285714286,1.85103569854561,0,5.51259171128297,0
17,119,"17119403401","Census Tract 4034.01, Madison County, Illinois",2416,384,368,479,404,301,341,375,43,30,44,49,32,106,1017,115,912,55,162,0,171,17,51417,57644,3254,376,604,29,3296,612,"Census Tract 4034.01, Madison County, Illinois","17119403401","ST. LOUIS, MO-IL",31.1258278145695,36.5480132450331,26.5728476821192,19.4666666666667,24.8,36.8,8.81285640228097,5.10510510510511,11.5550092194222,4.80132450331126
17,119,"17119402801","Census Tract 4028.01, Madison County, Illinois",2629,437,433,472,456,332,339,66,0,0,23,9,9,25,810,31,704,51,19,0,25,0,66250,135750,3343,264,85,0,3343,85,"Census Tract 4028.01, Madison County, Illinois","17119402801","ST. LOUIS, MO-IL",33.0924305819703,35.2985926207684,25.5230125523013,0,48.4848484848485,51.5151515151515,5.41611624834874,0,7.89709841459767,0
17,119,"17119401000","Census Tract 4010, Madison County, Illinois",1779,399,310,315,382,87,121,0,0,0,0,0,0,0,645,44,592,19,0,0,0,0,42051,NA,2575,579,0,0,2586,0,"Census Tract 4010, Madison County, Illinois","17119401000","ST. LOUIS, MO-IL",39.8538504777965,39.1793142214727,11.6919617762788,NA,NA,NA,5.09296685529507,NA,22.4854368932039,NA
17,119,"17119400802","Census Tract 4008.02, Madison County, Illinois",4165,923,906,654,688,203,321,160,96,39,0,25,0,0,1175,37,1251,54,61,20,54,39,48789,NA,5974,898,205,136,6019,205,"Census Tract 4008.02, Madison County, Illinois","17119400802","ST. LOUIS, MO-IL",43.9135654261705,32.2208883553421,12.5810324129652,84.375,15.625,0,3.75103050288541,51.304347826087,15.0318044861065,66.3414634146341
17,119,"17119403534","Census Tract 4035.34, Madison County, Illinois",2906,195,441,505,405,593,615,77,0,4,16,8,21,28,1007,47,906,53,29,7,39,0,74494,NA,3770,196,115,22,3770,115,"Census Tract 4035.34, Madison County, Illinois","17119403534","ST. LOUIS, MO-IL",21.885753613214,31.3145216792842,41.5691672401927,5.19480519480519,31.1688311688312,63.6363636363636,5.22739153162572,10.2941176470588,5.19893899204244,19.1304347826087
