"st","cty","GEOID","NAME","whtEdU","whtEdhsMal","whtEdhsFem","whtEdSmclMal","whtEdSmclFem","whtEdBachMal","whtEdBachFem","blkEdU","blkEdhsMal","blkEdhsFem","blkEdSmclMal","blkEdSmclFem","blkEdBachMal","blkEdBachFem","whtLabForceMal","whtUnempMal","whtLabForceFem","whtUnempFem","blkLabForceMal","blkUnempMal","blkLabForceFem","blkUnempFem","whtInc","blkInc","whtPovU","whtBlPov","blkPovU","blkBlPov","racWht","racBlk","NAME1","GEOID1","city","whtHS","whtSmcl","whtBach","blkHS","blkSmcl","blkBach","whtUnemp","blkUnemp","whtPctBlPov","blkPctBlPov"
6,113,"06113010505","Census Tract 105.05, Yolo County, California",2224,38,79,175,219,831,829,43,0,0,0,0,26,8,986,56,762,37,26,0,8,0,88421,NA,3459,574,52,0,3468,52,"Census Tract 105.05, Yolo County, California","06113010505","YOLO, CA",5.26079136690647,17.7158273381295,74.6402877697842,0,0,79.0697674418605,5.32036613272311,0,16.5943914426135,0
6,113,"06113010606","Census Tract 106.06, Yolo County, California",3530,196,117,181,570,1121,1278,14,0,0,14,0,0,0,1265,42,1532,45,14,0,64,0,77045,NA,5536,937,78,0,5575,86,"Census Tract 106.06, Yolo County, California","06113010606","YOLO, CA",8.86685552407932,21.2747875354108,67.9603399433428,0,100,0,3.11047550947444,0,16.9255780346821,0
6,113,"06113010511","Census Tract 105.11, Yolo County, California",1374,16,18,98,96,464,637,0,0,0,0,0,0,0,546,0,632,27,0,0,13,0,95625,NA,2387,338,13,13,2387,13,"Census Tract 105.11, Yolo County, California","06113010511","YOLO, CA",2.4745269286754,14.1193595342067,80.1310043668122,NA,NA,NA,2.29202037351443,0,14.1600335148722,100
6,113,"06113010605","Census Tract 106.05, Yolo County, California",1306,0,33,127,82,487,565,20,0,0,0,7,10,3,506,60,462,0,0,0,7,0,101375,NA,2037,205,20,0,2037,20,"Census Tract 106.05, Yolo County, California","06113010605","YOLO, CA",2.52679938744257,16.0030627871363,80.5513016845329,0,35,65,6.19834710743802,0,10.0638193421699,0
6,113,"06113010513","Census Tract 105.13, Yolo County, California",1028,30,0,18,51,364,546,0,0,0,0,0,0,0,419,39,507,15,0,0,0,0,53906,NA,1672,381,15,0,1672,15,"Census Tract 105.13, Yolo County, California","06113010513","YOLO, CA",2.91828793774319,6.71206225680934,88.5214007782101,NA,NA,NA,5.83153347732181,NA,22.7870813397129,0
6,113,"06113010704","Census Tract 107.04, Yolo County, California",1015,40,34,86,58,407,363,42,0,11,6,11,0,0,427,30,347,17,7,0,18,0,70114,12188,1702,441,56,39,1761,56,"Census Tract 107.04, Yolo County, California","06113010704","YOLO, CA",7.29064039408867,14.1871921182266,75.8620689655172,26.1904761904762,40.4761904761905,0,6.07235142118863,0,25.9106933019977,69.6428571428571
6,113,"06113010607","Census Tract 106.07, Yolo County, California",2106,73,95,117,202,800,789,85,0,9,0,0,12,49,708,43,609,30,23,0,49,9,101063,70656,2988,157,117,9,2989,117,"Census Tract 106.07, Yolo County, California","06113010607","YOLO, CA",7.97720797720798,15.1471984805318,75.4510921177588,10.5882352941176,0,71.7647058823529,5.54290053151101,12.5,5.25435073627845,7.69230769230769
6,113,"06113010608","Census Tract 106.08, Yolo County, California",1393,49,52,132,136,472,422,32,3,10,0,10,0,9,789,81,684,59,13,0,39,10,66484,10521,2783,700,89,67,2792,89,"Census Tract 106.08, Yolo County, California","06113010608","YOLO, CA",7.2505384063173,19.2390524048816,64.1780330222541,40.625,31.25,28.125,9.50441276306857,19.2307692307692,25.1527128997485,75.2808988764045
6,113,"06113010703","Census Tract 107.03, Yolo County, California",1300,60,52,71,86,496,516,9,0,0,0,0,9,0,602,54,633,28,38,0,15,7,71786,NA,2429,696,38,29,2852,73,"Census Tract 107.03, Yolo County, California","06113010703","YOLO, CA",8.61538461538461,12.0769230769231,77.8461538461538,0,0,100,6.63967611336032,13.2075471698113,28.6537669822972,76.3157894736842
6,113,"06113010901","Census Tract 109.01, Yolo County, California",2695,326,418,424,523,195,268,57,10,47,0,0,0,0,1119,113,996,87,10,0,28,0,52018,NA,4240,427,48,0,4295,57,"Census Tract 109.01, Yolo County, California","06113010901","YOLO, CA",27.6066790352505,35.139146567718,17.1799628942486,100,0,0,9.45626477541371,0,10.0707547169811,0
6,113,"06113011101","Census Tract 111.01, Yolo County, California",1420,145,224,182,323,137,157,10,0,4,0,0,0,6,524,64,565,52,0,0,6,0,46853,NA,1929,181,6,0,1967,10,"Census Tract 111.01, Yolo County, California","06113011101","YOLO, CA",25.9859154929577,35.5633802816901,20.7042253521127,40,0,60,10.6519742883379,0,9.38310005184033,0
6,113,"06113010701","Census Tract 107.01, Yolo County, California",2086,77,130,213,159,952,555,0,0,0,0,0,0,0,1202,115,1082,24,4,0,0,0,45602,NA,3493,926,0,0,3606,4,"Census Tract 107.01, Yolo County, California","06113010701","YOLO, CA",9.92329817833174,17.8331735378715,72.2435282837967,NA,NA,NA,6.08581436077058,0,26.5101631835099,NA
6,113,"06113010602","Census Tract 106.02, Yolo County, California",2141,108,127,125,231,721,617,162,16,0,38,33,75,0,1376,49,1186,77,118,18,135,0,40666,23462,3469,1022,689,368,3641,833,"Census Tract 106.02, Yolo County, California","06113010602","YOLO, CA",10.9761793554414,16.6277440448389,62.4941616067258,9.87654320987654,43.8271604938272,46.2962962962963,4.91803278688525,7.11462450592885,29.4609397520899,53.410740203193
6,113,"06113011400","Census Tract 114, Yolo County, California",2267,419,356,256,372,161,195,41,0,9,0,0,11,8,756,15,826,124,23,12,8,0,50955,NA,3461,377,79,44,3461,79,"Census Tract 114, Yolo County, California","06113011400","YOLO, CA",34.1861490957212,27.7018085575651,15.70357300397,21.9512195121951,0,46.3414634146341,8.78634639696587,38.7096774193548,10.8928055475296,55.6962025316456
