"GEOID","quantScore"
"24003701101",NA
"24003701102",NA
"24003701200",NA
"24003701300",NA
"24003701400",NA
"24003702100",NA
"24003702204",NA
"24003702205",NA
"24003702206",NA
"24003702208",NA
"24003702209",NA
"24003702300",NA
"24003702402",NA
"24003702500",NA
"24003702601",NA
"24003702602",NA
"24003702701",NA
"24003702702",NA
"24003706101",NA
"24003706301",NA
"24003706302",NA
"24003706401",NA
"24003706402",NA
"24003706500",NA
"24003706600",NA
"24003706700",NA
"24003707001",NA
"24003707002",NA
"24003708001",NA
"24003708004",NA
"24003730100",NA
"24003730203",NA
"24003730204",NA
"24003730300",NA
"24003730401",NA
"24003730402",NA
"24003730502",NA
"24003730504",NA
"24003730505",NA
"24003730506",NA
"24003730601",NA
"24003730603",NA
"24003730604",NA
"24003730700",NA
"24003730800",NA
"24003730901",NA
"24003730902",NA
"24003731002",NA
"24003731003",NA
"24003731004",NA
"24003731102",NA
"24003731103",NA
"24003731104",NA
"24003731105",NA
"24003731201",NA
"24003731202",NA
"24003731203",NA
"24003731204",NA
"24003731303",NA
"24003731306",NA
"24003731307",NA
"24003731308",NA
"24003731309",NA
"24003731310",NA
"24003731311",NA
"24003740102",NA
"24003740103",NA
"24003740104",NA
"24003740105",NA
"24003740201",NA
"24003740203",NA
"24003740303",NA
"24003740304",NA
"24003740305",NA
"24003740400",NA
"24003740500",NA
"24003740601",NA
"24003740602",NA
"24003740603",NA
"24003740701",NA
"24003740702",NA
"24003740800",NA
"24003740900",NA
"24003741000",NA
"24003750101",NA
"24003750102",NA
"24003750201",NA
"24003750202",NA
"24003750203",NA
"24003750300",NA
"24003750400",NA
"24003750801",NA
"24003750803",NA
"24003750804",NA
"24003750900",NA
"24003751000",NA
"24003751102",NA
"24003751103",NA
"24003751200",NA
"24003751400",NA
"24003751500",NA
"24003751600",NA
"24003751700",NA
"24003980000",NA
"24005400100",NA
"24005400200",NA
"24005400400",NA
"24005400500",NA
"24005400600",3.5
"24005400701",NA
"24005400702",NA
"24005400800",NA
"24005400900",NA
"24005401000",3
"24005401101",NA
"24005401102",NA
"24005401200",NA
"24005401301",NA
"24005401302",NA
"24005401400",NA
"24005401503",NA
"24005401504",NA
"24005401505",NA
"24005401506",NA
"24005401507",NA
"24005402201",NA
"24005402202",NA
"24005402302",NA
"24005402303",NA
"24005402304",NA
"24005402305",NA
"24005402306",NA
"24005402307",NA
"24005402403",NA
"24005402404",NA
"24005402405",NA
"24005402406",NA
"24005402407",NA
"24005402503",NA
"24005402504",NA
"24005402505",NA
"24005402506",NA
"24005402509",NA
"24005402602",NA
"24005402603",NA
"24005402604",NA
"24005403100",NA
"24005403201",NA
"24005403202",NA
"24005403300",NA
"24005403401",NA
"24005403402",NA
"24005403500",NA
"24005403601",NA
"24005403602",NA
"24005403701",NA
"24005403702",NA
"24005403801",NA
"24005403802",NA
"24005403803",NA
"24005404101",NA
"24005404102",NA
"24005404201",NA
"24005404202",NA
"24005404402",NA
"24005404403",NA
"24005404404",NA
"24005404501",NA
"24005404502",NA
"24005404600",NA
"24005404800",NA
"24005404900",NA
"24005405000",NA
"24005406000",NA
"24005407001",NA
"24005407002",NA
"24005408100",NA
"24005408200",NA
"24005408302",NA
"24005408303",NA
"24005408304",NA
"24005408400",NA
"24005408502",NA
"24005408503",NA
"24005408505",NA
"24005408506",NA
"24005408507",NA
"24005408601",NA
"24005408602",NA
"24005408702",NA
"24005408703",NA
"24005408704",NA
"24005408800",NA
"24005408900",NA
"24005410100",NA
"24005410200",NA
"24005411101",NA
"24005411102",NA
"24005411201",NA
"24005411202",NA
"24005411302",NA
"24005411303",NA
"24005411306",NA
"24005411307",NA
"24005411308",NA
"24005411309",NA
"24005411404",NA
"24005411406",NA
"24005411407",NA
"24005411408",NA
"24005411409",NA
"24005411410",NA
