"GEOID","quantScore"
"1009050101",NA
"1009050102",NA
"1009050200",NA
"1009050300",NA
"1009050400",NA
"1009050500",NA
"1009050601",NA
"1009050602",NA
"1009050700",NA
"1073000100",NA
"1073000300",NA
"1073000400",NA
"1073000500",NA
"1073000700",NA
"1073000800",NA
"1073001100",NA
"1073001200",NA
"1073001400",NA
"1073001500",NA
"1073001600",NA
"1073001902",NA
"1073002000",NA
"1073002100",NA
"1073002200",2
"1073002303",NA
"1073002305",NA
"1073002306",NA
"1073002400",NA
"1073002700",NA
"1073002900",NA
"1073003001",NA
"1073003002",NA
"1073003100",NA
"1073003200",NA
"1073003300",NA
"1073003400",NA
"1073003500",NA
"1073003600",NA
"1073003700",NA
"1073003802",NA
"1073003803",NA
"1073003900",NA
"1073004000",NA
"1073004200",NA
"1073004500",NA
"1073004701",NA
"1073004702",NA
"1073004800",2.6
"1073004901",NA
"1073004902",NA
"1073005000",NA
"1073005101",1.66666666666667
"1073005103",NA
"1073005104",NA
"1073005200",NA
"1073005302",NA
"1073005500",NA
"1073005600",NA
"1073005701",NA
"1073005702",NA
"1073005800",NA
"1073005903",NA
"1073005905",NA
"1073005907",NA
"1073005908",NA
"1073005909",NA
"1073005910",NA
"1073010001",NA
"1073010002",NA
"1073010100",NA
"1073010200",NA
"1073010301",NA
"1073010302",NA
"1073010401",NA
"1073010402",NA
"1073010500",NA
"1073010602",NA
"1073010603",NA
"1073010701",NA
"1073010702",NA
"1073010703",NA
"1073010704",NA
"1073010705",NA
"1073010706",NA
"1073010801",NA
"1073010802",NA
"1073010803",NA
"1073010804",NA
"1073010805",NA
"1073010900",NA
"1073011001",NA
"1073011002",NA
"1073011104",NA
"1073011107",NA
"1073011108",NA
"1073011109",NA
"1073011110",NA
"1073011111",NA
"1073011205",NA
"1073011206",NA
"1073011207",NA
"1073011208",NA
"1073011209",NA
"1073011210",NA
"1073011301",NA
"1073011302",NA
"1073011400",NA
"1073011500",NA
"1073011600",NA
"1073011703",NA
"1073011704",NA
"1073011705",NA
"1073011706",NA
"1073011802",NA
"1073011803",NA
"1073011804",NA
"1073011901",NA
"1073011904",NA
"1073012001",NA
"1073012002",NA
"1073012103",NA
"1073012104",NA
"1073012200",NA
"1073012302",NA
"1073012304",NA
"1073012305",NA
"1073012401",NA
"1073012402",NA
"1073012403",NA
"1073012500",NA
"1073012602",NA
"1073012701",NA
"1073012703",NA
"1073012704",NA
"1073012802",NA
"1073012803",NA
"1073012905",NA
"1073012906",NA
"1073012907",NA
"1073012908",NA
"1073012910",NA
"1073012911",NA
"1073012912",NA
"1073012913",NA
"1073012914",NA
"1073012915",NA
"1073013002",NA
"1073013100",NA
"1073013200",NA
"1073013300",NA
"1073013400",NA
"1073013601",NA
"1073013801",NA
"1073013901",NA
"1073013902",NA
"1073014001",NA
"1073014002",NA
"1073014102",NA
"1073014104",NA
"1073014105",NA
"1073014203",NA
"1073014204",NA
"1073014301",NA
"1073014302",NA
"1073014404",NA
"1073014405",NA
"1073014406",NA
"1073014408",NA
"1073014409",NA
"1073014410",NA
"1073014412",NA
"1073014413",NA
"1115040103",NA
"1115040104",NA
"1115040105",NA
"1115040106",NA
"1115040201",NA
"1115040203",NA
"1115040204",NA
"1115040205",NA
"1115040300",NA
"1115040401",NA
"1115040402",NA
"1115040501",NA
"1115040502",NA
"1117030102",NA
"1117030103",NA
"1117030211",NA
"1117030212",NA
"1117030213",NA
"1117030214",NA
"1117030215",NA
"1117030216",NA
"1117030217",NA
"1117030303",NA
"1117030304",NA
"1117030305",NA
"1117030306",NA
"1117030314",NA
"1117030315",NA
"1117030316",NA
"1117030317",NA
"1117030319",NA
"1117030320",NA
"1117030330",NA
"1117030331",NA
"1117030332",NA
"1117030333",NA
"1117030334",NA
"1117030336",NA
"1117030337",NA
"1117030340",NA
"1117030341",NA
"1117030342",NA
"1117030344",NA
"1117030345",NA
"1117030405",NA
"1117030406",NA
"1117030407",NA
"1117030408",NA
"1117030501",NA
"1117030502",NA
"1117030604",NA
"1117030605",NA
"1117030607",NA
"1117030608",NA
"1117030609",NA
"1117030701",NA
"1117030703",NA
"1117030704",NA
"1117030800",NA
"1117030900",NA
"1117980000",NA
