"GEOID","quantScore"
"36029000110",NA
"36029000200",NA
"36029000500",NA
"36029000600",NA
"36029000700",NA
"36029000800",NA
"36029000900",NA
"36029001000",NA
"36029001100",NA
"36029001402",NA
"36029001500",NA
"36029001600",NA
"36029001700",NA
"36029001900",NA
"36029002300",NA
"36029002400",NA
"36029002502",NA
"36029002702",NA
"36029002800",NA
"36029002900",NA
"36029003000",NA
"36029003100",NA
"36029003301",NA
"36029003302",NA
"36029003400",2.5
"36029003500",NA
"36029003600",NA
"36029003700",NA
"36029003800",NA
"36029003901",NA
"36029004001",NA
"36029004100",NA
"36029004200",NA
"36029004300",NA
"36029004401",NA
"36029004402",NA
"36029004500",NA
"36029004601",NA
"36029004602",NA
"36029004700",NA
"36029004800",NA
"36029004900",NA
"36029005000",NA
"36029005100",NA
"36029005201",NA
"36029005202",NA
"36029005300",NA
"36029005400",NA
"36029005500",NA
"36029005600",NA
"36029005700",NA
"36029005801",NA
"36029005802",NA
"36029005900",NA
"36029006100",NA
"36029006201",NA
"36029006301",2.5
"36029006302",NA
"36029006501",3
"36029006601",3
"36029006602",NA
"36029006701",2.5
"36029006702",NA
"36029006800",NA
"36029006901",2
"36029006902",NA
"36029007000",NA
"36029007101",NA
"36029007102",NA
"36029007202",NA
"36029007302",NA
"36029007303",NA
"36029007304",NA
"36029007600",NA
"36029007700",NA
"36029007800",NA
"36029007901",NA
"36029007902",NA
"36029007903",NA
"36029007904",NA
"36029007905",NA
"36029008001",NA
"36029008002",NA
"36029008003",NA
"36029008101",NA
"36029008102",NA
"36029008201",NA
"36029008202",NA
"36029008300",NA
"36029008400",NA
"36029008500",NA
"36029008600",NA
"36029008700",NA
"36029008800",2
"36029008900",NA
"36029009004",NA
"36029009006",NA
"36029009007",NA
"36029009008",NA
"36029009009",NA
"36029009010",NA
"36029009104",NA
"36029009106",NA
"36029009107",NA
"36029009109",NA
"36029009110",NA
"36029009112",NA
"36029009113",NA
"36029009114",NA
"36029009115",NA
"36029009116",NA
"36029009200",NA
"36029009301",NA
"36029009302",NA
"36029009401",NA
"36029009402",NA
"36029009501",NA
"36029009502",NA
"36029009600",NA
"36029009701",NA
"36029009702",NA
"36029009800",NA
"36029009900",NA
"36029010001",NA
"36029010002",NA
"36029010003",NA
"36029010101",NA
"36029010102",NA
"36029010103",NA
"36029010201",NA
"36029010202",NA
"36029010300",NA
"36029010400",NA
"36029010500",NA
"36029010600",NA
"36029010700",NA
"36029010803",NA
"36029010804",NA
"36029010805",NA
"36029010807",NA
"36029010808",NA
"36029010809",NA
"36029010901",NA
"36029010902",NA
"36029011000",NA
"36029011100",NA
"36029011200",NA
"36029011300",NA
"36029011400",NA
"36029011500",NA
"36029011600",NA
"36029011700",NA
"36029011800",NA
"36029012001",NA
"36029012002",NA
"36029012003",NA
"36029012300",NA
"36029012400",NA
"36029012501",NA
"36029012502",NA
"36029012800",NA
"36029012901",NA
"36029012902",NA
"36029013001",NA
"36029013002",NA
"36029013101",NA
"36029013102",NA
"36029013201",NA
"36029013202",NA
"36029013300",NA
"36029013400",NA
"36029013501",NA
"36029013502",NA
"36029013600",NA
"36029013701",NA
"36029013702",NA
"36029013800",NA
"36029013900",NA
"36029014000",NA
"36029014101",NA
"36029014102",NA
"36029014204",NA
"36029014206",NA
"36029014207",NA
"36029014208",NA
"36029014209",NA
"36029014300",NA
"36029014400",NA
"36029014501",NA
"36029014502",NA
"36029014601",NA
"36029014603",NA
"36029014604",NA
"36029014701",NA
"36029014702",NA
"36029014801",NA
"36029014803",NA
"36029014901",NA
"36029014903",NA
"36029014904",NA
"36029015001",NA
"36029015002",NA
"36029015003",NA
"36029015101",NA
"36029015102",NA
"36029015201",NA
"36029015202",NA
"36029015301",NA
"36029015302",NA
"36029015401",NA
"36029015402",NA
"36029015501",NA
"36029015503",NA
"36029015504",NA
"36029015600",NA
"36029015700",NA
"36029015800",NA
"36029015900",NA
"36029016100",NA
"36029016200",NA
"36029016300",NA
"36029016400",NA
"36029016500",NA
"36029016600",NA
"36029016700",NA
"36029016800",NA
"36029016900",NA
"36029017000",NA
"36029017100",NA
"36029017200",NA
"36029017300",NA
"36029017400",NA
"36029017501",NA
"36029017502",NA
"36029940000",NA
"36029940100",NA
"36063020100",NA
"36063020200",NA
"36063020300",NA
"36063020400",NA
"36063020500",NA
"36063020600",NA
"36063020700",NA
"36063020900",NA
"36063021000",NA
"36063021100",NA
"36063021200",NA
"36063021300",NA
"36063021400",NA
"36063021700",NA
"36063022000",NA
"36063022100",NA
"36063022200",NA
"36063022300",NA
"36063022401",NA
"36063022500",NA
"36063022601",NA
"36063022602",NA
"36063022702",NA
"36063022711",NA
"36063022712",NA
"36063022803",NA
"36063022804",NA
"36063022901",NA
"36063022902",NA
"36063023001",NA
"36063023100",NA
"36063023200",NA
"36063023300",NA
"36063023401",NA
"36063023402",NA
"36063023404",NA
"36063023405",NA
"36063023500",NA
"36063023600",NA
"36063023700",NA
"36063023800",NA
"36063023901",NA
"36063023902",NA
"36063024001",NA
"36063024002",NA
"36063024101",NA
"36063024102",NA
"36063024201",NA
"36063024202",NA
"36063024301",NA
"36063024302",NA
"36063024303",NA
"36063024401",NA
"36063024404",NA
"36063024405",NA
"36063024406",NA
"36063024501",NA
"36063024502",NA
"36063024600",NA
"36063940001",NA
"36063940100",NA
