"GEOID","quantScore"
"37025040500",NA
"37025040600",NA
"37025040701",NA
"37025040702",NA
"37025040703",NA
"37025040800",NA
"37025040900",NA
"37025041000",NA
"37025041100",NA
"37025041200",NA
"37025041301",NA
"37025041302",NA
"37025041303",NA
"37025041501",NA
"37025041502",NA
"37025041503",NA
"37025041601",NA
"37025041602",NA
"37025041701",NA
"37025041702",NA
"37025041901",NA
"37025041902",NA
"37025042000",NA
"37025042101",NA
"37025042102",NA
"37025042200",NA
"37025042300",NA
"37025042401",NA
"37025042402",NA
"37025042501",NA
"37025042502",NA
"37025042503",NA
"37025042504",NA
"37025042601",NA
"37025042602",NA
"37025042603",NA
"37025042604",NA
"37071030101",NA
"37071030102",NA
"37071030203",NA
"37071030204",NA
"37071030205",NA
"37071030301",NA
"37071030302",NA
"37071030401",NA
"37071030402",NA
"37071030501",NA
"37071030502",NA
"37071030601",NA
"37071030602",NA
"37071030700",NA
"37071030801",NA
"37071030802",NA
"37071030901",NA
"37071030902",NA
"37071031001",NA
"37071031003",NA
"37071031004",NA
"37071031101",NA
"37071031102",NA
"37071031201",NA
"37071031202",NA
"37071031301",NA
"37071031302",NA
"37071031401",NA
"37071031402",NA
"37071031500",NA
"37071031600",NA
"37071031701",NA
"37071031703",NA
"37071031704",NA
"37071031800",NA
"37071031900",NA
"37071032000",NA
"37071032100",NA
"37071032200",NA
"37071032301",NA
"37071032302",NA
"37071032401",NA
"37071032402",NA
"37071032502",NA
"37071032505",NA
"37071032506",NA
"37071032507",NA
"37071032508",NA
"37071032600",NA
"37071032702",NA
"37071032703",NA
"37071032704",NA
"37071032800",NA
"37071032900",NA
"37071033100",NA
"37071033202",NA
"37071033203",NA
"37071033204",NA
"37071033303",NA
"37071033304",NA
"37071033305",NA
"37071033306",NA
"37071033307",NA
"37071033400",NA
"37071033500",NA
"37119000100",NA
"37119000300",NA
"37119000400",NA
"37119000500",NA
"37119000600",NA
"37119000700",NA
"37119000800",1.83333333333333
"37119000900",NA
"37119001000",NA
"37119001100",NA
"37119001200",NA
"37119001300",NA
"37119001400",NA
"37119001504",NA
"37119001505",NA
"37119001507",NA
"37119001508",NA
"37119001509",NA
"37119001510",NA
"37119001603",NA
"37119001605",NA
"37119001606",NA
"37119001607",NA
"37119001608",NA
"37119001609",NA
"37119001701",NA
"37119001702",NA
"37119001801",NA
"37119001802",NA
"37119001910",NA
"37119001911",NA
"37119001912",NA
"37119001914",NA
"37119001915",NA
"37119001916",NA
"37119001917",NA
"37119001918",NA
"37119001919",NA
"37119001920",NA
"37119001921",NA
"37119001922",NA
"37119001923",NA
"37119002002",NA
"37119002003",NA
"37119002004",NA
"37119002100",NA
"37119002200",NA
"37119002300",NA
"37119002400",NA
"37119002500",2.33333333333333
"37119002600",NA
"37119002701",NA
"37119002702",NA
"37119002800",NA
"37119002903",NA
"37119002904",NA
"37119002905",NA
"37119002906",NA
"37119003006",NA
"37119003007",NA
"37119003008",NA
"37119003011",NA
"37119003012",NA
"37119003013",NA
"37119003015",NA
"37119003016",NA
"37119003017",NA
"37119003018",NA
"37119003102",NA
"37119003103",NA
"37119003105",NA
"37119003106",NA
"37119003108",NA
"37119003109",NA
"37119003201",NA
"37119003203",NA
"37119003204",NA
"37119003300",NA
