"GEOID","quantScore"
"39041010100",NA
"39041010200",NA
"39041010420",NA
"39041010421",NA
"39041010422",NA
"39041010520",NA
"39041010530",NA
"39041011101",NA
"39041011102",NA
"39041011200",NA
"39041011411",NA
"39041011412",NA
"39041011413",NA
"39041011421",NA
"39041011423",NA
"39041011430",NA
"39041011520",NA
"39041011530",NA
"39041011540",NA
"39041011550",NA
"39041011560",NA
"39041011561",NA
"39041011604",NA
"39041011710",NA
"39041011730",NA
"39041011740",NA
"39041011750",NA
"39041011760",NA
"39041011762",NA
"39041011900",NA
"39041012000",NA
"39041012100",NA
"39041012200",NA
"39041012300",NA
"39041012400",NA
"39045030100",NA
"39045030200",NA
"39045030300",NA
"39045030400",NA
"39045030600",NA
"39045030700",NA
"39045030800",NA
"39045030900",NA
"39045031000",NA
"39045031100",NA
"39045031200",NA
"39045031300",NA
"39045031400",NA
"39045031500",NA
"39045031600",NA
"39045031700",NA
"39045032000",NA
"39045032100",NA
"39045032200",NA
"39045032300",NA
"39045032500",NA
"39045032600",NA
"39045032701",NA
"39045032702",NA
"39045032800",NA
"39045032900",NA
"39045033000",NA
"39045033100",NA
"39049000110",NA
"39049000120",NA
"39049000210",NA
"39049000220",NA
"39049000310",NA
"39049000320",NA
"39049000330",NA
"39049000410",NA
"39049000420",NA
"39049000500",NA
"39049000600",NA
"39049000710",NA
"39049000720",NA
"39049000730",2.5
"39049000810",NA
"39049000820",2.5
"39049000910",NA
"39049000920",NA
"39049001000",NA
"39049001110",NA
"39049001121",NA
"39049001122",NA
"39049001200",NA
"39049001300",NA
"39049001400",NA
"39049001500",NA
"39049001600",NA
"39049001700",1.66666666666667
"39049001810",2.5
"39049001820",NA
"39049001901",NA
"39049001902",2.2
"39049002000",NA
"39049002100",NA
"39049002200",NA
"39049002300",NA
"39049002510",NA
"39049002520",NA
"39049002600",NA
"39049002710",NA
"39049002730",NA
"39049002740",NA
"39049002750",NA
"39049002760",NA
"39049002770",NA
"39049002780",NA
"39049002800",NA
"39049002900",NA
"39049003000",NA
"39049003200",NA
"39049003600",NA
"39049003700",NA
"39049003800",NA
"39049004000",NA
"39049004200",NA
"39049004300",NA
"39049004500",NA
"39049004610",NA
"39049004620",NA
"39049004700",NA
"39049004810",NA
"39049004820",NA
"39049004900",NA
"39049005000",NA
"39049005100",NA
"39049005200",NA
"39049005300",NA
"39049005410",NA
"39049005420",2.2
"39049005500",NA
"39049005610",NA
"39049005620",NA
"39049005700",NA
"39049005810",NA
"39049005820",NA
"39049005900",NA
"39049006000",NA
"39049006100",NA
"39049006220",NA
"39049006230",NA
"39049006236",NA
"39049006310",NA
"39049006321",NA
"39049006323",NA
"39049006330",NA
"39049006340",NA
"39049006351",NA
"39049006352",NA
"39049006353",NA
"39049006371",NA
"39049006372",NA
"39049006383",NA
"39049006384",NA
"39049006386",NA
"39049006387",NA
"39049006391",NA
"39049006392",NA
"39049006393",NA
"39049006394",NA
"39049006395",NA
"39049006396",NA
"39049006410",NA
"39049006430",NA
"39049006500",NA
"39049006600",NA
"39049006710",NA
"39049006721",NA
"39049006722",NA
"39049006810",NA
"39049006821",NA
"39049006822",NA
"39049006910",NA
"39049006921",NA
"39049006923",NA
"39049006924",NA
"39049006931",NA
"39049006932",NA
"39049006933",NA
"39049006942",NA
"39049006943",NA
"39049006944",NA
"39049006945",NA
"39049006950",NA
"39049006990",NA
"39049007010",NA
"39049007020",NA
"39049007041",NA
"39049007043",NA
"39049007044",NA
"39049007047",NA
"39049007048",NA
"39049007112",NA
"39049007113",NA
"39049007114",NA
"39049007115",NA
"39049007120",NA
"39049007132",NA
"39049007193",NA
"39049007194",NA
"39049007198",NA
"39049007199",NA
"39049007201",NA
"39049007202",NA
"39049007203",NA
"39049007205",NA
"39049007207",NA
"39049007209",NA
