"GEOID","quantScore"
"18011810100",NA
"18011810200",NA
"18011810300",NA
"18011810400",NA
"18011810500",NA
"18011810601",NA
"18011810603",NA
"18011810604",NA
"18011810605",NA
"18011810700",NA
"18057110100",NA
"18057110201",NA
"18057110202",NA
"18057110300",NA
"18057110401",NA
"18057110403",NA
"18057110404",NA
"18057110505",NA
"18057110506",NA
"18057110507",NA
"18057110508",NA
"18057110509",NA
"18057110511",NA
"18057110512",NA
"18057110600",NA
"18057110700",NA
"18057110804",NA
"18057110805",NA
"18057110806",NA
"18057110807",NA
"18057110808",NA
"18057110809",NA
"18057110810",NA
"18057110811",NA
"18057110812",NA
"18057110903",NA
"18057110904",NA
"18057110905",NA
"18057110906",NA
"18057110907",NA
"18057110908",NA
"18057111001",NA
"18057111003",NA
"18057111004",NA
"18057111006",NA
"18057111007",NA
"18057111008",NA
"18057111101",NA
"18057111102",NA
"18059410100",NA
"18059410200",NA
"18059410300",NA
"18059410400",NA
"18059410500",NA
"18059410600",NA
"18059410700",NA
"18059410800",NA
"18059410900",NA
"18059411000",NA
"18063210102",NA
"18063210103",NA
"18063210104",NA
"18063210201",NA
"18063210202",NA
"18063210300",NA
"18063210400",NA
"18063210501",NA
"18063210502",NA
"18063210603",NA
"18063210604",NA
"18063210605",NA
"18063210606",NA
"18063210607",NA
"18063210608",NA
"18063210700",NA
"18063210801",NA
"18063210802",NA
"18063210900",NA
"18063211000",NA
"18063211100",NA
"18081610100",NA
"18081610201",NA
"18081610202",NA
"18081610300",NA
"18081610401",NA
"18081610403",NA
"18081610404",NA
"18081610500",NA
"18081610603",NA
"18081610604",NA
"18081610605",NA
"18081610606",NA
"18081610701",NA
"18081610702",NA
"18081610801",NA
"18081610802",NA
"18081610900",NA
"18081611000",NA
"18081611100",NA
"18081611200",NA
"18081611300",NA
"18081611400",NA
"18097310103",NA
"18097310104",NA
"18097310105",NA
"18097310106",NA
"18097310108",NA
"18097310110",NA
"18097310111",NA
"18097310201",NA
"18097310203",NA
"18097310204",2
"18097310305",NA
"18097310306",NA
"18097310308",NA
"18097310309",NA
"18097310310",NA
"18097310311",NA
"18097310312",NA
"18097320105",NA
"18097320106",NA
"18097320107",NA
"18097320108",NA
"18097320109",NA
"18097320202",NA
"18097320203",NA
"18097320204",NA
"18097320301",1.5
"18097320303",NA
"18097320304",NA
"18097320400",2
"18097320500",2
"18097320600",NA
"18097320700",NA
"18097320800",3.5
"18097320901",NA
"18097320902",NA
"18097320903",NA
"18097321001",NA
"18097321002",NA
"18097321100",NA
"18097321200",2.71428571428571
"18097321300",2.5
"18097321400",2
"18097321600",2
"18097321700",2.33333333333333
"18097321800",2.4
"18097321900",NA
"18097322000",NA
"18097322100",3.5
"18097322200",3
"18097322300",3
"18097322400",2
"18097322500",2.33333333333333
"18097322600",2
"18097322700",2
"18097330103",NA
"18097330105",NA
"18097330106",NA
"18097330107",NA
"18097330108",NA
"18097330109",NA
"18097330202",NA
"18097330203",NA
"18097330204",NA
"18097330206",NA
"18097330208",NA
"18097330209",NA
"18097330401",NA
"18097330500",2.33333333333333
"18097330600",NA
"18097330700",NA
"18097330803",NA
"18097330804",NA
"18097330805",NA
"18097330806",NA
"18097330900",2
"18097331000",2
"18097340101",NA
"18097340102",NA
"18097340108",NA
"18097340109",NA
"18097340110",NA
"18097340111",NA
"18097340112",NA
"18097340113",NA
"18097340114",NA
"18097340201",NA
"18097340202",NA
"18097340300",NA
"18097340400",NA
"18097340500",2
"18097340600",NA
"18097340700",NA
"18097340800",NA
"18097340901",NA
"18097340902",NA
"18097341000",NA
"18097341100",NA
"18097341200",NA
"18097341600",1.33333333333333
"18097341700",NA
"18097341902",NA
"18097341903",NA
"18097341904",NA
"18097342000",NA
"18097342101",NA
"18097342200",NA
"18097342300",1
"18097342400",NA
"18097342500",1.5
"18097342600",NA
"18097350100",NA
"18097350300",2.5
"18097350400",2.5
"18097350500",1.8
"18097350600",1.5
"18097350700",1.33333333333333
"18097350800",1.83333333333333
"18097350900",2.5
"18097351000",2
"18097351200",NA
"18097351500",NA
"18097351600",NA
"18097351700",1.33333333333333
"18097351900",1
"18097352100",1
"18097352300",1.33333333333333
"18097352400",1.25
"18097352500",NA
"18097352600",1.57142857142857
"18097352700",NA
"18097352800",1
"18097353300",NA
"18097353500",NA
"18097353600",NA
"18097354200",NA
"18097354400",NA
"18097354500",NA
"18097354700",NA
"18097354800",2.5
"18097354900",2
"18097355000",NA
"18097355100",1.5
"18097355300",NA
"18097355400",NA
"18097355500",NA
"18097355600",NA
"18097355700",NA
"18097355900",NA
"18097356200",NA
"18097356400",NA
"18097356900",NA
"18097357000",NA
"18097357100",NA
"18097357200",1.5
"18097357300",1
"18097357400",NA
"18097357500",NA
"18097357600",1.8
"18097357800",NA
"18097357900",1.85714285714286
"18097358000",NA
"18097358100",NA
"18097360101",1
"18097360102",1.66666666666667
"18097360201",NA
"18097360202",NA
"18097360301",NA
"18097360302",NA
"18097360401",NA
"18097360402",NA
"18097360404",NA
"18097360405",NA
"18097360501",NA
"18097360502",NA
"18097360601",NA
"18097360602",NA
"18097360700",NA
"18097360800",NA
"18097360900",NA
"18097361000",NA
"18097361100",NA
"18097361200",NA
"18097361300",NA
"18097361400",NA
"18097361600",NA
"18097370201",NA
"18097370202",NA
"18097370301",NA
"18097370302",NA
"18097380100",NA
"18097380200",2
"18097380300",NA
"18097380402",NA
"18097380403",NA
"18097380404",NA
"18097380501",2.5
"18097380502",NA
"18097380600",NA
"18097380700",NA
"18097380800",2.5
"18097380901",NA
"18097380902",NA
"18097381001",NA
"18097381002",NA
"18097381101",NA
"18097381102",NA
"18097381201",NA
"18097381203",NA
"18097381204",NA
"18097381205",NA
"18097390101",NA
"18097390102",NA
"18097390200",NA
"18097390300",NA
"18097390402",NA
"18097390403",NA
"18097390404",NA
"18097390405",NA
"18097390500",NA
"18097390600",NA
"18097390700",1.5
"18097390800",NA
"18097390900",1.33333333333333
"18097391000",NA
"18109510100",NA
"18109510201",NA
"18109510202",NA
"18109510300",NA
"18109510401",NA
"18109510402",NA
"18109510500",NA
"18109510600",NA
"18109510701",NA
"18109510702",NA
"18109510800",NA
"18109510900",NA
"18109511000",NA
"18145710100",NA
"18145710200",NA
"18145710300",NA
"18145710400",NA
"18145710500",NA
"18145710601",NA
"18145710602",NA
"18145710700",NA
"18145710800",NA
"18145710900",NA
