"GEOID","quantScore"
"20091050000",NA
"20091050100",NA
"20091050200",NA
"20091050301",NA
"20091050302",NA
"20091050400",NA
"20091050500",NA
"20091050600",NA
"20091050700",NA
"20091050800",NA
"20091050900",NA
"20091051000",NA
"20091051100",NA
"20091051200",NA
"20091051300",NA
"20091051400",NA
"20091051500",NA
"20091051600",NA
"20091051700",NA
"20091051801",NA
"20091051802",NA
"20091051803",NA
"20091051804",NA
"20091051805",NA
"20091051806",NA
"20091051902",NA
"20091051903",NA
"20091051904",NA
"20091051906",NA
"20091051907",NA
"20091051908",NA
"20091051909",NA
"20091052001",NA
"20091052003",NA
"20091052004",NA
"20091052101",NA
"20091052102",NA
"20091052201",NA
"20091052202",NA
"20091052303",NA
"20091052304",NA
"20091052305",NA
"20091052306",NA
"20091052405",NA
"20091052410",NA
"20091052411",NA
"20091052414",NA
"20091052415",NA
"20091052416",NA
"20091052417",NA
"20091052418",NA
"20091052419",NA
"20091052421",NA
"20091052502",NA
"20091052504",NA
"20091052601",NA
"20091052603",NA
"20091052604",NA
"20091052606",NA
"20091052607",NA
"20091052700",NA
"20091052801",NA
"20091052802",NA
"20091052803",NA
"20091052904",NA
"20091052905",NA
"20091052906",NA
"20091052907",NA
"20091052908",NA
"20091052910",NA
"20091053002",NA
"20091053004",NA
"20091053005",NA
"20091053006",NA
"20091053007",NA
"20091053008",NA
"20091053009",NA
"20091053010",NA
"20091053011",NA
"20091053101",NA
"20091053102",NA
"20091053105",NA
"20091053108",NA
"20091053109",NA
"20091053110",NA
"20091053201",NA
"20091053202",NA
"20091053203",NA
"20091053301",NA
"20091053302",NA
"20091053403",NA
"20091053406",NA
"20091053409",NA
"20091053410",NA
"20091053411",NA
"20091053413",NA
"20091053414",NA
"20091053415",NA
"20091053417",NA
"20091053418",NA
"20091053419",NA
"20091053421",NA
"20091053422",NA
"20091053423",NA
"20091053424",NA
"20091053502",NA
"20091053505",NA
"20091053506",NA
"20091053507",NA
"20091053508",NA
"20091053509",NA
"20091053510",NA
"20091053555",NA
"20091053556",NA
"20091053557",NA
"20091053601",NA
"20091053602",NA
"20091053701",NA
"20091053703",NA
"20091053705",NA
"20091053707",NA
"20091053709",NA
"20091053711",NA
"20091053712",NA
"20091053801",NA
"20091053803",NA
"20091053804",NA
"20091980001",NA
"20091980002",NA
"20091980003",NA
"20103070100",NA
"20103070200",NA
"20103070300",NA
"20103070400",NA
"20103070500",NA
"20103070700",NA
"20103070900",NA
"20103071000",NA
"20103071101",NA
"20103071102",NA
