"GEOID","quantScore"
"18019050100",NA
"18019050200",NA
"18019050303",NA
"18019050304",NA
"18019050305",NA
"18019050306",NA
"18019050401",NA
"18019050403",NA
"18019050404",NA
"18019050501",NA
"18019050503",NA
"18019050504",NA
"18019050603",NA
"18019050604",NA
"18019050605",NA
"18019050606",NA
"18019050701",NA
"18019050703",NA
"18019050704",NA
"18019050801",NA
"18019050803",NA
"18019050804",NA
"18019050902",NA
"18019050903",NA
"18019050904",NA
"18019051000",NA
"18043070200",NA
"18043070301",NA
"18043070302",NA
"18043070400",NA
"18043070500",NA
"18043070600",NA
"18043070700",NA
"18043070801",NA
"18043070802",NA
"18043070901",NA
"18043070902",NA
"18043071003",NA
"18043071004",NA
"18043071005",NA
"18043071006",NA
"18043071007",NA
"18043071101",NA
"18043071103",NA
"18043071104",NA
"18043071200",NA
"18061060100",NA
"18061060200",NA
"18061060300",NA
"18061060400",NA
"18061060500",NA
"18061060600",NA
"21029020101",NA
"21029020102",NA
"21029020103",NA
"21029020201",NA
"21029020202",NA
"21029020300",NA
"21029020400",NA
"21029020500",NA
"21029020601",NA
"21029020602",NA
"21029020701",NA
"21029020702",NA
"21029020800",NA
"21029020900",NA
"21029021101",NA
"21029021102",NA
"21029021200",NA
"21029980100",NA
"21111000200",NA
"21111000300",NA
"21111000400",NA
"21111000600",NA
"21111000700",2.5
"21111000800",NA
"21111000900",NA
"21111001000",NA
"21111001100",NA
"21111001200",NA
"21111001400",NA
"21111001500",2
"21111001600",2.5
"21111001700",2
"21111001800",1.5
"21111002100",1
"21111002300",NA
"21111002400",NA
"21111002700",NA
"21111002800",NA
"21111003000",NA
"21111003500",NA
"21111003600",NA
"21111003700",NA
"21111003800",NA
"21111003900",NA
"21111004000",2
"21111004100",NA
"21111004301",NA
"21111004302",NA
"21111004400",2.25
"21111004500",NA
"21111004600",2.25
"21111004900",NA
"21111005000",NA
"21111005100",NA
"21111005200",NA
"21111005300",NA
"21111005600",NA
"21111005900",NA
"21111006200",NA
"21111006300",NA
"21111006400",NA
"21111006500",NA
"21111006600",1.33333333333333
"21111006800",2
"21111006900",NA
"21111007000",NA
"21111007100",NA
"21111007400",NA
"21111007501",NA
"21111007502",NA
"21111007601",2.75
"21111007602",NA
"21111007603",NA
"21111007700",NA
"21111007800",NA
"21111007900",3
"21111008100",NA
"21111008200",NA
"21111008300",NA
"21111008400",NA
"21111008500",NA
"21111008700",NA
"21111008800",NA
"21111008900",NA
"21111009000",NA
"21111009103",NA
"21111009105",NA
"21111009106",NA
"21111009300",NA
"21111009400",NA
"21111009600",NA
"21111009700",NA
"21111009800",NA
"21111009900",NA
"21111010001",NA
"21111010004",NA
"21111010005",NA
"21111010006",NA
"21111010007",NA
"21111010008",NA
"21111010102",NA
"21111010103",NA
"21111010104",NA
"21111010307",NA
"21111010309",NA
"21111010311",NA
"21111010312",NA
"21111010313",NA
"21111010314",NA
"21111010315",NA
"21111010316",NA
"21111010317",NA
"21111010318",NA
"21111010319",NA
"21111010320",NA
"21111010402",NA
"21111010403",NA
"21111010405",NA
"21111010406",NA
"21111010500",NA
"21111010601",NA
"21111010602",NA
"21111010701",NA
"21111010702",NA
"21111010705",NA
"21111010706",NA
"21111010800",NA
"21111010901",NA
"21111010902",NA
"21111011002",NA
"21111011003",NA
"21111011004",NA
"21111011005",NA
"21111011102",NA
"21111011106",NA
"21111011109",NA
"21111011110",NA
"21111011111",NA
"21111011112",NA
"21111011113",NA
"21111011114",NA
"21111011200",NA
"21111011301",NA
"21111011302",NA
"21111011403",NA
"21111011404",NA
"21111011405",NA
"21111011406",NA
"21111011505",NA
"21111011506",NA
"21111011508",NA
"21111011509",NA
"21111011513",NA
"21111011514",NA
"21111011515",NA
"21111011516",NA
"21111011517",NA
"21111011518",NA
"21111011519",NA
"21111011520",NA
"21111011601",NA
"21111011603",NA
"21111011604",NA
"21111011706",NA
"21111011707",NA
"21111011708",NA
"21111011709",NA
"21111011710",NA
"21111011711",NA
"21111011712",NA
"21111011713",NA
"21111011800",NA
"21111011901",NA
"21111011904",NA
"21111011905",NA
"21111011906",NA
"21111011907",NA
"21111012001",NA
"21111012002",NA
"21111012003",NA
"21111012103",NA
"21111012104",NA
"21111012105",NA
"21111012106",NA
"21111012107",NA
"21111012202",NA
"21111012203",NA
"21111012204",NA
"21111012301",NA
"21111012302",NA
"21111012406",NA
"21111012407",NA
"21111012408",NA
"21111012409",NA
"21111012410",NA
"21111012411",NA
"21111012501",NA
"21111012502",NA
"21111012503",NA
"21111012601",NA
"21111012603",NA
"21111012604",NA
"21111012701",NA
"21111012702",NA
"21111012703",NA
"21111012801",NA
"21111012802",NA
"21111013100",3.66666666666667
"21111980100",NA
"21185030100",NA
"21185030200",NA
"21185030301",NA
"21185030302",NA
"21185030401",NA
"21185030402",NA
"21185030501",NA
"21185030502",NA
"21185030601",NA
"21185030602",NA
"21185030701",NA
"21185030702",NA
"21185030801",NA
"21185030802",NA
