"GEOID","quantScore"
"27003050107",NA
"27003050108",NA
"27003050109",NA
"27003050110",NA
"27003050111",NA
"27003050114",NA
"27003050115",NA
"27003050116",NA
"27003050208",NA
"27003050210",NA
"27003050215",NA
"27003050216",NA
"27003050217",NA
"27003050218",NA
"27003050219",NA
"27003050220",NA
"27003050221",NA
"27003050222",NA
"27003050223",NA
"27003050224",NA
"27003050225",NA
"27003050226",NA
"27003050227",NA
"27003050228",NA
"27003050229",NA
"27003050230",NA
"27003050232",NA
"27003050233",NA
"27003050234",NA
"27003050235",NA
"27003050236",NA
"27003050237",NA
"27003050401",NA
"27003050402",NA
"27003050501",NA
"27003050504",NA
"27003050505",NA
"27003050602",NA
"27003050605",NA
"27003050606",NA
"27003050607",NA
"27003050608",NA
"27003050609",NA
"27003050610",NA
"27003050702",NA
"27003050704",NA
"27003050706",NA
"27003050707",NA
"27003050709",NA
"27003050710",NA
"27003050711",NA
"27003050712",NA
"27003050805",NA
"27003050806",NA
"27003050807",NA
"27003050808",NA
"27003050809",NA
"27003050810",NA
"27003050811",NA
"27003050813",NA
"27003050816",NA
"27003050818",NA
"27003050819",NA
"27003050820",NA
"27003050821",NA
"27003050901",NA
"27003050902",NA
"27003051001",NA
"27003051002",NA
"27003051101",NA
"27003051102",NA
"27003051103",NA
"27003051201",NA
"27003051202",NA
"27003051203",NA
"27003051206",NA
"27003051302",NA
"27003051304",NA
"27003051305",NA
"27003051400",NA
"27003051501",NA
"27003051502",NA
"27003051600",NA
"27019090100",NA
"27019090200",NA
"27019090301",NA
"27019090302",NA
"27019090401",NA
"27019090402",NA
"27019090501",NA
"27019090502",NA
"27019090503",NA
"27019090601",NA
"27019090602",NA
"27019090701",NA
"27019090702",NA
"27019090800",NA
"27019090900",NA
"27019091000",NA
"27019091100",NA
"27019091201",NA
"27019091202",NA
"27025110100",NA
"27025110200",NA
"27025110301",NA
"27025110302",NA
"27025110401",NA
"27025110402",NA
"27025110501",NA
"27025110502",NA
"27025110600",NA
"27025110700",NA
"27037060101",NA
"27037060102",NA
"27037060103",NA
"27037060104",NA
"27037060105",NA
"27037060201",NA
"27037060202",NA
"27037060301",NA
"27037060302",NA
"27037060401",NA
"27037060402",NA
"27037060502",NA
"27037060503",NA
"27037060505",NA
"27037060506",NA
"27037060507",NA
"27037060508",NA
"27037060509",NA
"27037060603",NA
"27037060604",NA
"27037060605",NA
"27037060606",NA
"27037060709",NA
"27037060710",NA
"27037060711",NA
"27037060713",NA
"27037060714",NA
"27037060716",NA
"27037060717",NA
"27037060721",NA
"27037060725",NA
"27037060726",NA
"27037060727",NA
"27037060728",NA
"27037060729",NA
"27037060730",NA
"27037060731",NA
"27037060732",NA
"27037060733",NA
"27037060734",NA
"27037060735",NA
"27037060737",NA
"27037060738",NA
"27037060739",NA
"27037060741",NA
"27037060742",NA
"27037060743",NA
"27037060744",NA
"27037060745",NA
"27037060746",NA
"27037060747",NA
"27037060748",NA
