"GEOID","quantScore"
"22051020101",NA
"22051020102",NA
"22051020201",NA
"22051020202",NA
"22051020203",NA
"22051020301",NA
"22051020302",NA
"22051020303",NA
"22051020400",NA
"22051020502",NA
"22051020505",NA
"22051020506",NA
"22051020507",NA
"22051020508",NA
"22051020511",NA
"22051020512",NA
"22051020513",NA
"22051020514",NA
"22051020515",NA
"22051020516",NA
"22051020517",NA
"22051020600",NA
"22051020700",NA
"22051021000",NA
"22051021100",NA
"22051021200",NA
"22051021300",NA
"22051021400",NA
"22051021500",NA
"22051021600",NA
"22051021700",NA
"22051021801",NA
"22051021803",NA
"22051021804",NA
"22051021900",NA
"22051022001",NA
"22051022002",NA
"22051022101",NA
"22051022102",NA
"22051022200",NA
"22051022301",NA
"22051022302",NA
"22051022303",NA
"22051022400",NA
"22051022500",NA
"22051022600",NA
"22051022700",NA
"22051022800",NA
"22051022900",NA
"22051023001",NA
"22051023002",NA
"22051023003",NA
"22051023100",NA
"22051023200",NA
"22051023300",NA
"22051023400",NA
"22051023500",NA
"22051023600",NA
"22051023700",NA
"22051023800",NA
"22051023901",NA
"22051023902",NA
"22051023903",NA
"22051023904",NA
"22051024001",NA
"22051024002",NA
"22051024100",NA
"22051024201",NA
"22051024202",NA
"22051024300",NA
"22051024400",NA
"22051024500",NA
"22051024600",NA
"22051024700",NA
"22051024800",NA
"22051024900",NA
"22051025001",NA
"22051025002",NA
"22051025003",NA
"22051025102",NA
"22051025103",NA
"22051025104",NA
"22051025201",NA
"22051025202",NA
"22051025300",NA
"22051025400",NA
"22051025500",NA
"22051025600",NA
"22051025700",NA
"22051025800",NA
"22051025900",NA
"22051026000",NA
"22051026100",NA
"22051026200",NA
"22051026300",NA
"22051026400",NA
"22051026500",NA
"22051026600",NA
"22051026700",NA
"22051026800",NA
"22051026900",NA
"22051027000",NA
"22051027100",NA
"22051027200",NA
"22051027501",NA
"22051027502",NA
"22051027601",NA
"22051027602",NA
"22051027701",NA
"22051027703",NA
"22051027803",NA
"22051027804",NA
"22051027805",NA
"22051027806",NA
"22051027807",NA
"22051027809",NA
"22051027810",NA
"22051027811",NA
"22051027812",NA
"22051027901",NA
"22051027902",NA
"22051028000",NA
"22051028100",NA
"22051028200",NA
"22051980000",NA
"22071000100",NA
"22071000200",NA
"22071000300",NA
"22071000400",NA
"22071000601",NA
"22071000602",NA
"22071000603",NA
"22071000604",NA
"22071000605",NA
"22071000606",NA
"22071000607",NA
"22071000611",NA
"22071000612",NA
"22071000613",NA
"22071000615",NA
"22071000616",NA
"22071000617",NA
"22071000618",NA
"22071000701",NA
"22071000702",NA
"22071000800",NA
"22071000901",NA
"22071000902",NA
"22071000903",1
"22071000904",1.5
"22071001100",NA
"22071001200",NA
"22071001301",1.5
"22071001302",1.5
"22071001401",NA
"22071001402",1.75
"22071001500",NA
"22071001600",NA
"22071001701",NA
"22071001702",NA
"22071001720",NA
"22071001722",NA
"22071001723",NA
"22071001724",NA
"22071001725",NA
"22071001730",NA
"22071001734",NA
"22071001735",NA
"22071001736",NA
"22071001737",NA
"22071001739",NA
"22071001740",NA
"22071001741",NA
"22071001743",NA
"22071001744",NA
"22071001745",NA
"22071001746",NA
"22071001747",NA
"22071001748",NA
"22071001749",NA
"22071001750",NA
"22071001751",NA
"22071001800",NA
"22071001900",NA
"22071002000",1.25
"22071002100",NA
"22071002200",NA
"22071002300",NA
"22071002401",NA
"22071002402",NA
"22071002501",NA
"22071002502",NA
"22071002503",NA
"22071002504",NA
"22071002600",NA
"22071002700",NA
"22071002800",NA
"22071002900",1
"22071003000",1
"22071003100",NA
"22071003301",NA
"22071003302",NA
"22071003303",NA
"22071003304",NA
"22071003307",NA
"22071003308",NA
"22071003400",NA
"22071003500",1.66666666666667
"22071003600",NA
"22071003701",NA
"22071003702",NA
"22071003800",NA
"22071003900",NA
"22071004000",NA
"22071004100",NA
"22071004401",1.2
"22071004402",NA
"22071004500",NA
"22071004600",NA
"22071004800",NA
"22071004900",NA
"22071005000",NA
"22071005400",NA
"22071005500",NA
"22071005601",NA
"22071005602",NA
"22071005603",NA
"22071005604",NA
"22071006000",NA
"22071006300",2
"22071006400",2
"22071006500",NA
"22071006900",NA
"22071007000",NA
"22071007101",NA
"22071007200",NA
"22071007501",NA
"22071007502",NA
"22071007604",NA
"22071007605",NA
"22071007606",NA
"22071007700",NA
"22071007800",1.33333333333333
"22071008200",NA
"22071008300",NA
"22071008400",NA
"22071008500",NA
"22071008600",1
"22071008800",1
"22071009000",NA
"22071009100",1.66666666666667
"22071009200",NA
"22071009400",NA
"22071009600",NA
"22071009700",NA
"22071009900",NA
"22071010000",1.75
"22071010100",2
"22071010200",NA
"22071010300",NA
"22071010600",1
"22071010700",2
"22071010800",2
"22071010900",2.2
"22071011100",NA
"22071011200",2.5
"22071011400",1.5
"22071011500",NA
"22071011600",2
"22071011700",NA
"22071011900",NA
"22071012000",NA
"22071012101",NA
"22071012102",NA
"22071012200",2.83333333333333
"22071012300",NA
"22071012400",NA
"22071012500",NA
"22071012600",NA
"22071012700",NA
"22071012800",NA
"22071012900",NA
"22071013000",1.75
"22071013100",NA
"22071013200",NA
"22071013301",NA
"22071013302",NA
"22071013400",NA
"22071013500",NA
"22071013600",1.5
"22071013700",NA
"22071013800",NA
"22071013900",NA
"22071014000",NA
"22071014100",NA
"22071014200",NA
"22071014300",NA
"22071014400",NA
"22071014500",NA
"22071980000",NA
"22071980100",NA
"22075050100",NA
"22075050200",NA
"22075050300",NA
"22075050400",NA
"22075050500",NA
"22075050600",NA
"22075050700",NA
"22075050800",NA
"22087030103",NA
"22087030104",NA
"22087030105",NA
"22087030203",NA
"22087030204",NA
"22087030206",NA
"22087030207",NA
"22087030208",NA
"22087030209",NA
"22087030300",NA
"22087030400",NA
"22087030500",NA
"22087030601",NA
"22087030602",NA
"22087030603",NA
"22087030700",NA
"22087030800",NA
"22089060100",NA
"22089062100",NA
"22089062200",NA
"22089062301",NA
"22089062302",NA
"22089062400",NA
"22089062500",NA
"22089062700",NA
"22089062800",NA
"22089062900",NA
"22089063000",NA
"22089063100",NA
"22089063200",NA
"22095070100",NA
"22095070200",NA
"22095070300",NA
"22095070400",NA
"22095070500",NA
"22095070600",NA
"22095070700",NA
"22095070800",NA
"22095070900",NA
"22095071000",NA
"22095071100",NA
"22103040102",NA
"22103040103",NA
"22103040104",NA
"22103040201",NA
"22103040202",NA
"22103040303",NA
"22103040304",NA
"22103040305",NA
"22103040400",NA
"22103040501",NA
"22103040502",NA
"22103040601",NA
"22103040602",NA
"22103040604",NA
"22103040605",NA
"22103040701",NA
"22103040704",NA
"22103040705",NA
"22103040706",NA
"22103040708",NA
"22103040709",NA
"22103040710",NA
"22103040801",NA
"22103040802",NA
"22103040803",NA
"22103040900",NA
"22103041002",NA
"22103041003",NA
"22103041004",NA
"22103041101",NA
"22103041102",NA
"22103041103",NA
"22103041104",NA
"22103041202",NA
"22103041204",NA
"22103041207",NA
"22103041208",NA
"22103041209",NA
"22103041210",NA
"22103041211",NA
"22103041212",NA
"22103041300",NA
