"GEOID","quantScore"
"37053110101",NA
"37053110102",NA
"37053110200",NA
"37053110301",NA
"37053110302",NA
"37053110401",NA
"37053110402",NA
"51073100100",NA
"51073100201",NA
"51073100202",NA
"51073100203",NA
"51073100301",NA
"51073100302",NA
"51073100400",NA
"51073100500",NA
"51093280101",NA
"51093280103",NA
"51093280104",NA
"51093280105",NA
"51093280106",NA
"51093280200",NA
"51093280300",NA
"51093280400",NA
"51095080101",NA
"51095080102",NA
"51095080202",NA
"51095080203",NA
"51095080205",NA
"51095080206",NA
"51095080301",NA
"51095080303",NA
"51095080304",NA
"51095080401",NA
"51095080402",NA
"51115951300",NA
"51115951400",NA
"51199050203",NA
"51199050204",NA
"51199050205",NA
"51199050206",NA
"51199050303",NA
"51199050304",NA
"51199050305",NA
"51199050306",NA
"51199050401",NA
"51199050402",NA
"51199050500",NA
"51199050900",NA
"51199051000",NA
"51199051100",NA
"51550020001",NA
"51550020002",NA
"51550020003",NA
"51550020100",NA
"51550020200",NA
"51550020300",NA
"51550020400",NA
"51550020500",NA
"51550020600",NA
"51550020700",NA
"51550020804",NA
"51550020805",NA
"51550020806",NA
"51550020807",NA
"51550020808",NA
"51550020809",NA
"51550020903",NA
"51550020904",NA
"51550020905",NA
"51550020906",NA
"51550021004",NA
"51550021005",NA
"51550021006",NA
"51550021009",NA
"51550021010",NA
"51550021011",NA
"51550021012",NA
"51550021013",NA
"51550021101",NA
"51550021102",NA
"51550021200",NA
"51550021301",NA
"51550021302",NA
"51550021401",NA
"51550021402",NA
"51550021403",NA
"51550021404",NA
"51550021501",NA
"51550021502",NA
"51550021601",NA
"51550021602",NA
"51650010103",NA
"51650010104",NA
"51650010200",NA
"51650010304",NA
"51650010306",NA
"51650010307",NA
"51650010309",NA
"51650010310",NA
"51650010311",NA
"51650010312",NA
"51650010313",NA
"51650010314",NA
"51650010400",NA
"51650010501",NA
"51650010502",NA
"51650010601",NA
"51650010602",NA
"51650010701",NA
"51650010702",NA
"51650010703",NA
"51650010800",NA
"51650010900",NA
"51650011000",NA
"51650011100",NA
"51650011200",NA
"51650011300",NA
"51650011400",NA
"51650011500",NA
"51650011600",NA
"51650011800",NA
"51650011900",NA
"51650012000",NA
"51650012100",NA
"51700030100",NA
"51700030300",NA
"51700030400",NA
"51700030500",NA
"51700030600",NA
"51700030800",NA
"51700030900",NA
"51700031100",NA
"51700031200",NA
"51700031300",NA
"51700031400",NA
"51700031500",NA
"51700031601",NA
"51700031602",NA
"51700031701",NA
"51700031702",NA
"51700031800",NA
"51700031901",NA
"51700031902",NA
"51700032001",NA
"51700032002",NA
"51700032005",NA
"51700032006",NA
"51700032007",NA
"51700032113",NA
"51700032114",NA
"51700032117",NA
"51700032123",NA
"51700032124",NA
"51700032126",NA
"51700032127",NA
"51700032128",NA
"51700032129",NA
"51700032130",NA
"51700032131",NA
"51700032132",NA
"51700032211",NA
"51700032212",NA
"51700032223",NA
"51700032224",NA
"51700032225",NA
"51700032226",NA
"51700032300",NA
"51700032400",NA
"51710000100",NA
"51710000201",NA
"51710000202",2.5
"51710000300",NA
"51710000400",NA
"51710000500",NA
"51710000600",NA
"51710000700",NA
"51710000800",NA
"51710000901",NA
"51710000902",NA
"51710001100",NA
"51710001200",NA
"51710001300",NA
"51710001400",NA
"51710001500",NA
"51710001600",NA
"51710001700",NA
"51710002000",NA
"51710002100",NA
"51710002200",NA
"51710002300",NA
"51710002400",NA
"51710002500",NA
"51710002600",NA
"51710002700",NA
"51710002800",NA
"51710002900",NA
"51710003000",NA
"51710003100",NA
"51710003200",NA
"51710003300",NA
"51710003400",NA
"51710003501",NA
"51710003600",NA
"51710003700",NA
"51710003800",NA
"51710004001",NA
"51710004002",NA
"51710004100",NA
"51710004200",NA
"51710004300",NA
"51710004400",NA
"51710004500",NA
"51710004600",NA
"51710004700",NA
"51710004800",NA
"51710004900",NA
"51710005000",NA
"51710005100",NA
"51710005500",NA
"51710005601",NA
"51710005602",NA
"51710005701",NA
"51710005702",NA
"51710005800",NA
"51710005901",NA
"51710005902",NA
"51710005903",NA
"51710006000",NA
"51710006100",NA
"51710006200",NA
"51710006400",NA
"51710006501",NA
"51710006502",NA
"51710006601",NA
"51710006602",NA
"51710006603",NA
"51710006604",NA
"51710006605",NA
"51710006606",NA
"51710006607",NA
"51710006800",NA
"51710006901",NA
"51710006902",NA
"51710007001",NA
"51710007002",NA
"51710980100",NA
"51710980200",NA
"51710980300",NA
"51735340100",NA
"51735340200",NA
"51735340300",NA
"51740210200",NA
"51740210300",NA
"51740210400",NA
"51740210500",NA
"51740210600",NA
"51740210900",NA
"51740211100",NA
"51740211400",NA
"51740211500",NA
"51740211600",NA
"51740211700",NA
"51740211800",NA
"51740211900",NA
"51740212000",NA
"51740212100",NA
"51740212300",NA
"51740212400",NA
"51740212500",NA
"51740212600",NA
"51740212701",NA
"51740212702",NA
"51740212801",NA
"51740212802",NA
"51740212900",NA
"51740213001",NA
"51740213002",NA
"51740213101",NA
"51740213103",NA
"51740213104",NA
"51740213200",NA
"51740980100",NA
"51800065100",NA
"51800065200",NA
"51800065300",NA
"51800065400",NA
"51800065500",NA
"51800075101",NA
"51800075102",NA
"51800075201",NA
"51800075202",NA
"51800075203",NA
"51800075204",NA
"51800075301",NA
"51800075302",NA
"51800075401",NA
"51800075402",NA
"51800075403",NA
"51800075404",NA
"51800075405",NA
"51800075501",NA
"51800075502",NA
"51800075601",NA
"51800075602",NA
"51800075701",NA
"51800075702",NA
"51800075703",NA
"51800075801",NA
"51800075802",NA
"51800075803",NA
"51810040000",NA
"51810040200",NA
"51810040402",NA
"51810040403",NA
"51810040404",NA
"51810040600",NA
"51810040801",NA
"51810040802",NA
"51810041002",NA
"51810041003",NA
"51810041004",NA
"51810041200",NA
"51810041400",NA
"51810041600",NA
"51810041801",NA
"51810041802",NA
"51810042000",NA
"51810042201",NA
"51810042202",NA
"51810042400",NA
"51810042600",NA
"51810042801",NA
"51810042802",NA
"51810043002",NA
"51810043003",NA
"51810043004",NA
"51810043200",NA
"51810043400",NA
"51810043600",NA
"51810043800",NA
"51810044001",NA
"51810044003",NA
"51810044004",NA
"51810044200",NA
"51810044401",NA
"51810044402",NA
"51810044600",NA
"51810044805",NA
"51810044806",NA
"51810044807",NA
"51810044808",NA
"51810045000",NA
"51810045200",NA
"51810045405",NA
"51810045406",NA
"51810045407",NA
"51810045408",NA
"51810045412",NA
"51810045414",NA
"51810045415",NA
"51810045417",NA
"51810045420",NA
"51810045421",NA
"51810045422",NA
"51810045423",NA
"51810045424",NA
"51810045425",NA
"51810045426",NA
