"GEOID","quantScore"
"42003010300",NA
"42003020100",NA
"42003020300",NA
"42003030500",NA
"42003040200",NA
"42003040400",NA
"42003040500",NA
"42003040600",NA
"42003040900",NA
"42003050100",1.5
"42003050600",NA
"42003050900",1.5
"42003051000",NA
"42003051100",1
"42003060300",NA
"42003060500",NA
"42003070300",3.25
"42003070500",2.5
"42003070600",3
"42003070800",NA
"42003070900",NA
"42003080200",NA
"42003080400",NA
"42003080600",2
"42003080700",1.66666666666667
"42003080900",2
"42003090100",NA
"42003090200",NA
"42003090300",NA
"42003100500",NA
"42003101100",NA
"42003101400",NA
"42003101600",1.5
"42003101700",1.5
"42003101800",NA
"42003110200",NA
"42003110600",NA
"42003111300",2
"42003111400",2
"42003111500",NA
"42003120300",NA
"42003120400",1.5
"42003120700",NA
"42003120800",NA
"42003130100",1.66666666666667
"42003130200",1.5
"42003130300",NA
"42003130400",NA
"42003130600",NA
"42003140100",NA
"42003140200",3.5
"42003140300",NA
"42003140400",3.5
"42003140500",NA
"42003140600",NA
"42003140800",NA
"42003141000",NA
"42003141100",NA
"42003141300",NA
"42003141400",NA
"42003151600",NA
"42003151700",NA
"42003160800",NA
"42003160900",NA
"42003170200",NA
"42003170600",NA
"42003180300",NA
"42003180700",NA
"42003190300",NA
"42003191100",NA
"42003191400",NA
"42003191500",NA
"42003191600",NA
"42003191700",NA
"42003191800",NA
"42003191900",NA
"42003192000",NA
"42003202200",NA
"42003202300",NA
"42003210700",1
"42003220600",1
"42003240600",NA
"42003241200",NA
"42003250300",1.5
"42003250700",NA
"42003250900",2
"42003260200",NA
"42003260700",2.5
"42003260900",NA
"42003261200",NA
"42003261400",2
"42003261500",NA
"42003262000",NA
"42003270100",NA
"42003270300",NA
"42003270400",NA
"42003270800",NA
"42003271500",NA
"42003281400",NA
"42003281500",NA
"42003290100",NA
"42003290200",2.5
"42003290400",NA
"42003300100",NA
"42003310200",NA
"42003310300",NA
"42003320400",NA
"42003320600",NA
"42003320700",NA
"42003401100",NA
"42003401200",NA
"42003401300",NA
"42003402000",NA
"42003403500",NA
"42003404000",NA
"42003405000",NA
"42003406000",NA
"42003407001",NA
"42003407002",NA
"42003408001",NA
"42003408002",NA
"42003409000",NA
"42003410000",NA
"42003411000",NA
"42003412001",NA
"42003412002",NA
"42003413100",NA
"42003413201",NA
"42003413202",NA
"42003413300",NA
"42003413400",NA
"42003413500",NA
"42003414101",NA
"42003414102",NA
"42003414200",NA
"42003415001",NA
"42003415002",NA
"42003416000",NA
"42003417100",NA
"42003417200",NA
"42003418000",NA
"42003419000",NA
"42003420000",NA
"42003421100",NA
"42003421200",NA
"42003422000",NA
"42003423000",NA
"42003424000",NA
"42003425000",NA
"42003426300",NA
"42003426400",NA
"42003426700",NA
"42003426800",NA
"42003427000",NA
"42003427100",NA
"42003427200",NA
"42003428100",NA
"42003428200",NA
"42003429100",NA
"42003429201",NA
"42003429202",NA
"42003429300",NA
"42003429400",NA
"42003429500",NA
"42003429600",NA
"42003429700",NA
"42003430100",NA
"42003430200",NA
"42003431100",NA
"42003431400",NA
"42003431500",NA
"42003432300",NA
"42003432400",NA
"42003434000",NA
"42003435000",NA
"42003437000",NA
"42003439000",NA
"42003445500",NA
"42003446000",NA
"42003447000",NA
"42003448000",NA
"42003449000",NA
"42003450700",NA
"42003450800",NA
"42003451101",NA
"42003451102",NA
"42003451104",NA
"42003451105",NA
"42003451300",NA
"42003452000",NA
"42003453003",NA
"42003453004",NA
"42003455000",NA
"42003456001",NA
"42003456003",NA
"42003456004",NA
"42003457100",NA
"42003457200",NA
"42003458000",NA
"42003459101",NA
"42003459102",NA
"42003459201",NA
"42003459202",NA
"42003460001",NA
"42003460002",NA
"42003461000",NA
"42003462100",NA
"42003462600",1.5
"42003463900",NA
"42003464300",2.5
"42003464400",NA
"42003465600",NA
"42003465800",NA
"42003468700",NA
"42003468800",NA
"42003468900",NA
"42003469000",NA
"42003470300",NA
"42003470400",NA
"42003470501",NA
"42003470502",NA
"42003470600",NA
"42003471000",NA
"42003472100",NA
"42003472200",NA
"42003472300",NA
"42003472400",NA
"42003473100",NA
"42003473200",3.5
"42003473300",NA
"42003473401",NA
"42003473402",NA
"42003473500",NA
"42003473601",NA
"42003473602",NA
"42003474101",NA
"42003474102",NA
"42003474201",NA
"42003474202",NA
"42003474203",NA
"42003475101",NA
"42003475102",NA
"42003475200",NA
"42003475301",NA
"42003475303",NA
"42003475304",NA
"42003475401",NA
"42003475402",NA
"42003476100",NA
"42003476200",NA
"42003477100",NA
"42003477200",NA
"42003477300",NA
"42003478100",NA
"42003478200",NA
"42003479000",NA
"42003480101",NA
"42003480102",NA
"42003480200",NA
"42003480300",NA
"42003480400",NA
"42003481000",2.5
"42003482500",NA
"42003483800",NA
"42003484300",NA
"42003484500",NA
"42003484600",NA
"42003485000",NA
"42003486700",NA
"42003486800",NA
"42003486900",NA
"42003487000",NA
"42003488100",NA
"42003488200",NA
"42003488300",NA
"42003488400",NA
"42003488500",NA
"42003488600",NA
"42003489001",NA
"42003489002",NA
"42003490002",NA
"42003490003",NA
"42003490004",NA
"42003491101",NA
"42003491200",NA
"42003492700",NA
"42003492800",NA
"42003492900",NA
"42003494000",NA
"42003495000",NA
"42003496101",NA
"42003496102",NA
"42003496200",NA
"42003497000",NA
"42003498000",NA
"42003499300",NA
"42003499400",NA
"42003500300",NA
"42003501000",NA
"42003503002",NA
"42003504100",NA
"42003507000",NA
"42003508000",NA
"42003509400",NA
"42003510000",NA
"42003512000",NA
"42003512800",NA
"42003512900",NA
"42003513800",NA
"42003514000",NA
"42003515100",NA
"42003515200",NA
"42003515300",NA
"42003515401",NA
"42003516100",NA
"42003516200",NA
"42003517000",NA
"42003518001",NA
"42003519000",NA
"42003520001",NA
"42003520002",NA
"42003521100",NA
"42003521200",NA
"42003521301",NA
"42003521302",NA
"42003521401",NA
"42003521402",NA
"42003521500",NA
"42003522000",NA
"42003523100",NA
"42003523200",NA
"42003523300",NA
"42003523400",NA
"42003523501",NA
"42003523502",NA
"42003523600",NA
"42003523701",NA
"42003523702",NA
"42003523800",NA
"42003524000",NA
"42003525100",NA
