"GEOID","quantScore"
"41005020100",NA
"41005020200",NA
"41005020302",NA
"41005020303",NA
"41005020304",NA
"41005020401",NA
"41005020403",NA
"41005020404",NA
"41005020501",NA
"41005020503",NA
"41005020504",NA
"41005020505",NA
"41005020600",NA
"41005020700",NA
"41005020800",NA
"41005020900",NA
"41005021000",NA
"41005021100",NA
"41005021200",NA
"41005021300",NA
"41005021400",NA
"41005021500",NA
"41005021601",NA
"41005021602",NA
"41005021700",NA
"41005021801",NA
"41005021802",NA
"41005021900",NA
"41005022000",NA
"41005022101",NA
"41005022103",NA
"41005022105",NA
"41005022107",NA
"41005022108",NA
"41005022201",NA
"41005022205",NA
"41005022206",NA
"41005022207",NA
"41005022208",NA
"41005022301",NA
"41005022302",NA
"41005022400",NA
"41005022500",NA
"41005022602",NA
"41005022603",NA
"41005022605",NA
"41005022606",NA
"41005022702",NA
"41005022707",NA
"41005022708",NA
"41005022710",NA
"41005022800",NA
"41005022901",NA
"41005022904",NA
"41005022905",NA
"41005022906",NA
"41005022907",NA
"41005023001",NA
"41005023002",NA
"41005023100",NA
"41005023201",NA
"41005023202",NA
"41005023300",NA
"41005023401",NA
"41005023403",NA
"41005023404",NA
"41005023500",NA
"41005023600",NA
"41005023700",NA
"41005023800",NA
"41005023901",NA
"41005023902",NA
"41005024000",NA
"41005024100",NA
"41005024200",NA
"41005024302",NA
"41005024303",NA
"41005024304",NA
"41005024400",NA
"41005980000",NA
"41009970200",NA
"41009970300",NA
"41009970400",NA
"41009970500",NA
"41009970600",NA
"41009970700",NA
"41009970800",NA
"41009970900",NA
"41009971000",NA
"41009971100",NA
"41051000100",NA
"41051000200",NA
"41051000301",NA
"41051000302",NA
"41051000401",NA
"41051000402",NA
"41051000501",NA
"41051000502",NA
"41051000601",NA
"41051000602",NA
"41051000701",NA
"41051000702",NA
"41051000801",NA
"41051000802",NA
"41051000901",NA
"41051000902",NA
"41051001000",NA
"41051001101",NA
"41051001102",NA
"41051001201",NA
"41051001202",NA
"41051001301",NA
"41051001302",NA
"41051001400",NA
"41051001500",NA
"41051001601",NA
"41051001602",NA
"41051001701",NA
"41051001702",NA
"41051001801",NA
"41051001802",NA
"41051001900",NA
"41051002000",NA
"41051002100",NA
"41051002203",NA
"41051002303",NA
"41051002401",NA
"41051002402",NA
"41051002501",NA
"41051002502",NA
"41051002600",NA
"41051002701",NA
"41051002702",NA
"41051002801",NA
"41051002802",NA
"41051002901",NA
"41051002902",NA
"41051002903",NA
"41051003000",NA
"41051003100",NA
"41051003200",NA
"41051003301",NA
"41051003302",NA
"41051003401",NA
"41051003402",NA
"41051003501",NA
"41051003502",NA
"41051003601",NA
"41051003602",NA
"41051003603",NA
"41051003701",NA
"41051003702",NA
"41051003801",NA
"41051003802",NA
"41051003803",NA
"41051003901",NA
"41051003902",NA
"41051004001",NA
"41051004002",NA
"41051004101",NA
"41051004102",NA
"41051004200",NA
"41051004300",NA
"41051004500",NA
"41051004601",NA
"41051004602",NA
"41051004700",NA
"41051004800",NA
"41051004900",NA
"41051005000",NA
"41051005100",NA
"41051005200",NA
"41051005500",2
"41051005600",NA
"41051005700",NA
"41051005800",NA
"41051005900",NA
"41051006001",NA
"41051006002",NA
"41051006100",NA
"41051006200",NA
"41051006300",NA
"41051006402",NA
"41051006403",NA
"41051006404",NA
"41051006501",NA
"41051006502",NA
"41051006601",NA
"41051006602",NA
"41051006701",NA
"41051006702",NA
"41051006801",NA
"41051006802",NA
"41051006900",NA
"41051007000",NA
"41051007100",NA
"41051007201",NA
"41051007202",NA
"41051007300",NA
"41051007400",NA
"41051007500",NA
"41051007600",NA
"41051007700",NA
"41051007800",NA
"41051007900",NA
"41051008001",NA
"41051008002",NA
"41051008100",NA
"41051008201",NA
"41051008202",NA
"41051008301",NA
"41051008302",NA
"41051008400",NA
"41051008500",NA
"41051008600",NA
"41051008700",NA
"41051008800",NA
"41051008901",NA
"41051008902",NA
"41051009000",NA
"41051009101",NA
"41051009102",NA
"41051009201",NA
