"GEOID","quantScore"
"6073000100",NA
"6073000201",NA
"6073000202",NA
"6073000300",2.66666666666667
"6073000400",NA
"6073000500",NA
"6073000600",NA
"6073000700",3
"6073000800",NA
"6073000900",2.33333333333333
"6073001000",NA
"6073001100",NA
"6073001200",2
"6073001300",2.5
"6073001400",NA
"6073001500",2.2
"6073001600",2.2
"6073001700",2
"6073001800",2
"6073001900",NA
"6073002001",NA
"6073002002",NA
"6073002100",2.5
"6073002201",2
"6073002202",2
"6073002301",3
"6073002302",2
"6073002401",1.66666666666667
"6073002402",1.5
"6073002501",1.5
"6073002502",1
"6073002601",1.5
"6073002602",1.33333333333333
"6073002702",NA
"6073002703",NA
"6073002705",NA
"6073002707",2
"6073002708",NA
"6073002709",NA
"6073002710",NA
"6073002711",NA
"6073002712",NA
"6073002801",NA
"6073002803",NA
"6073002804",NA
"6073002902",NA
"6073002903",NA
"6073002904",NA
"6073002905",NA
"6073003001",1
"6073003003",NA
"6073003004",NA
"6073003101",NA
"6073003103",NA
"6073003105",NA
"6073003107",NA
"6073003108",NA
"6073003109",NA
"6073003111",NA
"6073003112",1
"6073003113",NA
"6073003114",NA
"6073003115",NA
"6073003201",NA
"6073003202",NA
"6073003204",NA
"6073003207",NA
"6073003208",NA
"6073003209",NA
"6073003211",NA
"6073003212",NA
"6073003213",NA
"6073003214",NA
"6073003301",NA
"6073003303",NA
"6073003304",NA
"6073003305",NA
"6073003401",NA
"6073003403",NA
"6073003404",NA
"6073003501",NA
"6073003502",1.5
"6073003601",NA
"6073003602",NA
"6073003603",NA
"6073003800",NA
"6073003901",1
"6073003902",1
"6073004000",1
"6073004100",1.5
"6073004200",1.66666666666667
"6073004300",3
"6073004400",NA
"6073004501",NA
"6073004600",NA
"6073004700",1
"6073004800",1
"6073004900",1
"6073005000",NA
"6073005100",NA
"6073005200",NA
"6073005300",NA
"6073005400",NA
"6073005500",NA
"6073005600",NA
"6073005700",NA
"6073005800",NA
"6073005900",NA
"6073006000",NA
"6073006100",NA
"6073006200",NA
"6073006300",NA
"6073006500",NA
"6073006600",NA
"6073006801",NA
"6073006802",NA
"6073006900",NA
"6073007002",NA
"6073007100",NA
"6073007200",NA
"6073007301",NA
"6073007302",NA
"6073007400",NA
"6073007501",NA
"6073007502",NA
"6073007600",NA
"6073007701",NA
"6073007702",NA
"6073007800",NA
"6073007903",NA
"6073007905",NA
"6073007907",2.5
"6073007908",2.5
"6073007910",NA
"6073008002",NA
"6073008003",NA
"6073008006",NA
"6073008101",NA
"6073008102",NA
"6073008200",NA
"6073008301",NA
"6073008303",NA
"6073008305",NA
"6073008306",NA
"6073008307",NA
"6073008310",NA
"6073008311",NA
"6073008312",NA
"6073008313",NA
"6073008324",NA
"6073008327",NA
"6073008328",NA
"6073008329",NA
"6073008330",NA
"6073008331",NA
"6073008333",NA
"6073008335",NA
"6073008336",NA
"6073008337",NA
"6073008339",NA
"6073008340",NA
"6073008341",NA
"6073008343",NA
"6073008344",NA
"6073008345",NA
"6073008346",NA
"6073008347",NA
"6073008348",NA
"6073008349",NA
"6073008350",NA
"6073008351",NA
"6073008352",NA
"6073008353",NA
"6073008354",NA
"6073008355",NA
"6073008356",NA
"6073008357",NA
"6073008358",NA
"6073008359",NA
"6073008360",NA
"6073008361",NA
"6073008362",NA
"6073008363",NA
"6073008364",NA
"6073008365",NA
"6073008366",NA
"6073008501",NA
"6073008502",NA
"6073008503",NA
"6073008504",NA
"6073008505",NA
"6073008506",NA
"6073008507",NA
"6073008509",NA
"6073008510",NA
"6073008511",NA
"6073008512",NA
"6073008513",NA
"6073008600",NA
"6073008701",NA
"6073008702",NA
"6073008800",NA
"6073008901",NA
"6073008902",NA
"6073009000",NA
"6073009101",NA
"6073009102",NA
"6073009103",NA
"6073009104",NA
"6073009106",NA
"6073009107",NA
"6073009201",NA
"6073009202",NA
"6073009301",NA
"6073009304",NA
"6073009305",NA
"6073009306",NA
"6073009400",NA
"6073009502",NA
"6073009504",NA
"6073009505",NA
"6073009506",NA
"6073009507",NA
"6073009509",NA
"6073009510",NA
"6073009511",NA
"6073009602",NA
"6073009603",NA
"6073009604",NA
"6073009703",NA
"6073009704",NA
"6073009705",NA
"6073009706",NA
"6073009801",NA
"6073009802",NA
"6073009804",NA
"6073009805",NA
"6073009901",NA
"6073009902",NA
"6073010001",NA
"6073010003",NA
"6073010004",NA
"6073010005",NA
"6073010009",NA
"6073010010",NA
"6073010011",NA
"6073010012",NA
"6073010013",NA
"6073010014",NA
"6073010015",NA
"6073010103",NA
"6073010104",NA
"6073010106",NA
"6073010107",NA
"6073010109",NA
"6073010110",NA
"6073010111",NA
"6073010112",NA
"6073010200",NA
"6073010300",NA
"6073010401",NA
"6073010402",NA
"6073010501",NA
"6073010502",NA
"6073010601",NA
"6073010800",NA
"6073010900",NA
"6073011000",NA
"6073011100",NA
"6073011300",NA
"6073011601",NA
"6073011602",NA
"6073011700",NA
"6073011801",NA
"6073011802",NA
"6073011902",NA
"6073012002",NA
"6073012003",NA
"6073012101",NA
"6073012102",NA
"6073012200",NA
"6073012302",NA
"6073012303",NA
"6073012304",NA
"6073012401",NA
"6073012402",NA
"6073012501",NA
"6073012502",NA
"6073012600",NA
"6073012700",NA
"6073012800",NA
"6073012900",NA
"6073013000",NA
"6073013102",NA
"6073013103",NA
"6073013104",NA
"6073013203",NA
"6073013204",NA
"6073013205",NA
"6073013206",NA
"6073013301",NA
"6073013302",NA
"6073013303",NA
"6073013306",NA
"6073013307",NA
"6073013308",NA
"6073013309",NA
"6073013310",NA
"6073013311",NA
"6073013312",NA
"6073013313",NA
"6073013314",NA
"6073013401",NA
"6073013409",NA
"6073013410",NA
"6073013411",NA
"6073013412",NA
"6073013414",NA
"6073013415",NA
"6073013416",NA
"6073013417",NA
"6073013418",NA
"6073013419",NA
"6073013420",NA
"6073013421",NA
"6073013503",NA
"6073013504",NA
"6073013505",NA
"6073013506",NA
"6073013601",NA
"6073013604",NA
"6073013605",NA
"6073013606",NA
"6073013701",NA
"6073013702",NA
"6073013801",NA
"6073013802",NA
"6073013903",NA
"6073013905",NA
"6073013906",NA
"6073013907",NA
"6073013908",NA
"6073013909",NA
"6073014001",NA
"6073014002",NA
"6073014101",NA
"6073014102",NA
"6073014200",NA
"6073014300",NA
"6073014400",NA
"6073014500",NA
"6073014601",NA
"6073014602",NA
"6073014700",NA
"6073014803",NA
"6073014804",NA
"6073014805",NA
"6073014806",NA
"6073014901",NA
"6073014902",NA
"6073015000",NA
"6073015100",NA
"6073015200",NA
"6073015301",NA
"6073015302",NA
"6073015403",NA
"6073015404",NA
"6073015405",NA
"6073015406",NA
"6073015501",NA
"6073015502",NA
"6073015601",NA
"6073015602",NA
"6073015701",NA
"6073015703",NA
"6073015704",NA
"6073015801",NA
"6073015802",NA
"6073015901",NA
"6073015902",NA
"6073016000",NA
"6073016100",NA
"6073016201",NA
"6073016202",NA
