"GEOID","quantScore"
"17027900100",NA
"17027900200",NA
"17027900300",NA
"17027900401",NA
"17027900402",NA
"17027900500",NA
"17027900601",NA
"17027900602",NA
"17083010100",NA
"17083010200",NA
"17083010300",NA
"17083010401",NA
"17083010402",NA
"17083010500",NA
"17119400101",NA
"17119400102",NA
"17119400200",NA
"17119400600",NA
"17119400700",NA
"17119400801",NA
"17119400802",NA
"17119400903",NA
"17119400904",NA
"17119400951",NA
"17119400952",NA
"17119401000",NA
"17119401100",NA
"17119401200",NA
"17119401300",NA
"17119401400",NA
"17119401500",NA
"17119401701",NA
"17119401721",NA
"17119401722",NA
"17119401800",NA
"17119401901",NA
"17119401903",NA
"17119401904",NA
"17119402000",NA
"17119402100",NA
"17119402200",NA
"17119402300",NA
"17119402400",NA
"17119402500",NA
"17119402600",NA
"17119402701",NA
"17119402721",NA
"17119402722",NA
"17119402801",NA
"17119402802",NA
"17119402803",NA
"17119402900",NA
"17119403001",NA
"17119403002",NA
"17119403101",NA
"17119403121",NA
"17119403122",NA
"17119403200",NA
"17119403300",NA
"17119403401",NA
"17119403402",NA
"17119403502",NA
"17119403531",NA
"17119403532",NA
"17119403533",NA
"17119403534",NA
"17119403601",NA
"17119403603",NA
"17119403604",NA
"17119403701",NA
"17119403702",NA
"17119403801",NA
"17119403802",NA
"17119404000",NA
"17119404100",NA
"17133600101",NA
"17133600102",NA
"17133600401",NA
"17133600402",NA
"17133600501",NA
"17133600502",NA
"17163500400",NA
"17163500500",2.4
"17163500900",NA
"17163501100",NA
"17163501200",NA
"17163501300",NA
"17163501400",NA
"17163501501",NA
"17163501502",NA
"17163501602",NA
"17163501603",NA
"17163501604",NA
"17163501605",NA
"17163501700",NA
"17163501800",NA
"17163501900",NA
"17163502100",NA
"17163502200",NA
"17163502300",NA
"17163502401",NA
"17163502404",NA
"17163502500",NA
"17163502602",NA
"17163502603",NA
"17163502700",NA
"17163502800",NA
"17163502900",NA
"17163503100",NA
"17163503202",NA
"17163503203",NA
"17163503211",NA
"17163503301",NA
"17163503304",NA
"17163503322",NA
"17163503323",NA
"17163503324",NA
"17163503332",NA
"17163503334",NA
"17163503402",NA
"17163503404",NA
"17163503411",NA
"17163503412",NA
"17163503413",NA
"17163503414",NA
"17163503800",NA
"17163503903",NA
"17163503904",NA
"17163503905",NA
"17163503906",NA
"17163504001",NA
"17163504002",NA
"17163504302",NA
"17163504303",NA
"17163504351",NA
"17163504352",NA
"17163504353",NA
"17163504354",NA
"17163504355",NA
"17163504500",NA
"17163504600",NA
"29071800100",NA
"29071800201",NA
"29071800202",NA
"29071800300",NA
"29071800401",NA
"29071800402",NA
"29071800500",NA
"29071800601",NA
"29071800602",NA
"29071800701",NA
"29071800702",NA
"29071800800",NA
"29071800901",NA
"29071800902",NA
"29071801000",NA
"29071801101",NA
"29071801102",NA
"29099700107",NA
"29099700109",NA
"29099700110",NA
"29099700111",NA
"29099700113",NA
