"GEOID","quantScore"
"12053040101",NA
"12053040102",NA
"12053040201",NA
"12053040202",NA
"12053040301",NA
"12053040302",NA
"12053040303",NA
"12053040400",NA
"12053040501",NA
"12053040502",NA
"12053040601",NA
"12053040602",NA
"12053040701",NA
"12053040702",NA
"12053040801",NA
"12053040802",NA
"12053040901",NA
"12053040905",NA
"12053040906",NA
"12053040907",NA
"12053040908",NA
"12053040909",NA
"12053040910",NA
"12053040911",NA
"12053041003",NA
"12053041004",NA
"12053041005",NA
"12053041006",NA
"12053041103",NA
"12053041104",NA
"12053041105",NA
"12053041106",NA
"12053041201",NA
"12053041203",NA
"12053041204",NA
"12053041302",NA
"12053041303",NA
"12053041304",NA
"12053041305",NA
"12053041401",NA
"12053041402",NA
"12053041501",NA
"12053041502",NA
"12053041600",NA
"12057000101",NA
"12057000102",NA
"12057000201",NA
"12057000202",NA
"12057000300",NA
"12057000401",NA
"12057000402",NA
"12057000500",NA
"12057000601",NA
"12057000602",NA
"12057000700",NA
"12057000800",NA
"12057000901",NA
"12057000902",NA
"12057001001",NA
"12057001002",NA
"12057001100",NA
"12057001200",NA
"12057001300",NA
"12057001400",NA
"12057001500",NA
"12057001600",NA
"12057001700",NA
"12057001800",NA
"12057001900",NA
"12057002000",NA
"12057002100",NA
"12057002200",NA
"12057002300",NA
"12057002400",NA
"12057002500",NA
"12057002600",NA
"12057002700",NA
"12057002800",NA
"12057002900",NA
"12057003000",NA
"12057003100",1.5
"12057003200",1.5
"12057003300",1
"12057003400",1
"12057003500",1
"12057003600",NA
"12057003700",NA
"12057003800",NA
"12057003900",NA
"12057004000",NA
"12057004100",NA
"12057004200",NA
"12057004300",NA
"12057004400",1
"12057004500",NA
"12057004600",NA
"12057004700",NA
"12057004800",NA
"12057004900",NA
"12057005000",NA
"12057005101",NA
"12057005102",NA
"12057005301",NA
"12057005302",NA
"12057005401",NA
"12057005500",NA
"12057005700",NA
"12057005800",NA
"12057005900",NA
"12057006000",NA
"12057006101",NA
"12057006103",NA
"12057006200",NA
"12057006300",NA
"12057006400",NA
"12057006501",NA
"12057006502",NA
"12057006600",NA
"12057006700",NA
"12057006801",NA
"12057006802",NA
"12057006900",NA
"12057007001",NA
"12057007002",NA
"12057007102",NA
"12057007103",NA
"12057007200",NA
"12057007300",NA
"12057010103",NA
"12057010105",NA
"12057010106",NA
"12057010107",NA
"12057010108",NA
"12057010203",NA
"12057010204",NA
"12057010205",NA
"12057010209",NA
"12057010210",NA
"12057010211",NA
"12057010212",NA
"12057010213",NA
"12057010214",NA
"12057010303",NA
"12057010304",NA
"12057010305",NA
"12057010401",NA
"12057010402",NA
"12057010501",NA
"12057010502",NA
"12057010600",NA
"12057010701",NA
"12057010702",NA
"12057010805",NA
"12057010808",NA
"12057010809",NA
"12057010810",NA
"12057010811",NA
"12057010812",NA
"12057010813",NA
"12057010814",NA
"12057010815",NA
"12057010816",NA
"12057010817",NA
"12057010818",NA
"12057010900",NA
"12057011003",NA
"12057011005",NA
"12057011006",NA
"12057011007",NA
"12057011008",NA
"12057011010",NA
"12057011012",NA
"12057011013",NA
"12057011014",NA
"12057011015",NA
"12057011016",NA
"12057011103",NA
"12057011106",NA
"12057011107",NA
"12057011108",NA
"12057011109",NA
"12057011203",NA
"12057011204",NA
"12057011205",NA
"12057011206",NA
"12057011301",NA
"12057011303",NA
"12057011304",NA
"12057011407",NA
"12057011408",NA
"12057011409",NA
"12057011410",NA
"12057011411",NA
"12057011412",NA
"12057011413",NA
"12057011414",NA
"12057011415",NA
"12057011416",NA
"12057011417",NA
"12057011418",NA
"12057011504",NA
"12057011506",NA
"12057011507",NA
"12057011509",NA
"12057011510",NA
"12057011512",NA
"12057011514",NA
"12057011515",NA
"12057011516",NA
"12057011517",NA
"12057011518",NA
"12057011519",NA
"12057011520",NA
"12057011521",NA
"12057011522",NA
"12057011523",NA
"12057011524",NA
"12057011603",NA
"12057011605",NA
"12057011606",NA
"12057011607",NA
"12057011608",NA
"12057011610",NA
"12057011611",NA
"12057011612",NA
"12057011613",NA
"12057011614",NA
"12057011615",NA
"12057011706",NA
"12057011708",NA
"12057011709",NA
"12057011710",NA
"12057011712",NA
"12057011802",NA
"12057011803",NA
"12057011804",NA
"12057011901",NA
"12057011902",NA
"12057011904",NA
"12057011905",NA
"12057011906",NA
"12057012001",NA
"12057012002",NA
"12057012103",NA
"12057012104",NA
"12057012106",NA
"12057012107",NA
"12057012108",NA
"12057012206",NA
"12057012207",NA
"12057012208",NA
"12057012209",NA
"12057012210",NA
"12057012211",NA
"12057012212",NA
"12057012213",NA
"12057012301",NA
"12057012303",NA
"12057012304",NA
"12057012401",NA
"12057012402",NA
"12057012403",NA
"12057012501",NA
"12057012503",NA
"12057012504",NA
"12057012600",NA
"12057012701",NA
"12057012702",NA
"12057012800",NA
"12057012900",NA
"12057013001",NA
"12057013002",NA
"12057013003",NA
"12057013004",NA
"12057013100",NA
"12057013203",NA
"12057013204",NA
"12057013205",NA
"12057013206",NA
"12057013207",NA
"12057013208",NA
"12057013305",NA
"12057013307",NA
"12057013310",NA
"12057013311",NA
"12057013312",NA
"12057013313",NA
"12057013314",NA
"12057013315",NA
"12057013316",NA
"12057013317",NA
"12057013318",NA
"12057013319",NA
"12057013320",NA
"12057013321",NA
"12057013322",NA
"12057013406",NA
"12057013407",NA
"12057013409",NA
"12057013410",NA
"12057013411",NA
"12057013412",NA
"12057013413",NA
"12057013414",NA
"12057013415",NA
"12057013501",NA
"12057013503",NA
"12057013504",NA
"12057013505",NA
"12057013602",NA
"12057013604",NA
"12057013702",NA
"12057013703",NA
"12057013704",NA
"12057013801",NA
"12057013802",NA
"12057013803",NA
"12057013804",NA
"12057013806",NA
"12057013807",NA
"12057013903",NA
"12057013907",NA
"12057013908",NA
"12057013912",NA
"12057013913",NA
"12057013914",NA
"12057013915",NA
"12057013916",NA
"12057013917",NA
"12057013918",NA
"12057013919",NA
"12057013920",NA
"12057013921",NA
"12057013922",NA
"12057013923",NA
"12057014002",NA
"12057014003",NA
"12057014007",NA
"12057014008",NA
"12057014009",NA
"12057014010",NA
"12057014011",NA
"12057014012",NA
"12057014013",NA
"12057014014",NA
"12057014015",NA
"12057014016",NA
"12057014104",NA
"12057014106",NA
"12057014108",NA
"12057014109",NA
"12057014117",NA
"12057014118",NA
"12057014119",NA
"12057014121",NA
"12057014122",NA
"12057980200",NA
"12057980300",NA
"12057980400",NA
"12057980500",NA
"12057980600",NA
"12057980700",NA
"12101030101",NA
"12101030102",NA
"12101030202",NA
"12101030203",NA
"12101030204",NA
"12101030205",NA
"12101030301",NA
"12101030302",NA
"12101030303",NA
"12101030404",NA
"12101030405",NA
"12101030406",NA
"12101030407",NA
"12101030408",NA
"12101030409",NA
"12101030410",NA
"12101030411",NA
"12101030412",NA
"12101030501",NA
"12101030502",NA
"12101030601",NA
"12101030602",NA
"12101030700",NA
"12101030800",NA
"12101030901",NA
"12101030903",NA
"12101030904",NA
"12101030905",NA
"12101031003",NA
"12101031005",NA
"12101031006",NA
"12101031007",NA
"12101031008",NA
"12101031009",NA
"12101031010",NA
"12101031011",NA
"12101031012",NA
"12101031013",NA
"12101031014",NA
"12101031101",NA
"12101031102",NA
"12101031203",NA
"12101031204",NA
"12101031205",NA
"12101031206",NA
"12101031207",NA
"12101031208",NA
"12101031301",NA
"12101031302",NA
"12101031401",NA
"12101031404",NA
"12101031405",NA
"12101031406",NA
"12101031407",NA
"12101031408",NA
"12101031409",NA
"12101031503",NA
"12101031504",NA
"12101031505",NA
"12101031506",NA
"12101031507",NA
"12101031508",NA
"12101031601",NA
"12101031602",NA
"12101031603",NA
"12101031604",NA
"12101031605",NA
"12101031701",NA
"12101031703",NA
"12101031704",NA
"12101031705",NA
"12101031706",NA
"12101031707",NA
"12101031708",NA
"12101031804",NA
"12101031805",NA
"12101031806",NA
"12101031807",NA
"12101031808",NA
"12101031809",NA
"12101031901",NA
"12101031902",NA
"12101031903",NA
"12101032001",NA
"12101032005",NA
"12101032006",NA
"12101032007",NA
"12101032008",NA
"12101032009",NA
"12101032010",NA
"12101032011",NA
"12101032012",NA
"12101032013",NA
"12101032014",NA
"12101032103",NA
"12101032104",NA
"12101032105",NA
"12101032106",NA
"12101032107",NA
"12101032108",NA
"12101032109",NA
"12101032110",NA
"12101032111",NA
"12101032112",NA
"12101032113",NA
"12101032200",NA
"12101032300",NA
"12101032401",NA
"12101032402",NA
"12101032500",NA
"12101032601",NA
"12101032602",NA
"12101032700",NA
